,,Time_0,Time_1,Time_2,Time_3
sixty four,<pad>,-0.6014298,-0.17863157,,
sixty four,one,-0.2576672,-0.17805919,,
sixty four,two,-0.5452222,-0.17847642,,
sixty four,three,-0.568557,-0.1786245,,
sixty four,four,2.438644,-0.1713496,,
sixty four,five,-0.34753302,-0.17844689,,
sixty four,six,0.8081032,-0.17808661,,
sixty four,seven,-0.21255043,-0.17815775,,
sixty four,eight,-0.46681565,-0.17855428,,
sixty four,nine,-0.52519864,-0.17861634,,
sixty four,ten,-0.6182755,-0.17867105,,
sixty four,eleven,-0.61666906,-0.17868337,,
sixty four,twelve,-0.59184134,-0.17865105,,
sixty four,thirteen,-0.6203803,-0.17860214,,
sixty four,fourteen,1.2992442,-0.17769429,,
sixty four,fifteen,-0.3622482,-0.17777936,,
sixty four,sixteen,3.516949,-0.17664856,,
sixty four,seventeen,-0.6057197,-0.17866501,,
sixty four,eighteen,-0.59221,-0.1786322,,
sixty four,nineteen,-0.39795232,-0.17838876,,
sixty four,twenty,-0.3017352,-0.1780746,,
sixty four,thirty,-0.56845766,-0.17848894,,
sixty four,forty,0.80791205,-0.1761418,,
sixty four,fifty,-0.6130229,-0.17842391,,
sixty four,sixty,0.17293075,-0.17342006,,
sixty four,seventy,1.8662676,-0.17451258,,
sixty four,eighty,0.115943685,-0.17791553,,
sixty four,ninety,-0.6020312,-0.17866807,,
sixty four,hundred,1.2316093,-0.14578237,,
sixty four,thousand,-0.5991391,-0.17857267,,
sixty four,<unk>,-0.61750823,-0.1786921,,
sixty four,<start>,-0.6005402,-0.17865005,,
sixty four,<end>,-0.42489973,5.6567616,,
six hundred four,<pad>,-0.32329842,-0.18426292,-0.31609696,-0.17690371
six hundred four,one,-0.028699515,-0.18370363,-0.2489721,-0.17546323
six hundred four,two,2.4499304,-0.18182983,-0.18352084,-0.17670418
six hundred four,three,0.18556884,-0.18369603,-0.30475667,-0.17685632
six hundred four,four,4.849942,-0.17958292,-0.12650028,-0.17623724
six hundred four,five,-0.23233484,-0.18256791,-0.15806526,-0.1766529
six hundred four,six,0.94521725,-0.1716794,-0.09792765,-0.17685631
six hundred four,seven,-0.31011507,-0.18382326,-0.30409753,-0.17687343
six hundred four,eight,-0.31074992,-0.18391486,-0.31556576,-0.17689085
six hundred four,nine,-0.19528085,-0.18379322,-0.3119034,-0.17689158
six hundred four,ten,-0.3236989,-0.18431242,-0.31622514,-0.17689838
six hundred four,eleven,-0.3228196,-0.1843265,-0.3205202,-0.17689282
six hundred four,twelve,-0.31576556,-0.18410963,-0.31999582,-0.17690645
six hundred four,thirteen,-0.3230291,-0.18427116,-0.31760094,-0.17686695
six hundred four,fourteen,-0.31397685,-0.18374328,-0.30168,-0.17687282
six hundred four,fifteen,-0.30784836,-0.18347669,-0.2570958,-0.1768437
six hundred four,sixteen,-0.28029603,-0.18376587,-0.30380777,-0.17684682
six hundred four,seventeen,-0.3156909,-0.18418679,-0.32078046,-0.1769126
six hundred four,eighteen,-0.318625,-0.18421428,-0.31494147,-0.17689799
six hundred four,nineteen,-0.29919544,-0.18393214,-0.31284776,-0.1768979
six hundred four,twenty,-0.31696478,-0.18342544,5.1103125,-0.1767057
six hundred four,thirty,-0.3108691,-0.18397875,-0.2925493,-0.1768854
six hundred four,forty,-0.26973706,-0.18285882,-0.27217445,-0.17686948
six hundred four,fifty,-0.32343218,-0.18380035,-0.23985356,-0.17682843
six hundred four,sixty,-0.28125322,-0.17379902,1.3828319,-0.17643817
six hundred four,seventy,-0.2784924,-0.18334247,-0.12352283,-0.1765917
six hundred four,eighty,-0.25581002,-0.18362543,-0.3128509,-0.17688508
six hundred four,ninety,-0.31910142,-0.18428782,-0.31413484,-0.17689718
six hundred four,hundred,-0.298081,5.6535115,-0.18439186,-0.1768876
six hundred four,thousand,-0.288829,0.017038397,-0.2880089,-0.17690302
six hundred four,<unk>,-0.32152402,-0.18418735,-0.31898805,-0.1769115
six hundred four,<start>,-0.31980476,-0.18426867,-0.3184564,-0.17688467
six hundred four,<end>,-0.32533523,-0.18378292,1.6246885,5.656854
