,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,two hundred six,0.png,two hundred two,3,1.png,two hundred sixty,two hundred sixty,2,1
1,one hundred,2.png,one hundred,0,3.png,one thousand,one thousand,6,1
2,sixty seven,4.png,five,8,5.png,six hundred seventy,six hundred,7,0
3,one thousand two,6.png,one thousand two,0,7.png,one thousand twenty,one thousand two,0,1
4,twenty one,8.png,twenty one,0,9.png,two hundred one,two hundred,8,1
5,one hundred five,10.png,one hundred five,0,11.png,one hundred twenty five,one hundred twenty,6,1
6,three hundred five,12.png,three hundred five,0,13.png,three hundred fifty,three hundred fifty,3,1
7,forty two,14.png,four hundred,9,15.png,four hundred two,four hundred,9,0
8,five,16.png,,4,17.png,fifteen,fifteen,4,1
9,eleven,18.png,one,5,19.png,twenty four,twenty four,10,1
10,two,20.png,two,0,21.png,eight,eight,5,1
11,twenty five,22.png,two,9,23.png,four hundred five,four hundred five,11,1
12,sixty two,24.png,two hundred,11,25.png,six hundred two,two hundred two,11,0
13,twenty one,26.png,twenty one,0,27.png,two hundred ten,two hundred,8,1
14,twenty four,28.png,twenty four,0,29.png,two hundred four,two hundred twenty,14,1
15,seventeen,30.png,one,7,31.png,twenty one,twenty one,7,1
16,thirty five,32.png,three,7,33.png,three hundred five,three hundred five,10,1
17,forty seven,34.png,four,9,35.png,four hundred seventy,four hundred seventy,11,1
18,nineteen,36.png,nineteen,0,37.png,one hundred nine,one,6,1
19,sixteen,38.png,sixteen,0,39.png,one hundred six,one hundred twenty,15,1
20,fifty three,40.png,five,8,41.png,eighty,eighty,9,1
21,two hundred sixteen,42.png,two hundred twenty,6,43.png,two hundred sixty one,two hundred twenty,6,0
22,four hundred twelve,44.png,four hundred twenty,3,45.png,four hundred twenty one,four hundred twenty one,6,1
23,six,46.png,six,0,47.png,thirteen,three,5,1
