,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,seventy eight,0.png,ninety fourteen,1.png,eight hundred seven,ninety forty fourteen,True,0,0,0,0
1,sixty four,2.png,ninety ninety,3.png,six hundred four,ninety ninety ninety,False,0,0,0,0
2,eighty five,4.png,ninety hundred,5.png,eight hundred fifty,ninety ninety hundred,False,0,0,0,0
3,thirty six,6.png,ninety ninety,7.png,three hundred six,ninety ninety seven,True,0,0,0,0
4,twelve,8.png,ninety,9.png,twenty two,ninety ninety,False,0,0,0,0
5,four hundred,10.png,ninety ninety,11.png,four thousand,ninety ninety,True,0,0,0,0
6,seventy six,12.png,ninety ninety,13.png,seven hundred sixty,ninety ninety fourteen,True,0,0,0,0
7,thirty one,14.png,ninety ninety,15.png,three hundred one,ninety ninety seven,False,0,0,0,0
8,eighty nine,16.png,ninety ninety,17.png,eight hundred nine,ninety ninety hundred,False,0,0,0,0
9,three hundred seven,18.png,ninety ninety hundred,19.png,three hundred sixty seven,ninety five forty forty,False,0,0,0,0
10,thirteen,20.png,ninety,21.png,forty two,ninety ninety,True,0,0,0,0
11,five hundred eight,22.png,ninety seven hundred,23.png,five hundred eighty,ninety seven hundred,False,0,0,0,0
12,two thousand three,24.png,ninety ninety forty,25.png,two thousand thirty,ninety ninety ninety,True,0,0,0,0
13,three hundred six,26.png,ninety ninety seven,27.png,three hundred sixty,ninety ninety seven,False,0,0,0,0
14,seven,28.png,ninety,29.png,eighteen,ninety,True,0,0,0,0
15,five,30.png,ninety,31.png,eight,ninety,True,0,0,0,0
16,five hundred,32.png,ninety ninety,33.png,five thousand,ninety forty,False,0,0,0,0
17,thirty six,34.png,ninety ninety,35.png,five hundred nine,ninety ninety seven,True,0,0,0,0
18,forty two,36.png,ninety ninety,37.png,four hundred twenty,ninety ninety ninety,True,0,0,0,0
19,twenty seven,38.png,ninety ninety,39.png,two hundred seven,ninety ninety ninety,True,0,0,0,0
20,six hundred eight,40.png,ninety ninety hundred,41.png,six hundred fifty eight,ninety hundred hundred hundred,False,0,0,0,0
21,seventeen,42.png,five,43.png,twenty eight,ninety ninety,False,0,0,0,0
22,five hundred sixty seven,44.png,ninety forty forty forty,45.png,five hundred seventy six,ninety ninety hundred hundred,True,0,0,0,0
23,one,46.png,five,47.png,nine,ninety,False,0,0,0,0
