,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,seventy eight,0.png,thirty thirty,1.png,eight hundred seven,thirty thirty thirty,False,0,0,0,0
1,sixty four,2.png,thirty thirty,3.png,six hundred four,thirty thirty thirty,True,0,0,0,0
2,eighty five,4.png,thirty thirty,5.png,eight hundred fifty,thirty thirty thirty,False,0,0,0,0
3,thirty six,6.png,thirty fifteen,7.png,three hundred six,thirty thirty fifteen,False,0,0,0,0
4,twelve,8.png,fifteen,9.png,twenty two,thirty thirty,False,0,0,0,0
5,four hundred,10.png,thirty thirty,11.png,four thousand,thirty thirty,False,0,0,0,0
6,seventy six,12.png,thirty thirty,13.png,seven hundred sixty,thirty thirty fifteen,False,0,0,0,0
7,thirty one,14.png,nineteen fifteen,15.png,three hundred one,thirty thirty fifteen,False,0,0,0,0
8,eighty nine,16.png,thirty thirty,17.png,eight hundred nine,thirty thirty thirty,False,0,0,0,0
9,three hundred seven,18.png,thirty fifteen fifteen,19.png,three hundred sixty seven,thirty fifteen fifteen fifteen,False,0,0,0,0
10,thirteen,20.png,fifteen,21.png,forty two,fifteen fifteen,False,0,0,0,0
11,five hundred eight,22.png,thirty thirty thirty,23.png,five hundred eighty,thirty thirty thirty,False,0,0,0,0
12,two thousand three,24.png,thirty thirty thirty,25.png,two thousand thirty,thirty thirty thirty,True,0,0,0,0
13,three hundred six,26.png,thirty thirty fifteen,27.png,three hundred sixty,thirty thirty fifteen,True,0,0,0,0
14,seven,28.png,fifteen,29.png,eighteen,thirty,True,0,0,0,0
15,five,30.png,thirty,31.png,eight,thirty,False,0,0,0,0
16,five hundred,32.png,thirty thirty,33.png,five thousand,thirty thirty,False,0,0,0,0
17,thirty six,34.png,thirty fifteen,35.png,five hundred nine,thirty thirty fifteen,False,0,0,0,0
18,forty two,36.png,fifteen fifteen,37.png,four hundred twenty,thirty thirty fifteen,True,0,0,0,0
19,twenty seven,38.png,fifteen fifteen,39.png,two hundred seven,thirty thirty fifteen,True,0,0,0,0
20,six hundred eight,40.png,thirty thirty thirty,41.png,six hundred fifty eight,thirty thirty thirty thirty,True,0,0,0,0
21,seventeen,42.png,fifteen,43.png,twenty eight,thirty thirty,False,0,0,0,0
22,five hundred sixty seven,44.png,thirty thirty fifteen fifteen,45.png,five hundred seventy six,thirty thirty thirty fifteen,False,0,0,0,0
23,one,46.png,fifteen,47.png,nine,thirty,True,0,0,0,0
