,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,two hundred six,0.png,fifteen five <start>,1.png,two hundred sixty,fifteen five <start>,True,0,0,0,0
1,one hundred,2.png,five five,3.png,one thousand,fifteen <start>,False,0,0,0,0
2,sixty seven,4.png,five five,5.png,six hundred seventy,five five five,True,0,0,0,0
3,one thousand two,6.png,fifteen <start> <start>,7.png,one thousand twenty,fifteen five <start>,True,0,0,0,0
4,twenty one,8.png,seven thirty,9.png,two hundred one,five five five,True,0,0,0,0
5,one hundred five,10.png,five five five,11.png,one hundred twenty five,five five six six,True,0,0,0,0
6,three hundred five,12.png,five five five,13.png,three hundred fifty,five five five,False,0,0,0,0
7,forty two,14.png,nineteen six,15.png,four hundred two,five five five,True,0,0,0,0
8,five,16.png,nineteen,17.png,fifteen,six,False,0,0,0,0
9,eleven,18.png,six,19.png,twenty four,nineteen six,False,0,0,0,0
10,two,20.png,nineteen,21.png,eight,six,True,0,0,0,0
11,twenty five,22.png,nineteen six,23.png,four hundred five,five five five,False,0,0,0,0
12,sixty two,24.png,nineteen five,25.png,six hundred two,fifteen five five,True,0,0,0,0
13,twenty one,26.png,seven thirty,27.png,two hundred ten,five five five,False,0,0,0,0
14,twenty four,28.png,nineteen six,29.png,two hundred four,five five five,False,0,0,0,0
15,seventeen,30.png,six,31.png,twenty one,seven thirty,False,0,0,0,0
16,thirty five,32.png,five five,33.png,three hundred five,five five five,True,0,0,0,0
17,forty seven,34.png,nineteen nineteen,35.png,four hundred seventy,nineteen five five,True,0,0,0,0
18,nineteen,36.png,five,37.png,one hundred nine,five five five,True,0,0,0,0
19,sixteen,38.png,five,39.png,one hundred six,fifteen five five,True,0,0,0,0
20,fifty three,40.png,five five,41.png,eighty,nineteen,True,0,0,0,0
21,two hundred sixteen,42.png,five five <start>,43.png,two hundred sixty one,five five five <start>,False,0,0,0,0
22,four hundred twelve,44.png,five six six,45.png,four hundred twenty one,five five five five,False,0,0,0,0
23,six,46.png,nineteen,47.png,thirteen,six,False,0,0,0,0
