,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,two hundred six,0.png,one one <pad>,1.png,two hundred sixty,one one <pad>,True,0,0,0,0
1,one hundred,2.png,one <pad>,3.png,one thousand,one <pad>,True,0,0,0,0
2,sixty seven,4.png,one one,5.png,six hundred seventy,one one <pad>,False,0,0,0,0
3,one thousand two,6.png,one <pad> <pad>,7.png,one thousand twenty,one <pad> <pad>,False,0,0,0,0
4,twenty one,8.png,one <pad>,9.png,two hundred one,one <pad> <pad>,True,0,0,0,0
5,one hundred five,10.png,one <pad> <pad>,11.png,one hundred twenty five,one <pad> <pad> <pad>,False,0,0,0,0
6,three hundred five,12.png,one <pad> <pad>,13.png,three hundred fifty,one one <pad>,True,0,0,0,0
7,forty two,14.png,one <pad>,15.png,four hundred two,one <pad> <pad>,True,0,0,0,0
8,five,16.png,one,17.png,fifteen,one,True,0,0,0,0
9,eleven,18.png,three,19.png,twenty four,one <pad>,True,0,0,0,0
10,two,20.png,one,21.png,eight,thousand,True,0,0,0,0
11,twenty five,22.png,one <pad>,23.png,four hundred five,one <pad> <pad>,True,0,0,0,0
12,sixty two,24.png,one <pad>,25.png,six hundred two,one <pad> <pad>,True,0,0,0,0
13,twenty one,26.png,one <pad>,27.png,two hundred ten,one <pad> <pad>,True,0,0,0,0
14,twenty four,28.png,one <pad>,29.png,two hundred four,one <pad> <pad>,True,0,0,0,0
15,seventeen,30.png,one,31.png,twenty one,one <pad>,True,0,0,0,0
16,thirty five,32.png,one <pad>,33.png,three hundred five,one <pad> <pad>,False,0,0,0,0
17,forty seven,34.png,one one,35.png,four hundred seventy,one one <pad>,True,0,0,0,0
18,nineteen,36.png,one,37.png,one hundred nine,one <pad> <pad>,False,0,0,0,0
19,sixteen,38.png,one,39.png,one hundred six,one nineteen <pad>,True,0,0,0,0
20,fifty three,40.png,one <pad>,41.png,eighty,one,False,0,0,0,0
21,two hundred sixteen,42.png,one <pad> <pad>,43.png,two hundred sixty one,one <pad> <pad> <pad>,True,0,0,0,0
22,four hundred twelve,44.png,one <pad> <pad>,45.png,four hundred twenty one,one <pad> <pad> <pad>,True,0,0,0,0
23,six,46.png,one,47.png,thirteen,three,True,0,0,0,0
