,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,seventy eight,0.png,<end> sixty,1.png,eight hundred seven,<end> six six,True,0,0,0,0
1,sixty four,2.png,seventeen seventeen,3.png,six hundred four,forty ten ten,True,0,0,0,0
2,eighty five,4.png,ninety ninety,5.png,eight hundred fifty,forty ten ten,False,0,0,0,0
3,thirty six,6.png,forty six,7.png,three hundred six,seventeen six ten,False,0,0,0,0
4,twelve,8.png,<end>,9.png,twenty two,sixty ninety,False,0,0,0,0
5,four hundred,10.png,seventeen seventeen,11.png,four thousand,ninety ninety,False,0,0,0,0
6,seventy six,12.png,sixty sixty,13.png,seven hundred sixty,forty ten ten,False,0,0,0,0
7,thirty one,14.png,<end> <end>,15.png,three hundred one,<end> <end> <end>,True,0,0,0,0
8,eighty nine,16.png,sixty sixty,17.png,eight hundred nine,ninety ten ten,False,0,0,0,0
9,three hundred seven,18.png,<end> <end> <end>,19.png,three hundred sixty seven,<end> <end> <end> ten,True,0,0,0,0
10,thirteen,20.png,<end>,21.png,forty two,seventeen <end>,True,0,0,0,0
11,five hundred eight,22.png,ninety six ten,23.png,five hundred eighty,ninety six ten,True,0,0,0,0
12,two thousand three,24.png,ten ten ten,25.png,two thousand thirty,ten ten ten,True,0,0,0,0
13,three hundred six,26.png,seventeen six ten,27.png,three hundred sixty,seventeen six ten,True,0,0,0,0
14,seven,28.png,<end>,29.png,eighteen,<end>,False,0,0,0,0
15,five,30.png,forty,31.png,eight,sixty,False,0,0,0,0
16,five hundred,32.png,forty ten,33.png,five thousand,ninety ninety,False,0,0,0,0
17,thirty six,34.png,forty six,35.png,five hundred nine,ninety ten ten,True,0,0,0,0
18,forty two,36.png,seventeen <end>,37.png,four hundred twenty,seventeen seventeen ten,False,0,0,0,0
19,twenty seven,38.png,ninety ninety,39.png,two hundred seven,forty ten ten,True,0,0,0,0
20,six hundred eight,40.png,ninety ten ten,41.png,six hundred fifty eight,forty ten ten ten,False,0,0,0,0
21,seventeen,42.png,<end>,43.png,twenty eight,sixty ninety,False,0,0,0,0
22,five hundred sixty seven,44.png,<end> six ten ten,45.png,five hundred seventy six,forty ten seven seven,True,0,0,0,0
23,one,46.png,<end>,47.png,nine,sixty,False,0,0,0,0
