,,Time_0,Time_1,Time_2
five hundred eight,<pad>,-0.4474877,-0.20712923,-0.17709614
five hundred eight,one,-0.4219471,-0.20587827,-0.1768737
five hundred eight,two,3.381033,-0.18522848,-0.17617391
five hundred eight,three,1.1578456,-0.2014222,-0.17708506
five hundred eight,four,0.21995518,-0.18898235,-0.17683907
five hundred eight,five,1.1832547,-0.13249177,-0.17404287
five hundred eight,six,3.0072808,-0.18161415,-0.17694944
five hundred eight,seven,-0.4680914,-0.206542,-0.1770346
five hundred eight,eight,-0.3224148,-0.20474887,-0.1770052
five hundred eight,nine,0.08162458,-0.20012216,-0.17684846
five hundred eight,ten,-0.4743205,-0.20707417,-0.17705138
five hundred eight,eleven,-0.45635682,-0.2066267,-0.17708509
five hundred eight,twelve,-0.47291446,-0.20737727,-0.1770853
five hundred eight,thirteen,-0.4626535,-0.20627955,-0.17708191
five hundred eight,fourteen,-0.47634047,-0.20711163,-0.17708518
five hundred eight,fifteen,-0.46142444,-0.20581087,-0.17703895
five hundred eight,sixteen,-0.43655995,-0.20678356,-0.17702344
five hundred eight,seventeen,-0.47749317,-0.2074144,-0.1770927
five hundred eight,eighteen,-0.47415075,-0.20736213,-0.17709614
five hundred eight,nineteen,-0.4345443,-0.20727395,-0.17708014
five hundred eight,twenty,-0.47270697,-0.2074701,-0.1768347
five hundred eight,thirty,-0.41163146,-0.20481299,-0.1769401
five hundred eight,forty,-0.3843112,-0.20080285,-0.17661995
five hundred eight,fifty,-0.46527943,-0.20258908,-0.17624342
five hundred eight,sixty,-0.29367816,-0.15270832,-0.17556912
five hundred eight,seventy,-0.38324654,-0.19390583,-0.1758286
five hundred eight,eighty,2.1890342,-0.19254576,-0.17680223
five hundred eight,ninety,-0.46869344,-0.20668146,-0.17706414
five hundred eight,hundred,-0.33858484,5.6332774,-0.17705916
five hundred eight,thousand,-0.27161095,0.265205,-0.1770516
five hundred eight,<unk>,-0.47869343,-0.20693545,-0.17708103
five hundred eight,<start>,-0.48326728,-0.20757443,-0.17709035
five hundred eight,<end>,-0.48162588,0.060817823,5.656853
five hundred eighty,<pad>,-0.22119746,-0.19307716,-0.18908732
five hundred eighty,one,-0.2187526,-0.19274832,-0.18629132
five hundred eighty,two,5.6190867,-0.18101978,-0.15892346
five hundred eighty,three,0.38391486,-0.1895099,-0.18758027
five hundred eighty,four,-0.060821455,-0.18989131,-0.18655403
five hundred eighty,five,-0.054257076,-0.18567117,-0.15689652
five hundred eighty,six,0.038339805,-0.18275407,-0.1768197
five hundred eighty,seven,-0.217399,-0.1925622,-0.18684727
five hundred eighty,eight,-0.20365933,-0.19265951,-0.1879141
five hundred eighty,nine,-0.18057388,-0.19226123,-0.1824747
five hundred eighty,ten,-0.22520702,-0.19304171,-0.18761805
five hundred eighty,eleven,-0.22210361,-0.19283244,-0.18877715
five hundred eighty,twelve,-0.22364628,-0.19308785,-0.18908018
five hundred eighty,thirteen,-0.2232524,-0.19280978,-0.1884115
five hundred eighty,fourteen,-0.22528863,-0.19300838,-0.18865786
five hundred eighty,fifteen,-0.22172257,-0.19241527,-0.18497264
five hundred eighty,sixteen,-0.21410798,-0.19295335,-0.18701726
five hundred eighty,seventeen,-0.22592065,-0.19312733,-0.188845
five hundred eighty,eighteen,-0.22534253,-0.19314191,-0.18932393
five hundred eighty,nineteen,-0.20026833,-0.1928435,-0.18856566
five hundred eighty,twenty,-0.21272027,-0.1928277,-0.108018614
five hundred eighty,thirty,-0.21038765,-0.19184813,-0.17505495
five hundred eighty,forty,-0.21649031,-0.19158977,-0.17290658
five hundred eighty,fifty,-0.22463375,-0.19106685,-0.1351374
five hundred eighty,sixty,-0.19355536,-0.17790851,-0.09742408
five hundred eighty,seventy,-0.21332805,-0.19073856,-0.16344474
five hundred eighty,eighty,-0.1042251,-0.19062842,-0.18192986
five hundred eighty,ninety,-0.22352092,-0.19292767,-0.18842171
five hundred eighty,hundred,-0.21089269,5.638623,-0.18762502
five hundred eighty,thousand,-0.18772754,0.27689,-0.18736479
five hundred eighty,<unk>,-0.22594601,-0.19295901,-0.18877292
five hundred eighty,<start>,-0.22696725,-0.19316043,-0.1886929
five hundred eighty,<end>,-0.22742578,-0.18844132,5.655452
