,,Time_0,Time_1
seventeen,<pad>,-0.3614494,-0.17766994
seventeen,one,5.350984,-0.17496324
seventeen,two,0.61249834,-0.17740226
seventeen,three,-0.26336047,-0.17760274
seventeen,four,0.430481,-0.17699717
seventeen,five,-0.15863821,-0.17761275
seventeen,six,-0.24125329,-0.17763518
seventeen,seven,1.163787,-0.17747931
seventeen,eight,-0.2845537,-0.17757049
seventeen,nine,-0.3222479,-0.17761591
seventeen,ten,-0.34868568,-0.17763597
seventeen,eleven,-0.35761932,-0.17767407
seventeen,twelve,-0.36505148,-0.17763734
seventeen,thirteen,-0.3580089,-0.17766418
seventeen,fourteen,-0.011118748,-0.17745179
seventeen,fifteen,-0.1504487,-0.1774308
seventeen,sixteen,-0.2195565,-0.17754002
seventeen,seventeen,-0.33407897,-0.17764214
seventeen,eighteen,-0.36761278,-0.17768295
seventeen,nineteen,-0.2488319,-0.17756109
seventeen,twenty,0.12399563,-0.17733335
seventeen,thirty,-0.3408753,-0.17750314
seventeen,forty,-0.13653474,-0.17733839
seventeen,fifty,-0.35814428,-0.17762662
seventeen,sixty,-0.3492291,-0.17742135
seventeen,seventy,0.04091084,-0.17718953
seventeen,eighty,-0.327875,-0.17758481
seventeen,ninety,-0.36717358,-0.17768976
seventeen,hundred,-0.1528025,-0.1588079
seventeen,thousand,-0.28385296,-0.17450126
seventeen,<unk>,-0.3608119,-0.17767805
seventeen,<start>,-0.35585693,-0.1776807
seventeen,<end>,-0.29698586,5.656824
twenty eight,<pad>,-0.25444934,-0.2308593
twenty eight,one,-0.1936095,-0.22782753
twenty eight,two,5.5601864,-0.21078207
twenty eight,three,-0.24753542,-0.22953685
twenty eight,four,-0.14688814,-0.22901696
twenty eight,five,-0.24938561,-0.2304339
twenty eight,six,0.17269163,-0.22467469
twenty eight,seven,-0.23740102,-0.23019919
twenty eight,eight,0.7213717,-0.21518219
twenty eight,nine,-0.08066893,-0.22386159
twenty eight,ten,-0.2546857,-0.23071852
twenty eight,eleven,-0.25031447,-0.23090898
twenty eight,twelve,-0.2536099,-0.23054385
twenty eight,thirteen,-0.25269952,-0.23074457
twenty eight,fourteen,-0.24746265,-0.23062022
twenty eight,fifteen,-0.23680331,-0.22901261
twenty eight,sixteen,-0.21729696,-0.22845025
twenty eight,seventeen,-0.25472608,-0.23096009
twenty eight,eighteen,-0.2561246,-0.23112659
twenty eight,nineteen,-0.22877622,-0.22913802
twenty eight,twenty,-0.19275497,-0.22629097
twenty eight,thirty,-0.24629809,-0.22931063
twenty eight,forty,-0.23573525,-0.2293844
twenty eight,fifty,-0.25352037,-0.2303868
twenty eight,sixty,0.03576796,-0.14718796
twenty eight,seventy,-0.20108804,-0.22761308
twenty eight,eighty,-0.029412555,-0.22659954
twenty eight,ninety,-0.25538573,-0.23109983
twenty eight,hundred,-0.2224459,1.5206692
twenty eight,thousand,-0.22833835,-0.15360165
twenty eight,<unk>,-0.25408462,-0.23095146
twenty eight,<start>,-0.25374463,-0.23102896
twenty eight,<end>,-0.25477195,5.397384
