,,Time_0,Time_1
fifty three,<pad>,-0.22256589,-0.1768865
fifty three,one,-0.21321973,-0.17676951
fifty three,two,-0.2118016,-0.17682767
fifty three,three,0.07012654,-0.17676204
fifty three,four,-0.21691723,-0.17681432
fifty three,five,0.44509494,-0.17604904
fifty three,six,-0.21533252,-0.17687361
fifty three,seven,-0.2156581,-0.17687275
fifty three,eight,-0.21140216,-0.17687641
fifty three,nine,-0.21932182,-0.17688257
fifty three,ten,-0.21984383,-0.1768742
fifty three,eleven,-0.22433181,-0.17688404
fifty three,twelve,-0.22350945,-0.17688517
fifty three,thirteen,-0.22413035,-0.17688288
fifty three,fourteen,-0.22167082,-0.17687774
fifty three,fifteen,0.017314004,-0.17619485
fifty three,sixteen,-0.19561167,-0.17685002
fifty three,seventeen,-0.22327878,-0.17687115
fifty three,eighteen,-0.2208818,-0.17688128
fifty three,nineteen,-0.20754501,-0.1768812
fifty three,twenty,-0.21295944,-0.17687447
fifty three,thirty,5.6112714,-0.17620747
fifty three,forty,-0.21603231,-0.17683688
fifty three,fifty,-0.2183909,-0.17684434
fifty three,sixty,-0.20459649,-0.176831
fifty three,seventy,-0.20040339,-0.17684574
fifty three,eighty,-0.20568192,-0.1768748
fifty three,ninety,-0.2222387,-0.17687486
fifty three,hundred,-0.13792022,-0.17637877
fifty three,thousand,-0.21416818,-0.1768234
fifty three,<unk>,-0.22368394,-0.17688377
fifty three,<start>,-0.22394541,-0.17688158
fifty three,<end>,-0.17676324,5.656854
eighty,<pad>,-0.18770602,-0.17750192
eighty,one,-0.18620276,-0.17667297
eighty,two,-0.15620668,-0.17704459
eighty,three,-0.18761574,-0.17737058
eighty,four,-0.17900424,-0.17697218
eighty,five,-0.18044196,-0.17670918
eighty,six,-0.13392551,-0.17698
eighty,seven,-0.18872565,-0.17747046
eighty,eight,-0.13015561,-0.17724325
eighty,nine,-0.17512636,-0.17736885
eighty,ten,-0.18953641,-0.17749128
eighty,eleven,-0.18981194,-0.17750008
eighty,twelve,-0.18989697,-0.17751203
eighty,thirteen,-0.19037323,-0.17751938
eighty,fourteen,-0.18932843,-0.17747164
eighty,fifteen,-0.18963844,-0.17738992
eighty,sixteen,-0.18788563,-0.17729807
eighty,seventeen,-0.18904825,-0.17744017
eighty,eighteen,-0.18940271,-0.17750795
eighty,nineteen,-0.18167192,-0.17745647
eighty,twenty,-0.18566893,-0.17748159
eighty,thirty,-0.18638456,-0.17733899
eighty,forty,-0.10036063,-0.17591432
eighty,fifty,-0.18956776,-0.17740627
eighty,sixty,-0.13457786,-0.17354241
eighty,seventy,-0.13501711,-0.17621917
eighty,eighty,5.6554,-0.1740324
eighty,ninety,-0.18972029,-0.17745718
eighty,hundred,-0.18898158,-0.17034525
eighty,thousand,-0.18471286,-0.17618346
eighty,<unk>,-0.19021013,-0.1775019
eighty,<start>,-0.18963589,-0.17750421
eighty,<end>,-0.18885821,5.6568484
