,Image,Label,Prediction,Word_1_attention_region,Word_2_attention_region,Word_3_attention_region,Word_4_attention_region,Word_5_attention_region,Word_6_attention_region
0,0.png,seventy eight,<pad> eighty,4,4,N/A,N/A,N/A,N/A
1,1.png,eight hundred seven,eighty eighty eighty,2,2,2,N/A,N/A,N/A
2,2.png,sixty four,<pad> <end>,3,N/A,N/A,N/A,N/A,N/A
3,3.png,six hundred four,eighty eighty eighty,2,2,2,N/A,N/A,N/A
4,4.png,eighty five,eighty eighty,4,4,N/A,N/A,N/A,N/A
5,5.png,eight hundred fifty,eighty eighty eighty,4,4,4,N/A,N/A,N/A
6,6.png,thirty six,<pad> <end>,4,N/A,N/A,N/A,N/A,N/A
7,7.png,three hundred six,<pad> <end> <end>,4,N/A,N/A,N/A,N/A,N/A
8,8.png,twelve,<pad>,4,N/A,N/A,N/A,N/A,N/A
9,9.png,twenty two,<pad> <end>,3,N/A,N/A,N/A,N/A,N/A
10,10.png,four hundred,eighty eighty,4,4,N/A,N/A,N/A,N/A
11,11.png,four thousand,<pad> seventy,2,3,N/A,N/A,N/A,N/A
12,12.png,seventy six,<pad> <end>,4,N/A,N/A,N/A,N/A,N/A
13,13.png,seven hundred sixty,<pad> <end> <end>,3,N/A,N/A,N/A,N/A,N/A
14,14.png,thirty one,<pad> <end>,3,N/A,N/A,N/A,N/A,N/A
15,15.png,three hundred one,eighty <end> <end>,2,N/A,N/A,N/A,N/A,N/A
16,16.png,eighty nine,eighty eighty,4,4,N/A,N/A,N/A,N/A
17,17.png,eight hundred nine,eighty eighty eighty,4,4,4,N/A,N/A,N/A
18,18.png,three hundred seven,<pad> <end> <end>,2,N/A,N/A,N/A,N/A,N/A
19,19.png,three hundred sixty seven,<pad> <end> <end> <end>,2,N/A,N/A,N/A,N/A,N/A
20,20.png,thirteen,<pad>,4,N/A,N/A,N/A,N/A,N/A
21,21.png,forty two,<pad> nineteen,4,4,N/A,N/A,N/A,N/A
22,22.png,five hundred eight,eighty eighty eighty,4,4,4,N/A,N/A,N/A
23,23.png,five hundred eighty,eighty eighty eighty,3,3,4,N/A,N/A,N/A
24,24.png,two thousand three,<pad> eighty seventy,1,2,2,N/A,N/A,N/A
25,25.png,two thousand thirty,<pad> seventy seventy,1,1,1,N/A,N/A,N/A
26,26.png,three hundred six,<pad> <end> <end>,4,N/A,N/A,N/A,N/A,N/A
27,27.png,three hundred sixty,eighty <end> <end>,2,N/A,N/A,N/A,N/A,N/A
28,28.png,seven,twelve,4,N/A,N/A,N/A,N/A,N/A
29,29.png,eighteen,eighty,4,N/A,N/A,N/A,N/A,N/A
30,30.png,five,<unk>,4,N/A,N/A,N/A,N/A,N/A
31,31.png,eight,eighty,4,N/A,N/A,N/A,N/A,N/A
32,32.png,five hundred,eighty eighty,2,4,N/A,N/A,N/A,N/A
33,33.png,five thousand,eighty seventy,3,3,N/A,N/A,N/A,N/A
34,34.png,thirty six,<pad> <end>,4,N/A,N/A,N/A,N/A,N/A
35,35.png,five hundred nine,<pad> eighty <end>,2,2,N/A,N/A,N/A,N/A
36,36.png,forty two,<pad> nineteen,4,4,N/A,N/A,N/A,N/A
37,37.png,four hundred twenty,<pad> <end> <end>,4,N/A,N/A,N/A,N/A,N/A
38,38.png,twenty seven,<pad> forty,3,3,N/A,N/A,N/A,N/A
39,39.png,two hundred seven,<pad> <end> <end>,2,N/A,N/A,N/A,N/A,N/A
40,40.png,six hundred eight,eighty eighty eighty,4,4,4,N/A,N/A,N/A
41,41.png,six hundred fifty eight,eighty eighty eighty eighty,4,4,4,4,N/A,N/A
42,42.png,seventeen,nineteen,4,N/A,N/A,N/A,N/A,N/A
43,43.png,twenty eight,eighty eighty,3,4,N/A,N/A,N/A,N/A
44,44.png,five hundred sixty seven,<pad> <end> <end> <end>,2,N/A,N/A,N/A,N/A,N/A
45,45.png,five hundred seventy six,<pad> <pad> <end> <end>,2,2,N/A,N/A,N/A,N/A
46,46.png,one,eighty,4,N/A,N/A,N/A,N/A,N/A
47,47.png,nine,eighty,4,N/A,N/A,N/A,N/A,N/A
