,Image,Label,Prediction,Word_1_attention_region,Word_2_attention_region,Word_3_attention_region,Word_4_attention_region,Word_5_attention_region,Word_6_attention_region
0,0.png,two hundred six,three three three,4,4,4,N/A,N/A,N/A
1,1.png,two hundred sixty,three three three,2,2,2,N/A,N/A,N/A
2,2.png,one hundred,three three,3,3,N/A,N/A,N/A,N/A
3,3.png,one thousand,three three,3,3,N/A,N/A,N/A,N/A
4,4.png,sixty seven,three three,3,3,N/A,N/A,N/A,N/A
5,5.png,six hundred seventy,three hundred hundred,2,2,2,N/A,N/A,N/A
6,6.png,one thousand two,three three three,3,3,3,N/A,N/A,N/A
7,7.png,one thousand twenty,three three three,3,3,3,N/A,N/A,N/A
8,8.png,twenty one,three three,3,3,N/A,N/A,N/A,N/A
9,9.png,two hundred one,three three three,2,2,2,N/A,N/A,N/A
10,10.png,one hundred five,three three three,4,4,4,N/A,N/A,N/A
11,11.png,one hundred twenty five,three three three three,3,3,3,3,N/A,N/A
12,12.png,three hundred five,four three three,4,4,4,N/A,N/A,N/A
13,13.png,three hundred fifty,four three three,3,3,3,N/A,N/A,N/A
14,14.png,forty two,nineteen nineteen,4,4,N/A,N/A,N/A,N/A
15,15.png,four hundred two,three three three,4,4,4,N/A,N/A,N/A
16,16.png,five,thirteen,4,N/A,N/A,N/A,N/A,N/A
17,17.png,fifteen,fifteen,4,N/A,N/A,N/A,N/A,N/A
18,18.png,eleven,fifteen,4,N/A,N/A,N/A,N/A,N/A
19,19.png,twenty four,thirteen three,3,3,N/A,N/A,N/A,N/A
20,20.png,two,three,4,N/A,N/A,N/A,N/A,N/A
21,21.png,eight,three,4,N/A,N/A,N/A,N/A,N/A
22,22.png,twenty five,three five,3,3,N/A,N/A,N/A,N/A
23,23.png,four hundred five,fifteen three three,4,4,4,N/A,N/A,N/A
24,24.png,sixty two,three three,3,3,N/A,N/A,N/A,N/A
25,25.png,six hundred two,three three three,2,2,3,N/A,N/A,N/A
26,26.png,twenty one,three three,3,3,N/A,N/A,N/A,N/A
27,27.png,two hundred ten,three three three,2,2,2,N/A,N/A,N/A
28,28.png,twenty four,thirteen three,3,3,N/A,N/A,N/A,N/A
29,29.png,two hundred four,three three three,2,2,2,N/A,N/A,N/A
30,30.png,seventeen,thirteen,3,N/A,N/A,N/A,N/A,N/A
31,31.png,twenty one,three three,3,3,N/A,N/A,N/A,N/A
32,32.png,thirty five,thirteen nineteen,4,4,N/A,N/A,N/A,N/A
33,33.png,three hundred five,four three three,4,4,4,N/A,N/A,N/A
34,34.png,forty seven,thirteen thirteen,3,3,N/A,N/A,N/A,N/A
35,35.png,four hundred seventy,nine three three,2,2,2,N/A,N/A,N/A
36,36.png,nineteen,three,4,N/A,N/A,N/A,N/A,N/A
37,37.png,one hundred nine,three three three,4,4,4,N/A,N/A,N/A
38,38.png,sixteen,three,4,N/A,N/A,N/A,N/A,N/A
39,39.png,one hundred six,three three three,4,4,4,N/A,N/A,N/A
40,40.png,fifty three,four nineteen,3,3,N/A,N/A,N/A,N/A
41,41.png,eighty,three,4,N/A,N/A,N/A,N/A,N/A
42,42.png,two hundred sixteen,three three three,2,2,2,N/A,N/A,N/A
43,43.png,two hundred sixty one,three three three three,2,2,2,2,N/A,N/A
44,44.png,four hundred twelve,fifteen three three,4,4,4,N/A,N/A,N/A
45,45.png,four hundred twenty one,fifteen three three three,2,3,3,3,N/A,N/A
46,46.png,six,three,4,N/A,N/A,N/A,N/A,N/A
47,47.png,thirteen,thirteen,4,N/A,N/A,N/A,N/A,N/A
