,Image,Label,Prediction,Word_1_attention_region,Word_2_attention_region,Word_3_attention_region,Word_4_attention_region,Word_5_attention_region,Word_6_attention_region
0,0.png,two hundred six,nineteen nineteen nineteen,3,3,3,N/A,N/A,N/A
1,1.png,two hundred sixty,nineteen nineteen nineteen,3,2,2,N/A,N/A,N/A
2,2.png,one hundred,nineteen nineteen,2,4,N/A,N/A,N/A,N/A
3,3.png,one thousand,eighty nineteen,3,3,N/A,N/A,N/A,N/A
4,4.png,sixty seven,eighty <pad>,4,4,N/A,N/A,N/A,N/A
5,5.png,six hundred seventy,nineteen nineteen nineteen,3,3,3,N/A,N/A,N/A
6,6.png,one thousand two,eighty eighty nineteen,3,3,3,N/A,N/A,N/A
7,7.png,one thousand twenty,nineteen nineteen nineteen,3,3,3,N/A,N/A,N/A
8,8.png,twenty one,eighty eighty,4,3,N/A,N/A,N/A,N/A
9,9.png,two hundred one,nineteen nineteen nineteen,4,4,4,N/A,N/A,N/A
10,10.png,one hundred five,nineteen nineteen nineteen,2,2,2,N/A,N/A,N/A
11,11.png,one hundred twenty five,fifteen <pad> <pad> eighty,2,4,4,4,N/A,N/A
12,12.png,three hundred five,nineteen nineteen nineteen,3,3,3,N/A,N/A,N/A
13,13.png,three hundred fifty,nineteen nineteen nineteen,3,2,2,N/A,N/A,N/A
14,14.png,forty two,eighty eighty,4,4,N/A,N/A,N/A,N/A
15,15.png,four hundred two,eleven nineteen nineteen,4,4,4,N/A,N/A,N/A
16,16.png,five,eighty,4,N/A,N/A,N/A,N/A,N/A
17,17.png,fifteen,eighty,3,N/A,N/A,N/A,N/A,N/A
18,18.png,eleven,eighty,4,N/A,N/A,N/A,N/A,N/A
19,19.png,twenty four,eighty eighty,3,3,N/A,N/A,N/A,N/A
20,20.png,two,eighty,4,N/A,N/A,N/A,N/A,N/A
21,21.png,eight,eighty,4,N/A,N/A,N/A,N/A,N/A
22,22.png,twenty five,eighty <pad>,3,3,N/A,N/A,N/A,N/A
23,23.png,four hundred five,nineteen nineteen nineteen,3,4,4,N/A,N/A,N/A
24,24.png,sixty two,<pad> <pad>,4,4,N/A,N/A,N/A,N/A
25,25.png,six hundred two,eleven nineteen nineteen,2,4,2,N/A,N/A,N/A
26,26.png,twenty one,eighty eighty,4,3,N/A,N/A,N/A,N/A
27,27.png,two hundred ten,nineteen nineteen nineteen,3,3,3,N/A,N/A,N/A
28,28.png,twenty four,eighty eighty,3,3,N/A,N/A,N/A,N/A
29,29.png,two hundred four,eleven eighty eighty,3,3,3,N/A,N/A,N/A
30,30.png,seventeen,eighty,4,N/A,N/A,N/A,N/A,N/A
31,31.png,twenty one,eighty eighty,4,3,N/A,N/A,N/A,N/A
32,32.png,thirty five,<pad> <pad>,3,3,N/A,N/A,N/A,N/A
33,33.png,three hundred five,nineteen nineteen nineteen,3,3,3,N/A,N/A,N/A
34,34.png,forty seven,eighty eighty,4,4,N/A,N/A,N/A,N/A
35,35.png,four hundred seventy,nineteen nineteen nineteen,3,3,3,N/A,N/A,N/A
36,36.png,nineteen,<pad>,3,N/A,N/A,N/A,N/A,N/A
37,37.png,one hundred nine,nineteen nineteen nineteen,4,4,4,N/A,N/A,N/A
38,38.png,sixteen,five,3,N/A,N/A,N/A,N/A,N/A
39,39.png,one hundred six,nineteen nineteen nineteen,2,2,3,N/A,N/A,N/A
40,40.png,fifty three,fifteen <pad>,4,4,N/A,N/A,N/A,N/A
41,41.png,eighty,eighty,3,N/A,N/A,N/A,N/A,N/A
42,42.png,two hundred sixteen,nineteen five nineteen,3,3,3,N/A,N/A,N/A
43,43.png,two hundred sixty one,eighty nineteen nineteen nineteen,4,4,4,4,N/A,N/A
44,44.png,four hundred twelve,five eighty eighty,4,3,3,N/A,N/A,N/A
45,45.png,four hundred twenty one,eighty eighty eighty eighty,4,4,4,4,N/A,N/A
46,46.png,six,eighty,4,N/A,N/A,N/A,N/A,N/A
47,47.png,thirteen,eighty,3,N/A,N/A,N/A,N/A,N/A
