,Image,Label,Prediction,Word_1_attention_region,Word_2_attention_region,Word_3_attention_region,Word_4_attention_region,Word_5_attention_region,Word_6_attention_region
0,0.png,two hundred six,seventeen seventeen seventeen,4,4,4,N/A,N/A,N/A
1,1.png,two hundred sixty,seventeen seventeen seventeen,3,3,3,N/A,N/A,N/A
2,2.png,one hundred,seventeen seventeen,4,4,N/A,N/A,N/A,N/A
3,3.png,one thousand,seventeen seventeen,3,3,N/A,N/A,N/A,N/A
4,4.png,sixty seven,seventeen seventeen,3,4,N/A,N/A,N/A,N/A
5,5.png,six hundred seventy,seventeen seventeen seventeen,4,2,4,N/A,N/A,N/A
6,6.png,one thousand two,seventeen seventeen seventeen,3,3,3,N/A,N/A,N/A
7,7.png,one thousand twenty,seventeen seventeen seventeen,2,2,2,N/A,N/A,N/A
8,8.png,twenty one,seventeen forty,3,3,N/A,N/A,N/A,N/A
9,9.png,two hundred one,seventeen seventeen seventeen,3,3,3,N/A,N/A,N/A
10,10.png,one hundred five,seventeen seventeen seventeen,3,3,3,N/A,N/A,N/A
11,11.png,one hundred twenty five,seventeen seventeen forty forty,4,4,4,4,N/A,N/A
12,12.png,three hundred five,seventeen seventy seventy,4,4,4,N/A,N/A,N/A
13,13.png,three hundred fifty,seventeen seventeen seventy,4,4,4,N/A,N/A,N/A
14,14.png,forty two,seventeen forty,4,4,N/A,N/A,N/A,N/A
15,15.png,four hundred two,seventeen seventeen sixty,3,3,3,N/A,N/A,N/A
16,16.png,five,seventeen,4,N/A,N/A,N/A,N/A,N/A
17,17.png,fifteen,seventeen,4,N/A,N/A,N/A,N/A,N/A
18,18.png,eleven,six,4,N/A,N/A,N/A,N/A,N/A
19,19.png,twenty four,seventeen forty,3,3,N/A,N/A,N/A,N/A
20,20.png,two,seventeen,4,N/A,N/A,N/A,N/A,N/A
21,21.png,eight,seventeen,4,N/A,N/A,N/A,N/A,N/A
22,22.png,twenty five,seventeen seventeen,4,4,N/A,N/A,N/A,N/A
23,23.png,four hundred five,seventeen forty forty,4,4,4,N/A,N/A,N/A
24,24.png,sixty two,seventeen seventeen,3,4,N/A,N/A,N/A,N/A
25,25.png,six hundred two,seventeen seventeen seventeen,3,3,3,N/A,N/A,N/A
26,26.png,twenty one,seventeen forty,3,3,N/A,N/A,N/A,N/A
27,27.png,two hundred ten,seventeen seventeen seventeen,4,4,4,N/A,N/A,N/A
28,28.png,twenty four,seventeen forty,3,3,N/A,N/A,N/A,N/A
29,29.png,two hundred four,seventeen seventeen <end>,3,3,N/A,N/A,N/A,N/A
30,30.png,seventeen,forty,4,N/A,N/A,N/A,N/A,N/A
31,31.png,twenty one,seventeen forty,3,3,N/A,N/A,N/A,N/A
32,32.png,thirty five,seventeen seventeen,4,4,N/A,N/A,N/A,N/A
33,33.png,three hundred five,seventeen seventy seventy,4,4,4,N/A,N/A,N/A
34,34.png,forty seven,forty fifty,4,4,N/A,N/A,N/A,N/A
35,35.png,four hundred seventy,seventeen forty sixty,4,4,4,N/A,N/A,N/A
36,36.png,nineteen,seventeen,4,N/A,N/A,N/A,N/A,N/A
37,37.png,one hundred nine,seventeen seventeen seventeen,3,3,3,N/A,N/A,N/A
38,38.png,sixteen,seventeen,4,N/A,N/A,N/A,N/A,N/A
39,39.png,one hundred six,seventeen seventeen seventeen,4,4,4,N/A,N/A,N/A
40,40.png,fifty three,seventeen seventeen,4,4,N/A,N/A,N/A,N/A
41,41.png,eighty,seventeen,3,N/A,N/A,N/A,N/A,N/A
42,42.png,two hundred sixteen,seventeen seventeen seventeen,4,4,4,N/A,N/A,N/A
43,43.png,two hundred sixty one,seventeen seventeen forty <end>,3,3,3,N/A,N/A,N/A
44,44.png,four hundred twelve,forty forty forty,4,4,4,N/A,N/A,N/A
45,45.png,four hundred twenty one,forty forty forty <end>,3,3,3,N/A,N/A,N/A
46,46.png,six,seventeen,4,N/A,N/A,N/A,N/A,N/A
47,47.png,thirteen,seventeen,4,N/A,N/A,N/A,N/A,N/A
