,Image,Label,Prediction,Word_1_attention_region,Word_2_attention_region,Word_3_attention_region,Word_4_attention_region,Word_5_attention_region,Word_6_attention_region
0,0.png,seventy eight,three thirteen,3,3,N/A,N/A,N/A,N/A
1,1.png,eight hundred seven,three three seventeen,4,4,4,N/A,N/A,N/A
2,2.png,sixty four,three nine,4,4,N/A,N/A,N/A,N/A
3,3.png,six hundred four,three three three,4,4,4,N/A,N/A,N/A
4,4.png,eighty five,nine nine,3,4,N/A,N/A,N/A,N/A
5,5.png,eight hundred fifty,three twenty seventeen,4,3,3,N/A,N/A,N/A
6,6.png,thirty six,nine nine,3,3,N/A,N/A,N/A,N/A
7,7.png,three hundred six,nine nine nine,2,2,2,N/A,N/A,N/A
8,8.png,twelve,three,4,N/A,N/A,N/A,N/A,N/A
9,9.png,twenty two,three twelve,4,4,N/A,N/A,N/A,N/A
10,10.png,four hundred,three three,2,2,N/A,N/A,N/A,N/A
11,11.png,four thousand,three thousand,1,1,N/A,N/A,N/A,N/A
12,12.png,seventy six,three nine,3,3,N/A,N/A,N/A,N/A
13,13.png,seven hundred sixty,three twenty thousand,3,2,2,N/A,N/A,N/A
14,14.png,thirty one,three nine,4,4,N/A,N/A,N/A,N/A
15,15.png,three hundred one,three nine nine,2,2,2,N/A,N/A,N/A
16,16.png,eighty nine,three nine,3,3,N/A,N/A,N/A,N/A
17,17.png,eight hundred nine,three seventeen seventeen,3,3,3,N/A,N/A,N/A
18,18.png,three hundred seven,three nine nine,4,2,4,N/A,N/A,N/A
19,19.png,three hundred sixty seven,three nine nine nine,4,4,4,4,N/A,N/A
20,20.png,thirteen,twenty,3,N/A,N/A,N/A,N/A,N/A
21,21.png,forty two,three nine,3,3,N/A,N/A,N/A,N/A
22,22.png,five hundred eight,three nine seventeen,3,2,2,N/A,N/A,N/A
23,23.png,five hundred eighty,three nine seventeen,3,2,2,N/A,N/A,N/A
24,24.png,two thousand three,three twenty thousand,2,2,1,N/A,N/A,N/A
25,25.png,two thousand thirty,three three thousand,1,1,1,N/A,N/A,N/A
26,26.png,three hundred six,nine nine nine,2,2,2,N/A,N/A,N/A
27,27.png,three hundred sixty,nine nine nine,2,2,2,N/A,N/A,N/A
28,28.png,seven,eighty,4,N/A,N/A,N/A,N/A,N/A
29,29.png,eighteen,twenty,3,N/A,N/A,N/A,N/A,N/A
30,30.png,five,thirteen,4,N/A,N/A,N/A,N/A,N/A
31,31.png,eight,thirty,4,N/A,N/A,N/A,N/A,N/A
32,32.png,five hundred,three nine,3,2,N/A,N/A,N/A,N/A
33,33.png,five thousand,three seventeen,3,3,N/A,N/A,N/A,N/A
34,34.png,thirty six,nine nine,3,3,N/A,N/A,N/A,N/A
35,35.png,five hundred nine,nine nine nine,2,2,2,N/A,N/A,N/A
36,36.png,forty two,three nine,3,3,N/A,N/A,N/A,N/A
37,37.png,four hundred twenty,three twenty twenty,2,2,2,N/A,N/A,N/A
38,38.png,twenty seven,three hundred,4,4,N/A,N/A,N/A,N/A
39,39.png,two hundred seven,three three thousand,4,4,4,N/A,N/A,N/A
40,40.png,six hundred eight,three seventeen seventeen,3,3,3,N/A,N/A,N/A
41,41.png,six hundred fifty eight,three nine seventeen seventeen,2,2,2,2,N/A,N/A
42,42.png,seventeen,three,4,N/A,N/A,N/A,N/A,N/A
43,43.png,twenty eight,nine thirteen,3,3,N/A,N/A,N/A,N/A
44,44.png,five hundred sixty seven,three nine nine nine,4,4,4,4,N/A,N/A
45,45.png,five hundred seventy six,nine nine twelve twelve,3,3,3,3,N/A,N/A
46,46.png,one,eighty,4,N/A,N/A,N/A,N/A,N/A
47,47.png,nine,thirty,4,N/A,N/A,N/A,N/A,N/A
