,Image,Label,Prediction,Word_1_attention_region,Word_2_attention_region,Word_3_attention_region,Word_4_attention_region,Word_5_attention_region,Word_6_attention_region
0,0.png,seventy eight,<unk> <unk>,4,4,N/A,N/A,N/A,N/A
1,1.png,eight hundred seven,<unk> <unk> <unk>,2,2,2,N/A,N/A,N/A
2,2.png,sixty four,<unk> <unk>,3,3,N/A,N/A,N/A,N/A
3,3.png,six hundred four,eleven <unk> <unk>,4,4,4,N/A,N/A,N/A
4,4.png,eighty five,<unk> <unk>,3,3,N/A,N/A,N/A,N/A
5,5.png,eight hundred fifty,<unk> <unk> <unk>,2,2,2,N/A,N/A,N/A
6,6.png,thirty six,eleven <unk>,4,4,N/A,N/A,N/A,N/A
7,7.png,three hundred six,eleven <unk> <unk>,2,2,2,N/A,N/A,N/A
8,8.png,twelve,<unk>,4,N/A,N/A,N/A,N/A,N/A
9,9.png,twenty two,eleven <unk>,3,3,N/A,N/A,N/A,N/A
10,10.png,four hundred,thousand <unk>,2,2,N/A,N/A,N/A,N/A
11,11.png,four thousand,fifteen ninety,1,1,N/A,N/A,N/A,N/A
12,12.png,seventy six,<unk> <unk>,4,4,N/A,N/A,N/A,N/A
13,13.png,seven hundred sixty,<unk> <unk> <unk>,2,2,2,N/A,N/A,N/A
14,14.png,thirty one,<unk> thirteen,4,3,N/A,N/A,N/A,N/A
15,15.png,three hundred one,eleven <unk> ninety,2,2,2,N/A,N/A,N/A
16,16.png,eighty nine,<unk> <unk>,4,4,N/A,N/A,N/A,N/A
17,17.png,eight hundred nine,<unk> <unk> <unk>,4,2,2,N/A,N/A,N/A
18,18.png,three hundred seven,<unk> <unk> sixteen,2,2,2,N/A,N/A,N/A
19,19.png,three hundred sixty seven,<unk> sixteen sixteen sixteen,2,4,4,4,N/A,N/A
20,20.png,thirteen,<unk>,4,N/A,N/A,N/A,N/A,N/A
21,21.png,forty two,thousand thirteen,4,4,N/A,N/A,N/A,N/A
22,22.png,five hundred eight,<unk> <unk> <unk>,4,4,4,N/A,N/A,N/A
23,23.png,five hundred eighty,<unk> <unk> <unk>,3,3,3,N/A,N/A,N/A
24,24.png,two thousand three,<unk> <unk> <unk>,4,4,4,N/A,N/A,N/A
25,25.png,two thousand thirty,<unk> <unk> <unk>,4,4,4,N/A,N/A,N/A
26,26.png,three hundred six,eleven <unk> <unk>,2,2,2,N/A,N/A,N/A
27,27.png,three hundred sixty,eleven <unk> <unk>,2,2,2,N/A,N/A,N/A
28,28.png,seven,<unk>,4,N/A,N/A,N/A,N/A,N/A
29,29.png,eighteen,<unk>,4,N/A,N/A,N/A,N/A,N/A
30,30.png,five,eleven,4,N/A,N/A,N/A,N/A,N/A
31,31.png,eight,<unk>,4,N/A,N/A,N/A,N/A,N/A
32,32.png,five hundred,eleven <unk>,2,2,N/A,N/A,N/A,N/A
33,33.png,five thousand,fifteen <unk>,3,3,N/A,N/A,N/A,N/A
34,34.png,thirty six,eleven <unk>,4,4,N/A,N/A,N/A,N/A
35,35.png,five hundred nine,<unk> <unk> <unk>,2,4,4,N/A,N/A,N/A
36,36.png,forty two,thousand thirteen,4,4,N/A,N/A,N/A,N/A
37,37.png,four hundred twenty,thousand thousand ninety,2,2,2,N/A,N/A,N/A
38,38.png,twenty seven,<unk> thirteen,4,4,N/A,N/A,N/A,N/A
39,39.png,two hundred seven,<unk> <unk> <unk>,4,4,4,N/A,N/A,N/A
40,40.png,six hundred eight,<unk> <unk> <unk>,4,4,4,N/A,N/A,N/A
41,41.png,six hundred fifty eight,<unk> <unk> <unk> <unk>,4,4,4,4,N/A,N/A
42,42.png,seventeen,<unk>,4,N/A,N/A,N/A,N/A,N/A
43,43.png,twenty eight,<unk> <unk>,4,4,N/A,N/A,N/A,N/A
44,44.png,five hundred sixty seven,<unk> <unk> sixteen sixteen,4,4,4,4,N/A,N/A
45,45.png,five hundred seventy six,eleven <unk> <unk> sixteen,2,2,2,2,N/A,N/A
46,46.png,one,sixteen,4,N/A,N/A,N/A,N/A,N/A
47,47.png,nine,<unk>,4,N/A,N/A,N/A,N/A,N/A
