,Image,Label,Prediction,Word_1_attention_region,Word_2_attention_region,Word_3_attention_region,Word_4_attention_region,Word_5_attention_region,Word_6_attention_region
0,0.png,two hundred six,five five five,4,2,2,N/A,N/A,N/A
1,1.png,two hundred sixty,fifteen five ten,2,2,2,N/A,N/A,N/A
2,2.png,one hundred,fifteen six,3,3,N/A,N/A,N/A,N/A
3,3.png,one thousand,fifteen five,3,4,N/A,N/A,N/A,N/A
4,4.png,sixty seven,ten six,4,4,N/A,N/A,N/A,N/A
5,5.png,six hundred seventy,fifteen six six,3,3,3,N/A,N/A,N/A
6,6.png,one thousand two,fifteen five five,3,2,2,N/A,N/A,N/A
7,7.png,one thousand twenty,five five five,4,2,2,N/A,N/A,N/A
8,8.png,twenty one,ten six,3,3,N/A,N/A,N/A,N/A
9,9.png,two hundred one,five six ten,2,2,2,N/A,N/A,N/A
10,10.png,one hundred five,five five five,3,3,3,N/A,N/A,N/A
11,11.png,one hundred twenty five,five six ten ten,3,3,3,3,N/A,N/A
12,12.png,three hundred five,five five five,3,4,4,N/A,N/A,N/A
13,13.png,three hundred fifty,five five five,4,4,4,N/A,N/A,N/A
14,14.png,forty two,sixteen six,4,4,N/A,N/A,N/A,N/A
15,15.png,four hundred two,fifteen six six,2,2,2,N/A,N/A,N/A
16,16.png,five,ten,4,N/A,N/A,N/A,N/A,N/A
17,17.png,fifteen,ten,3,N/A,N/A,N/A,N/A,N/A
18,18.png,eleven,eighty,4,N/A,N/A,N/A,N/A,N/A
19,19.png,twenty four,sixteen six,3,3,N/A,N/A,N/A,N/A
20,20.png,two,six,4,N/A,N/A,N/A,N/A,N/A
21,21.png,eight,ten,4,N/A,N/A,N/A,N/A,N/A
22,22.png,twenty five,ten ten,3,3,N/A,N/A,N/A,N/A
23,23.png,four hundred five,five five five,2,2,2,N/A,N/A,N/A
24,24.png,sixty two,thirty six,4,4,N/A,N/A,N/A,N/A
25,25.png,six hundred two,fifteen six six,2,4,4,N/A,N/A,N/A
26,26.png,twenty one,ten six,3,3,N/A,N/A,N/A,N/A
27,27.png,two hundred ten,fifteen six six,4,2,2,N/A,N/A,N/A
28,28.png,twenty four,sixteen six,3,3,N/A,N/A,N/A,N/A
29,29.png,two hundred four,ten six ten,2,4,4,N/A,N/A,N/A
30,30.png,seventeen,forty,4,N/A,N/A,N/A,N/A,N/A
31,31.png,twenty one,ten six,3,3,N/A,N/A,N/A,N/A
32,32.png,thirty five,ten ten,4,4,N/A,N/A,N/A,N/A
33,33.png,three hundred five,five five five,3,4,4,N/A,N/A,N/A
34,34.png,forty seven,forty six,4,4,N/A,N/A,N/A,N/A
35,35.png,four hundred seventy,six six six,3,3,3,N/A,N/A,N/A
36,36.png,nineteen,ten,3,N/A,N/A,N/A,N/A,N/A
37,37.png,one hundred nine,fifteen five five,3,2,2,N/A,N/A,N/A
38,38.png,sixteen,ten,4,N/A,N/A,N/A,N/A,N/A
39,39.png,one hundred six,five five five,4,4,4,N/A,N/A,N/A
40,40.png,fifty three,ten ten,3,3,N/A,N/A,N/A,N/A
41,41.png,eighty,fifteen,4,N/A,N/A,N/A,N/A,N/A
42,42.png,two hundred sixteen,fifteen six six,4,4,4,N/A,N/A,N/A
43,43.png,two hundred sixty one,ten ten ten ten,2,3,3,3,N/A,N/A
44,44.png,four hundred twelve,six six six,4,4,4,N/A,N/A,N/A
45,45.png,four hundred twenty one,sixteen six six six,3,2,2,2,N/A,N/A
46,46.png,six,ten,4,N/A,N/A,N/A,N/A,N/A
47,47.png,thirteen,ten,3,N/A,N/A,N/A,N/A,N/A
