,Image,Label,Prediction,Word_1_attention_region,Word_2_attention_region,Word_3_attention_region,Word_4_attention_region,Word_5_attention_region,Word_6_attention_region
0,0.png,seventy eight,nine nine,3,3,N/A,N/A,N/A,N/A
1,1.png,eight hundred seven,nine nine nineteen,4,4,4,N/A,N/A,N/A
2,2.png,sixty four,nine nine,4,4,N/A,N/A,N/A,N/A
3,3.png,six hundred four,nine nine fifty,4,4,4,N/A,N/A,N/A
4,4.png,eighty five,nine nineteen,3,3,N/A,N/A,N/A,N/A
5,5.png,eight hundred fifty,nine fifty fifty,2,2,2,N/A,N/A,N/A
6,6.png,thirty six,nine fifty,3,3,N/A,N/A,N/A,N/A
7,7.png,three hundred six,nine nineteen fifty,2,2,2,N/A,N/A,N/A
8,8.png,twelve,nine,4,N/A,N/A,N/A,N/A,N/A
9,9.png,twenty two,nine fifty,4,3,N/A,N/A,N/A,N/A
10,10.png,four hundred,nine nine,2,2,N/A,N/A,N/A,N/A
11,11.png,four thousand,nine nine,1,1,N/A,N/A,N/A,N/A
12,12.png,seventy six,nine nine,3,3,N/A,N/A,N/A,N/A
13,13.png,seven hundred sixty,nine nine four,2,2,2,N/A,N/A,N/A
14,14.png,thirty one,nine nine,4,4,N/A,N/A,N/A,N/A
15,15.png,three hundred one,nine nine nineteen,4,4,4,N/A,N/A,N/A
16,16.png,eighty nine,nine fifty,3,3,N/A,N/A,N/A,N/A
17,17.png,eight hundred nine,nine fifty fifty,2,2,2,N/A,N/A,N/A
18,18.png,three hundred seven,nine nineteen eight,2,4,2,N/A,N/A,N/A
19,19.png,three hundred sixty seven,nine nine nineteen eight,4,4,4,4,N/A,N/A
20,20.png,thirteen,nine,3,N/A,N/A,N/A,N/A,N/A
21,21.png,forty two,nine nine,3,3,N/A,N/A,N/A,N/A
22,22.png,five hundred eight,nine fifty fifty,2,4,4,N/A,N/A,N/A
23,23.png,five hundred eighty,nine fifty fifty,2,2,2,N/A,N/A,N/A
24,24.png,two thousand three,nine nine four,3,3,3,N/A,N/A,N/A
25,25.png,two thousand thirty,nine nine four,3,4,4,N/A,N/A,N/A
26,26.png,three hundred six,nine nineteen fifty,2,2,2,N/A,N/A,N/A
27,27.png,three hundred sixty,nine nine fifty,2,2,2,N/A,N/A,N/A
28,28.png,seven,nine,4,N/A,N/A,N/A,N/A,N/A
29,29.png,eighteen,nine,3,N/A,N/A,N/A,N/A,N/A
30,30.png,five,forty,4,N/A,N/A,N/A,N/A,N/A
31,31.png,eight,seventy,4,N/A,N/A,N/A,N/A,N/A
32,32.png,five hundred,nine four,2,2,N/A,N/A,N/A,N/A
33,33.png,five thousand,nine nine,1,1,N/A,N/A,N/A,N/A
34,34.png,thirty six,nine fifty,3,3,N/A,N/A,N/A,N/A
35,35.png,five hundred nine,nine fifty fifty,2,2,2,N/A,N/A,N/A
36,36.png,forty two,nine nine,3,3,N/A,N/A,N/A,N/A
37,37.png,four hundred twenty,nine nine nine,2,2,2,N/A,N/A,N/A
38,38.png,twenty seven,nine nine,4,4,N/A,N/A,N/A,N/A
39,39.png,two hundred seven,nine four four,4,4,4,N/A,N/A,N/A
40,40.png,six hundred eight,nine fifty fifty,2,2,2,N/A,N/A,N/A
41,41.png,six hundred fifty eight,nine fifty fifty fifty,2,2,2,2,N/A,N/A
42,42.png,seventeen,nine,3,N/A,N/A,N/A,N/A,N/A
43,43.png,twenty eight,nine fifty,3,3,N/A,N/A,N/A,N/A
44,44.png,five hundred sixty seven,nine nine nineteen fifty,4,4,4,4,N/A,N/A
45,45.png,five hundred seventy six,nine nine four four,3,3,3,3,N/A,N/A
46,46.png,one,nine,4,N/A,N/A,N/A,N/A,N/A
47,47.png,nine,fifty,4,N/A,N/A,N/A,N/A,N/A
