,Image,Label,Prediction,Word_1_attention_region,Word_2_attention_region,Word_3_attention_region,Word_4_attention_region,Word_5_attention_region,Word_6_attention_region
0,0.png,seventy eight,sixteen sixteen,3,3,N/A,N/A,N/A,N/A
1,1.png,eight hundred seven,hundred fifteen <end>,4,4,N/A,N/A,N/A,N/A
2,2.png,sixty four,fourteen twenty,4,4,N/A,N/A,N/A,N/A
3,3.png,six hundred four,twenty twenty twenty,3,3,3,N/A,N/A,N/A
4,4.png,eighty five,fifteen fifteen,4,4,N/A,N/A,N/A,N/A
5,5.png,eight hundred fifty,fifteen fifteen <end>,3,3,N/A,N/A,N/A,N/A
6,6.png,thirty six,twenty twenty,3,3,N/A,N/A,N/A,N/A
7,7.png,three hundred six,twenty twenty <end>,4,2,N/A,N/A,N/A,N/A
8,8.png,twelve,fourteen,4,N/A,N/A,N/A,N/A,N/A
9,9.png,twenty two,twenty twenty,3,3,N/A,N/A,N/A,N/A
10,10.png,four hundred,twenty twenty,4,4,N/A,N/A,N/A,N/A
11,11.png,four thousand,twenty fifteen,3,3,N/A,N/A,N/A,N/A
12,12.png,seventy six,twenty twenty,3,3,N/A,N/A,N/A,N/A
13,13.png,seven hundred sixty,twenty fifteen <end>,4,4,N/A,N/A,N/A,N/A
14,14.png,thirty one,fourteen twenty,4,4,N/A,N/A,N/A,N/A
15,15.png,three hundred one,twenty twenty twenty,4,4,4,N/A,N/A,N/A
16,16.png,eighty nine,hundred fifteen,3,3,N/A,N/A,N/A,N/A
17,17.png,eight hundred nine,hundred fifteen <end>,3,3,N/A,N/A,N/A,N/A
18,18.png,three hundred seven,twenty twenty <end>,4,4,N/A,N/A,N/A,N/A
19,19.png,three hundred sixty seven,twenty twenty twenty twenty,4,4,4,4,N/A,N/A
20,20.png,thirteen,fourteen,3,N/A,N/A,N/A,N/A,N/A
21,21.png,forty two,fourteen twenty,4,4,N/A,N/A,N/A,N/A
22,22.png,five hundred eight,twenty fifteen fifteen,2,2,2,N/A,N/A,N/A
23,23.png,five hundred eighty,hundred fifteen fifteen,2,2,2,N/A,N/A,N/A
24,24.png,two thousand three,twenty twenty twenty,2,1,1,N/A,N/A,N/A
25,25.png,two thousand thirty,twenty twenty twenty,1,1,1,N/A,N/A,N/A
26,26.png,three hundred six,twenty twenty <end>,4,2,N/A,N/A,N/A,N/A
27,27.png,three hundred sixty,twenty twenty <end>,2,2,N/A,N/A,N/A,N/A
28,28.png,seven,<end>,N/A,N/A,N/A,N/A,N/A,N/A
29,29.png,eighteen,hundred,3,N/A,N/A,N/A,N/A,N/A
30,30.png,five,seventy,4,N/A,N/A,N/A,N/A,N/A
31,31.png,eight,hundred,4,N/A,N/A,N/A,N/A,N/A
32,32.png,five hundred,twenty fifteen,2,2,N/A,N/A,N/A,N/A
33,33.png,five thousand,twenty fifteen,2,1,N/A,N/A,N/A,N/A
34,34.png,thirty six,twenty twenty,3,3,N/A,N/A,N/A,N/A
35,35.png,five hundred nine,twenty fifteen fifteen,2,2,2,N/A,N/A,N/A
36,36.png,forty two,fourteen twenty,4,4,N/A,N/A,N/A,N/A
37,37.png,four hundred twenty,twenty twenty twenty,4,4,3,N/A,N/A,N/A
38,38.png,twenty seven,twenty twenty,3,3,N/A,N/A,N/A,N/A
39,39.png,two hundred seven,twenty twenty twenty,4,2,2,N/A,N/A,N/A
40,40.png,six hundred eight,hundred fifteen fifteen,3,2,3,N/A,N/A,N/A
41,41.png,six hundred fifty eight,fifteen fifteen fifteen <end>,2,2,2,N/A,N/A,N/A
42,42.png,seventeen,sixteen,3,N/A,N/A,N/A,N/A,N/A
43,43.png,twenty eight,fifteen fifteen,3,3,N/A,N/A,N/A,N/A
44,44.png,five hundred sixty seven,twenty twenty twenty twenty,4,4,4,4,N/A,N/A
45,45.png,five hundred seventy six,twenty twenty twenty twenty,3,2,2,2,N/A,N/A
46,46.png,one,fourteen,4,N/A,N/A,N/A,N/A,N/A
47,47.png,nine,fourteen,4,N/A,N/A,N/A,N/A,N/A
