,Image,Label,Prediction,Word_1_attention_region,Word_2_attention_region,Word_3_attention_region,Word_4_attention_region,Word_5_attention_region,Word_6_attention_region
0,0.png,two hundred six,fifty nine nine,2,2,2,N/A,N/A,N/A
1,1.png,two hundred sixty,fifty nine nine,2,2,2,N/A,N/A,N/A
2,2.png,one hundred,nine nine,2,2,N/A,N/A,N/A,N/A
3,3.png,one thousand,nine nine,1,1,N/A,N/A,N/A,N/A
4,4.png,sixty seven,nine nine,4,4,N/A,N/A,N/A,N/A
5,5.png,six hundred seventy,nine nine nine,3,3,3,N/A,N/A,N/A
6,6.png,one thousand two,nine nine nine,1,1,1,N/A,N/A,N/A
7,7.png,one thousand twenty,fifty nine nine,1,1,1,N/A,N/A,N/A
8,8.png,twenty one,nine nine,4,4,N/A,N/A,N/A,N/A
9,9.png,two hundred one,fifty nine <pad>,4,4,4,N/A,N/A,N/A
10,10.png,one hundred five,fifty nine two,2,2,2,N/A,N/A,N/A
11,11.png,one hundred twenty five,fifty nine two two,2,2,2,2,N/A,N/A
12,12.png,three hundred five,fifty fifty <unk>,2,2,2,N/A,N/A,N/A
13,13.png,three hundred fifty,fifty nine <unk>,2,2,2,N/A,N/A,N/A
14,14.png,forty two,nine two,3,3,N/A,N/A,N/A,N/A
15,15.png,four hundred two,fifty nine two,2,2,2,N/A,N/A,N/A
16,16.png,five,nineteen,4,N/A,N/A,N/A,N/A,N/A
17,17.png,fifteen,nine,3,N/A,N/A,N/A,N/A,N/A
18,18.png,eleven,<pad>,4,N/A,N/A,N/A,N/A,N/A
19,19.png,twenty four,nine nine,4,4,N/A,N/A,N/A,N/A
20,20.png,two,nine,4,N/A,N/A,N/A,N/A,N/A
21,21.png,eight,nineteen,4,N/A,N/A,N/A,N/A,N/A
22,22.png,twenty five,nine nine,3,3,N/A,N/A,N/A,N/A
23,23.png,four hundred five,fifty two two,2,2,2,N/A,N/A,N/A
24,24.png,sixty two,nine nine,3,4,N/A,N/A,N/A,N/A
25,25.png,six hundred two,fifty nine nine,2,2,2,N/A,N/A,N/A
26,26.png,twenty one,nine nine,4,4,N/A,N/A,N/A,N/A
27,27.png,two hundred ten,nine nine nine,3,3,3,N/A,N/A,N/A
28,28.png,twenty four,nine nine,4,4,N/A,N/A,N/A,N/A
29,29.png,two hundred four,fifty nine two,4,4,4,N/A,N/A,N/A
30,30.png,seventeen,nine,3,N/A,N/A,N/A,N/A,N/A
31,31.png,twenty one,nine nine,4,4,N/A,N/A,N/A,N/A
32,32.png,thirty five,fifty <unk>,3,3,N/A,N/A,N/A,N/A
33,33.png,three hundred five,fifty fifty <unk>,2,2,2,N/A,N/A,N/A
34,34.png,forty seven,nine two,3,3,N/A,N/A,N/A,N/A
35,35.png,four hundred seventy,nine two two,2,2,2,N/A,N/A,N/A
36,36.png,nineteen,<pad>,3,N/A,N/A,N/A,N/A,N/A
37,37.png,one hundred nine,fifty nine nine,2,2,2,N/A,N/A,N/A
38,38.png,sixteen,<pad>,3,N/A,N/A,N/A,N/A,N/A
39,39.png,one hundred six,fifty nine <unk>,2,2,2,N/A,N/A,N/A
40,40.png,fifty three,nine <unk>,3,3,N/A,N/A,N/A,N/A
41,41.png,eighty,nine,3,N/A,N/A,N/A,N/A,N/A
42,42.png,two hundred sixteen,nine nine nine,3,3,3,N/A,N/A,N/A
43,43.png,two hundred sixty one,fifty nine two two,4,4,4,4,N/A,N/A
44,44.png,four hundred twelve,nine two two,2,2,2,N/A,N/A,N/A
45,45.png,four hundred twenty one,fifty two two two,2,2,2,2,N/A,N/A
46,46.png,six,nineteen,4,N/A,N/A,N/A,N/A,N/A
47,47.png,thirteen,nine,3,N/A,N/A,N/A,N/A,N/A
