,Image,Label,Prediction,Word_1_attention_region,Word_2_attention_region,Word_3_attention_region,Word_4_attention_region,Word_5_attention_region,Word_6_attention_region
0,0.png,seventy eight,<pad> <unk>,4,4,N/A,N/A,N/A,N/A
1,1.png,eight hundred seven,four thousand thousand,2,2,2,N/A,N/A,N/A
2,2.png,sixty four,<unk> <unk>,3,3,N/A,N/A,N/A,N/A
3,3.png,six hundred four,five <unk> thousand,2,2,2,N/A,N/A,N/A
4,4.png,eighty five,<pad> <unk>,3,3,N/A,N/A,N/A,N/A
5,5.png,eight hundred fifty,four thousand thousand,2,2,2,N/A,N/A,N/A
6,6.png,thirty six,<pad> <unk>,4,4,N/A,N/A,N/A,N/A
7,7.png,three hundred six,four thousand thousand,4,4,4,N/A,N/A,N/A
8,8.png,twelve,<unk>,4,N/A,N/A,N/A,N/A,N/A
9,9.png,twenty two,seven <unk>,3,3,N/A,N/A,N/A,N/A
10,10.png,four hundred,five <unk>,2,2,N/A,N/A,N/A,N/A
11,11.png,four thousand,two thousand,2,2,N/A,N/A,N/A,N/A
12,12.png,seventy six,fifty <unk>,4,4,N/A,N/A,N/A,N/A
13,13.png,seven hundred sixty,fifty <unk> <unk>,4,4,4,N/A,N/A,N/A
14,14.png,thirty one,<unk> <unk>,3,3,N/A,N/A,N/A,N/A
15,15.png,three hundred one,five <unk> <unk>,4,4,4,N/A,N/A,N/A
16,16.png,eighty nine,<pad> thousand,3,3,N/A,N/A,N/A,N/A
17,17.png,eight hundred nine,four thousand thousand,2,2,2,N/A,N/A,N/A
18,18.png,three hundred seven,fifty <unk> <unk>,3,3,3,N/A,N/A,N/A
19,19.png,three hundred sixty seven,<pad> <unk> <unk> <unk>,3,3,3,3,N/A,N/A
20,20.png,thirteen,<unk>,4,N/A,N/A,N/A,N/A,N/A
21,21.png,forty two,<unk> <unk>,4,3,N/A,N/A,N/A,N/A
22,22.png,five hundred eight,four thousand thousand,4,4,4,N/A,N/A,N/A
23,23.png,five hundred eighty,four thousand thousand,3,3,3,N/A,N/A,N/A
24,24.png,two thousand three,four two eight,1,1,1,N/A,N/A,N/A
25,25.png,two thousand thirty,four <unk> <unk>,1,1,1,N/A,N/A,N/A
26,26.png,three hundred six,four thousand thousand,4,4,4,N/A,N/A,N/A
27,27.png,three hundred sixty,four thousand thousand,4,4,4,N/A,N/A,N/A
28,28.png,seven,<start>,N/A,N/A,N/A,N/A,N/A,N/A
29,29.png,eighteen,<unk>,4,N/A,N/A,N/A,N/A,N/A
30,30.png,five,<pad>,4,N/A,N/A,N/A,N/A,N/A
31,31.png,eight,<pad>,4,N/A,N/A,N/A,N/A,N/A
32,32.png,five hundred,five thousand,4,2,N/A,N/A,N/A,N/A
33,33.png,five thousand,four thousand,4,4,N/A,N/A,N/A,N/A
34,34.png,thirty six,<pad> <unk>,4,4,N/A,N/A,N/A,N/A
35,35.png,five hundred nine,five thousand thousand,4,2,4,N/A,N/A,N/A
36,36.png,forty two,<unk> <unk>,4,3,N/A,N/A,N/A,N/A
37,37.png,four hundred twenty,five <unk> <unk>,4,4,4,N/A,N/A,N/A
38,38.png,twenty seven,fifty <unk>,3,3,N/A,N/A,N/A,N/A
39,39.png,two hundred seven,fifty two <unk>,2,3,3,N/A,N/A,N/A
40,40.png,six hundred eight,four thousand thousand,4,4,4,N/A,N/A,N/A
41,41.png,six hundred fifty eight,four thousand thousand thousand,4,4,4,4,N/A,N/A
42,42.png,seventeen,<unk>,3,N/A,N/A,N/A,N/A,N/A
43,43.png,twenty eight,five thousand,4,4,N/A,N/A,N/A,N/A
44,44.png,five hundred sixty seven,four <unk> thousand thousand,2,2,2,2,N/A,N/A
45,45.png,five hundred seventy six,fifty <unk> <unk> <unk>,4,4,4,4,N/A,N/A
46,46.png,one,<pad>,4,N/A,N/A,N/A,N/A,N/A
47,47.png,nine,<pad>,4,N/A,N/A,N/A,N/A,N/A
