,Image,Label,Prediction,Word_1_attention_region,Word_2_attention_region,Word_3_attention_region,Word_4_attention_region,Word_5_attention_region,Word_6_attention_region
0,0.png,two hundred six,thirty thirty thirty,4,4,4,N/A,N/A,N/A
1,1.png,two hundred sixty,thirty thirty thirty,3,3,3,N/A,N/A,N/A
2,2.png,one hundred,nine thirty,2,2,N/A,N/A,N/A,N/A
3,3.png,one thousand,five thirty,1,1,N/A,N/A,N/A,N/A
4,4.png,sixty seven,nine thirty,4,3,N/A,N/A,N/A,N/A
5,5.png,six hundred seventy,nine thirty thirty,3,3,3,N/A,N/A,N/A
6,6.png,one thousand two,five thirty thirty,1,1,1,N/A,N/A,N/A
7,7.png,one thousand twenty,thirty thirty thirty,1,1,1,N/A,N/A,N/A
8,8.png,twenty one,thirty thirty,4,4,N/A,N/A,N/A,N/A
9,9.png,two hundred one,thirty thirty thirty,4,4,4,N/A,N/A,N/A
10,10.png,one hundred five,thirty thirty thirty,2,2,2,N/A,N/A,N/A
11,11.png,one hundred twenty five,thirty thirty thirty thirty,2,2,2,2,N/A,N/A
12,12.png,three hundred five,thirty thirty thirty,2,2,2,N/A,N/A,N/A
13,13.png,three hundred fifty,thirty thirty thirty,3,3,3,N/A,N/A,N/A
14,14.png,forty two,thirty thirty,4,4,N/A,N/A,N/A,N/A
15,15.png,four hundred two,thirty thirty thirty,2,3,3,N/A,N/A,N/A
16,16.png,five,nine,4,N/A,N/A,N/A,N/A,N/A
17,17.png,fifteen,thirty,3,N/A,N/A,N/A,N/A,N/A
18,18.png,eleven,thirty,4,N/A,N/A,N/A,N/A,N/A
19,19.png,twenty four,thirty thirty,3,3,N/A,N/A,N/A,N/A
20,20.png,two,thirty,4,N/A,N/A,N/A,N/A,N/A
21,21.png,eight,nine,4,N/A,N/A,N/A,N/A,N/A
22,22.png,twenty five,thirty thirty,3,3,N/A,N/A,N/A,N/A
23,23.png,four hundred five,thirty thirty thirty,3,4,3,N/A,N/A,N/A
24,24.png,sixty two,thirty thirty,4,3,N/A,N/A,N/A,N/A
25,25.png,six hundred two,thirty thirty thirty,3,2,2,N/A,N/A,N/A
26,26.png,twenty one,thirty thirty,4,4,N/A,N/A,N/A,N/A
27,27.png,two hundred ten,nine thirty thirty,3,3,3,N/A,N/A,N/A
28,28.png,twenty four,thirty thirty,3,3,N/A,N/A,N/A,N/A
29,29.png,two hundred four,thirty thirty thirty,2,2,2,N/A,N/A,N/A
30,30.png,seventeen,fifteen,3,N/A,N/A,N/A,N/A,N/A
31,31.png,twenty one,thirty thirty,4,4,N/A,N/A,N/A,N/A
32,32.png,thirty five,thirty thirty,3,4,N/A,N/A,N/A,N/A
33,33.png,three hundred five,thirty thirty thirty,2,2,2,N/A,N/A,N/A
34,34.png,forty seven,thirty thirty,4,4,N/A,N/A,N/A,N/A
35,35.png,four hundred seventy,thirty thirty thirty,2,3,3,N/A,N/A,N/A
36,36.png,nineteen,thirty,3,N/A,N/A,N/A,N/A,N/A
37,37.png,one hundred nine,thirty thirty thirty,2,2,2,N/A,N/A,N/A
38,38.png,sixteen,thirty,3,N/A,N/A,N/A,N/A,N/A
39,39.png,one hundred six,thirty thirty thirty,4,4,4,N/A,N/A,N/A
40,40.png,fifty three,thirty thirty,3,3,N/A,N/A,N/A,N/A
41,41.png,eighty,thirty,3,N/A,N/A,N/A,N/A,N/A
42,42.png,two hundred sixteen,thirty thirty thirty,3,3,3,N/A,N/A,N/A
43,43.png,two hundred sixty one,thirty thirty thirty thirty,3,2,2,2,N/A,N/A
44,44.png,four hundred twelve,thirty thirty thirty,3,3,3,N/A,N/A,N/A
45,45.png,four hundred twenty one,thirty thirty thirty thirty,4,4,4,4,N/A,N/A
46,46.png,six,sixty,4,N/A,N/A,N/A,N/A,N/A
47,47.png,thirteen,thirty,3,N/A,N/A,N/A,N/A,N/A
