,Image,Label,Prediction,Word_1_attention_region,Word_2_attention_region,Word_3_attention_region,Word_4_attention_region,Word_5_attention_region,Word_6_attention_region
0,0.png,two hundred six,seven one one,2,2,2,N/A,N/A,N/A
1,1.png,two hundred sixty,seven one one,2,2,2,N/A,N/A,N/A
2,2.png,one hundred,seven one,2,2,N/A,N/A,N/A,N/A
3,3.png,one thousand,seven seven,2,2,N/A,N/A,N/A,N/A
4,4.png,sixty seven,seven seven,4,4,N/A,N/A,N/A,N/A
5,5.png,six hundred seventy,seven one one,3,3,3,N/A,N/A,N/A
6,6.png,one thousand two,seven seven one,2,2,2,N/A,N/A,N/A
7,7.png,one thousand twenty,seven one one,2,2,2,N/A,N/A,N/A
8,8.png,twenty one,seven seven,3,3,N/A,N/A,N/A,N/A
9,9.png,two hundred one,seven seven seven,4,4,4,N/A,N/A,N/A
10,10.png,one hundred five,seven one one,2,2,2,N/A,N/A,N/A
11,11.png,one hundred twenty five,seven seven seven seven,2,2,2,2,N/A,N/A
12,12.png,three hundred five,seven seven one,2,2,2,N/A,N/A,N/A
13,13.png,three hundred fifty,seven seven one,2,2,2,N/A,N/A,N/A
14,14.png,forty two,seven seven,4,4,N/A,N/A,N/A,N/A
15,15.png,four hundred two,seven seven seven,3,3,3,N/A,N/A,N/A
16,16.png,five,seven,4,N/A,N/A,N/A,N/A,N/A
17,17.png,fifteen,seven,3,N/A,N/A,N/A,N/A,N/A
18,18.png,eleven,seven,4,N/A,N/A,N/A,N/A,N/A
19,19.png,twenty four,seven seven,3,3,N/A,N/A,N/A,N/A
20,20.png,two,seven,4,N/A,N/A,N/A,N/A,N/A
21,21.png,eight,eighteen,4,N/A,N/A,N/A,N/A,N/A
22,22.png,twenty five,seven seven,3,3,N/A,N/A,N/A,N/A
23,23.png,four hundred five,seven seven seven,3,3,3,N/A,N/A,N/A
24,24.png,sixty two,seven seven,4,4,N/A,N/A,N/A,N/A
25,25.png,six hundred two,seven one one,2,2,2,N/A,N/A,N/A
26,26.png,twenty one,seven seven,3,3,N/A,N/A,N/A,N/A
27,27.png,two hundred ten,seven seven seven,2,2,3,N/A,N/A,N/A
28,28.png,twenty four,seven seven,3,3,N/A,N/A,N/A,N/A
29,29.png,two hundred four,seven seven seven,2,2,2,N/A,N/A,N/A
30,30.png,seventeen,seven,4,N/A,N/A,N/A,N/A,N/A
31,31.png,twenty one,seven seven,3,3,N/A,N/A,N/A,N/A
32,32.png,thirty five,seven seven,3,3,N/A,N/A,N/A,N/A
33,33.png,three hundred five,seven seven one,2,2,2,N/A,N/A,N/A
34,34.png,forty seven,seven seven,4,4,N/A,N/A,N/A,N/A
35,35.png,four hundred seventy,seven seven seven,3,3,3,N/A,N/A,N/A
36,36.png,nineteen,seven,3,N/A,N/A,N/A,N/A,N/A
37,37.png,one hundred nine,seven one one,2,2,2,N/A,N/A,N/A
38,38.png,sixteen,seven,3,N/A,N/A,N/A,N/A,N/A
39,39.png,one hundred six,seven one one,2,2,2,N/A,N/A,N/A
40,40.png,fifty three,seven seven,4,3,N/A,N/A,N/A,N/A
41,41.png,eighty,seven,4,N/A,N/A,N/A,N/A,N/A
42,42.png,two hundred sixteen,seven seven seven,2,2,3,N/A,N/A,N/A
43,43.png,two hundred sixty one,seven seven seven seven,2,4,4,4,N/A,N/A
44,44.png,four hundred twelve,seven seven seven,3,3,3,N/A,N/A,N/A
45,45.png,four hundred twenty one,seven seven seven seven,4,4,4,4,N/A,N/A
46,46.png,six,seven,4,N/A,N/A,N/A,N/A,N/A
47,47.png,thirteen,seven,3,N/A,N/A,N/A,N/A,N/A
