,Image,Label,Prediction,Word_1_attention_region,Word_2_attention_region,Word_3_attention_region,Word_4_attention_region,Word_5_attention_region,Word_6_attention_region
0,0.png,seventy eight,twenty four,3,3,N/A,N/A,N/A,N/A
1,1.png,eight hundred seven,fourteen fourteen fourteen,4,4,4,N/A,N/A,N/A
2,2.png,sixty four,fourteen four,4,3,N/A,N/A,N/A,N/A
3,3.png,six hundred four,fourteen fourteen fourteen,2,2,2,N/A,N/A,N/A
4,4.png,eighty five,eleven fourteen,4,3,N/A,N/A,N/A,N/A
5,5.png,eight hundred fifty,seventy fourteen fourteen,3,4,4,N/A,N/A,N/A
6,6.png,thirty six,fourteen fourteen,3,3,N/A,N/A,N/A,N/A
7,7.png,three hundred six,eleven fourteen fourteen,4,4,4,N/A,N/A,N/A
8,8.png,twelve,twenty,4,N/A,N/A,N/A,N/A,N/A
9,9.png,twenty two,twenty four,4,4,N/A,N/A,N/A,N/A
10,10.png,four hundred,seventy fourteen,2,4,N/A,N/A,N/A,N/A
11,11.png,four thousand,seventy fourteen,3,3,N/A,N/A,N/A,N/A
12,12.png,seventy six,twenty four,3,3,N/A,N/A,N/A,N/A
13,13.png,seven hundred sixty,fourteen fourteen fourteen,2,2,2,N/A,N/A,N/A
14,14.png,thirty one,fourteen fourteen,3,3,N/A,N/A,N/A,N/A
15,15.png,three hundred one,fourteen fourteen fourteen,3,3,3,N/A,N/A,N/A
16,16.png,eighty nine,eleven four,4,4,N/A,N/A,N/A,N/A
17,17.png,eight hundred nine,seventy fourteen fourteen,4,4,4,N/A,N/A,N/A
18,18.png,three hundred seven,fourteen fourteen fourteen,4,3,4,N/A,N/A,N/A
19,19.png,three hundred sixty seven,eleven fourteen fourteen fourteen,4,3,3,4,N/A,N/A
20,20.png,thirteen,<pad>,3,N/A,N/A,N/A,N/A,N/A
21,21.png,forty two,seventeen four,4,4,N/A,N/A,N/A,N/A
22,22.png,five hundred eight,fourteen fourteen fourteen,3,3,3,N/A,N/A,N/A
23,23.png,five hundred eighty,fourteen fourteen fourteen,4,4,4,N/A,N/A,N/A
24,24.png,two thousand three,seventy fourteen fourteen,2,2,3,N/A,N/A,N/A
25,25.png,two thousand thirty,seventy fourteen fourteen,3,3,3,N/A,N/A,N/A
26,26.png,three hundred six,eleven fourteen fourteen,4,4,4,N/A,N/A,N/A
27,27.png,three hundred sixty,fourteen fourteen fourteen,3,3,3,N/A,N/A,N/A
28,28.png,seven,twenty,4,N/A,N/A,N/A,N/A,N/A
29,29.png,eighteen,twenty,3,N/A,N/A,N/A,N/A,N/A
30,30.png,five,fourteen,4,N/A,N/A,N/A,N/A,N/A
31,31.png,eight,nine,4,N/A,N/A,N/A,N/A,N/A
32,32.png,five hundred,seventy fourteen,3,4,N/A,N/A,N/A,N/A
33,33.png,five thousand,seventy fourteen,1,1,N/A,N/A,N/A,N/A
34,34.png,thirty six,fourteen fourteen,3,3,N/A,N/A,N/A,N/A
35,35.png,five hundred nine,fourteen fourteen fourteen,4,4,4,N/A,N/A,N/A
36,36.png,forty two,seventeen four,4,4,N/A,N/A,N/A,N/A
37,37.png,four hundred twenty,fourteen fourteen fourteen,4,4,4,N/A,N/A,N/A
38,38.png,twenty seven,twenty four,4,4,N/A,N/A,N/A,N/A
39,39.png,two hundred seven,fourteen fourteen fourteen,4,4,4,N/A,N/A,N/A
40,40.png,six hundred eight,eleven fourteen fourteen,2,2,2,N/A,N/A,N/A
41,41.png,six hundred fifty eight,eleven eleven fourteen fourteen,3,2,2,2,N/A,N/A
42,42.png,seventeen,twenty,4,N/A,N/A,N/A,N/A,N/A
43,43.png,twenty eight,four four,3,3,N/A,N/A,N/A,N/A
44,44.png,five hundred sixty seven,fourteen fourteen fourteen fourteen,4,4,4,4,N/A,N/A
45,45.png,five hundred seventy six,fourteen fourteen fourteen fourteen,3,3,3,3,N/A,N/A
46,46.png,one,six,4,N/A,N/A,N/A,N/A,N/A
47,47.png,nine,fourteen,4,N/A,N/A,N/A,N/A,N/A
