,Image,Label,Prediction,Word_1_attention_region,Word_2_attention_region,Word_3_attention_region,Word_4_attention_region,Word_5_attention_region,Word_6_attention_region
0,0.png,two hundred six,thousand nineteen seven,2,2,2,N/A,N/A,N/A
1,1.png,two hundred sixty,thousand thousand seven,2,2,2,N/A,N/A,N/A
2,2.png,one hundred,thousand nineteen,2,2,N/A,N/A,N/A,N/A
3,3.png,one thousand,thousand nineteen,1,1,N/A,N/A,N/A,N/A
4,4.png,sixty seven,thousand thousand,4,4,N/A,N/A,N/A,N/A
5,5.png,six hundred seventy,thousand thousand fourteen,3,3,3,N/A,N/A,N/A
6,6.png,one thousand two,thousand nineteen seven,4,1,1,N/A,N/A,N/A
7,7.png,one thousand twenty,thousand nineteen seven,1,1,1,N/A,N/A,N/A
8,8.png,twenty one,thousand thousand,3,3,N/A,N/A,N/A,N/A
9,9.png,two hundred one,thousand nineteen forty,2,4,4,N/A,N/A,N/A
10,10.png,one hundred five,thousand thousand seven,2,2,2,N/A,N/A,N/A
11,11.png,one hundred twenty five,thousand thousand seven seven,2,2,2,2,N/A,N/A
12,12.png,three hundred five,thousand nineteen seven,2,2,2,N/A,N/A,N/A
13,13.png,three hundred fifty,thousand nineteen seven,2,2,2,N/A,N/A,N/A
14,14.png,forty two,thousand fifteen,4,3,N/A,N/A,N/A,N/A
15,15.png,four hundred two,thousand thirteen seven,2,2,2,N/A,N/A,N/A
16,16.png,five,thousand,4,N/A,N/A,N/A,N/A,N/A
17,17.png,fifteen,thousand,4,N/A,N/A,N/A,N/A,N/A
18,18.png,eleven,thousand,4,N/A,N/A,N/A,N/A,N/A
19,19.png,twenty four,thousand fifteen,4,4,N/A,N/A,N/A,N/A
20,20.png,two,thousand,4,N/A,N/A,N/A,N/A,N/A
21,21.png,eight,thousand,4,N/A,N/A,N/A,N/A,N/A
22,22.png,twenty five,thousand thousand,4,4,N/A,N/A,N/A,N/A
23,23.png,four hundred five,thousand thousand seven,2,2,2,N/A,N/A,N/A
24,24.png,sixty two,thousand thousand,4,4,N/A,N/A,N/A,N/A
25,25.png,six hundred two,thousand nineteen seven,4,4,4,N/A,N/A,N/A
26,26.png,twenty one,thousand thousand,3,3,N/A,N/A,N/A,N/A
27,27.png,two hundred ten,thousand thousand fourteen,2,2,2,N/A,N/A,N/A
28,28.png,twenty four,thousand fifteen,4,4,N/A,N/A,N/A,N/A
29,29.png,two hundred four,thousand fifteen fifteen,4,4,4,N/A,N/A,N/A
30,30.png,seventeen,thousand,3,N/A,N/A,N/A,N/A,N/A
31,31.png,twenty one,thousand thousand,3,3,N/A,N/A,N/A,N/A
32,32.png,thirty five,thousand nineteen,3,3,N/A,N/A,N/A,N/A
33,33.png,three hundred five,thousand nineteen seven,2,2,2,N/A,N/A,N/A
34,34.png,forty seven,thousand fifteen,3,3,N/A,N/A,N/A,N/A
35,35.png,four hundred seventy,thousand fifteen fifteen,2,2,2,N/A,N/A,N/A
36,36.png,nineteen,thousand,3,N/A,N/A,N/A,N/A,N/A
37,37.png,one hundred nine,thousand thousand hundred,2,2,2,N/A,N/A,N/A
38,38.png,sixteen,thousand,3,N/A,N/A,N/A,N/A,N/A
39,39.png,one hundred six,thousand hundred hundred,2,2,2,N/A,N/A,N/A
40,40.png,fifty three,thousand thousand,3,3,N/A,N/A,N/A,N/A
41,41.png,eighty,thousand,3,N/A,N/A,N/A,N/A,N/A
42,42.png,two hundred sixteen,thousand thousand fourteen,2,2,2,N/A,N/A,N/A
43,43.png,two hundred sixty one,thousand thousand fifteen fifteen,2,4,4,4,N/A,N/A
44,44.png,four hundred twelve,thousand fifteen fifteen,4,4,2,N/A,N/A,N/A
45,45.png,four hundred twenty one,thousand fifteen fifteen fifteen,2,2,2,2,N/A,N/A
46,46.png,six,thousand,4,N/A,N/A,N/A,N/A,N/A
47,47.png,thirteen,thousand,4,N/A,N/A,N/A,N/A,N/A
