,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,two hundred and six,0.png,five five five five,1.png,two hundred and sixty,five five five five,True,206,260,20,20
1,one hundred,2.png,five five,3.png,one thousand,five five,True,100,1000,10,10
2,sixty seven,4.png,five five,5.png,six hundred and seventy,five five five five,False,67,670,10,20
3,one thousand and two,6.png,five five five five,7.png,one thousand and twenty,five five five five,True,1002,1020,20,20
4,twenty one,8.png,five five,9.png,two hundred and one,five five five five,True,21,201,10,20
5,one hundred and five,10.png,five five five five,11.png,one hundred and twenty five,five five five five five,False,105,125,20,25
6,three hundred and five,12.png,five five five five,13.png,three hundred and fifty,five five five five,True,305,350,20,20
7,forty two,14.png,five five,15.png,four hundred and two,five five five five,True,42,402,10,20
8,five,16.png,five,17.png,fifteen,five,False,5,15,5,5
9,eleven,18.png,five,19.png,twenty four,five five,False,11,24,5,10
10,two,20.png,five,21.png,eight,five,True,2,8,5,5
11,twenty five,22.png,five five,23.png,four hundred and five,five five five five,True,25,405,10,20
12,sixty two,24.png,five five,25.png,six hundred and two,five five five five,True,62,602,10,20
13,twenty one,26.png,five five,27.png,two hundred and ten,five five five five,True,21,210,10,20
14,twenty four,28.png,five five,29.png,two hundred and four,five five five five,True,24,204,10,20
15,seventeen,30.png,five,31.png,twenty one,five five,False,17,21,5,10
16,thirty five,32.png,five five,33.png,three hundred and five,five five five five,True,35,305,10,20
17,forty seven,34.png,five five,35.png,four hundred and seventy,five five five five,True,47,470,10,20
18,nineteen,36.png,five,37.png,one hundred and nine,five five five five,False,19,109,5,20
19,sixteen,38.png,five,39.png,one hundred and six,five five five five,False,16,106,5,20
20,fifty three,40.png,five five,41.png,eighty,five,False,53,80,10,5
21,two hundred and sixteen,42.png,five five five five,43.png,two hundred and sixty one,five five five five five,False,216,261,20,25
22,four hundred and twelve,44.png,five five five five,45.png,four hundred and twenty one,five five five five five,True,412,421,20,25
23,six,46.png,five,47.png,thirteen,five,True,6,13,5,5
