,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,seventy eight,0.png,seven <unk>,7,1.png,eight hundred seven,seven seven seven,11,1
1,sixty four,2.png,seven seven,9,3.png,six hundred four,seven seven seven,15,1
2,eighty five,4.png,seven seven,9,5.png,eight hundred fifty,seven seven seven,13,1
3,thirty six,6.png,seven seven,10,7.png,three hundred six,seven seven seven,15,1
4,twelve,8.png,seven,4,9.png,twenty two,seven seven,8,1
5,four hundred,10.png,seven seven,11,11.png,four thousand,seven forty,11,0
6,seventy six,12.png,seven seven,6,13.png,seven hundred sixty,seven seven seven,10,1
7,thirty one,14.png,seven two,9,15.png,three hundred one,two two two,8,0
8,eighty nine,16.png,seven seven,10,17.png,eight hundred nine,two seven seven,13,1
9,three hundred seven,18.png,seven seven <unk>,15,19.png,three hundred sixty seven,seven <unk> <unk> <unk>,18,1
10,thirteen,20.png,seven,6,21.png,forty two,seven seven,8,1
11,five hundred eight,22.png,two seven seven,15,23.png,five hundred eighty,two seven seven,15,0
12,two thousand three,24.png,seven seven seven,15,25.png,two thousand thirty,seven seven seven,15,0
13,three hundred six,26.png,seven seven seven,14,27.png,three hundred sixty,seven seven seven,14,0
14,seven,28.png,fifteen,5,29.png,eighteen,seven,0,0
15,five,30.png,<unk>,5,31.png,eight,fifteen,4,0
16,five hundred,32.png,seven seven,9,33.png,five thousand,two two,11,1
17,thirty six,34.png,seven seven,10,35.png,five hundred nine,two seven seven,12,1
18,forty two,36.png,seven seven,10,37.png,four hundred twenty,seven seven seven,16,1
19,twenty seven,38.png,seven <unk>,10,39.png,two hundred seven,seven seven <unk>,11,1
20,six hundred eight,40.png,seven seven seven,14,41.png,six hundred fifty eight,two seven seven seven,17,1
21,seventeen,42.png,<unk>,8,43.png,twenty eight,seven seven,3,0
22,five hundred sixty seven,44.png,seven <unk> <unk> <unk>,18,45.png,five hundred seventy six,seven seven <unk> <unk>,19,1
23,one,46.png,<unk>,4,47.png,nine,seven,4,0
