,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,seventy eight,0.png,seventeen seventeen,10,1.png,eight hundred seven,seventeen seventeen seventeen,20,1
1,sixty four,2.png,seventeen fifty,11,3.png,six hundred four,thirteen fifty sixty,16,1
2,eighty five,4.png,seventeen seventeen,14,5.png,eight hundred fifty,seventeen seventeen seventeen,24,1
3,thirty six,6.png,thirteen seventeen,11,7.png,three hundred six,seventeen seventeen seventeen,25,1
4,twelve,8.png,seventeen,7,9.png,twenty two,thirteen thirteen,14,1
5,four hundred,10.png,seventeen seventeen,16,11.png,four thousand,seventeen seventeen,16,0
6,seventy six,12.png,seventeen sixty,5,13.png,seven hundred sixty,seventeen sixty sixty,10,1
7,thirty one,14.png,seventeen sixty,13,15.png,three hundred one,seventeen seventeen sixty,21,1
8,eighty nine,16.png,seventeen seventeen,14,17.png,eight hundred nine,seventeen seventeen seventeen,23,1
9,three hundred seven,18.png,seventeen sixty sixty,17,19.png,three hundred sixty seven,seventeen sixty sixty sixty,22,1
10,thirteen,20.png,seventeen,5,21.png,forty two,seventeen thirty,12,1
11,five hundred eight,22.png,seventeen seventeen seventeen,21,23.png,five hundred eighty,seventeen seventeen seventeen,21,0
12,two thousand three,24.png,thirteen sixty two,15,25.png,two thousand thirty,thirteen fourteen two,17,1
13,three hundred six,26.png,seventeen seventeen seventeen,22,27.png,three hundred sixty,seventeen seventeen seventeen,22,0
14,seven,28.png,thirteen,6,29.png,eighteen,seventeen,4,0
15,five,30.png,thirteen,6,31.png,eight,seventeen,7,1
16,five hundred,32.png,seventeen seventeen,14,33.png,five thousand,thirteen two,11,0
17,thirty six,34.png,thirteen seventeen,11,35.png,five hundred nine,seventeen seventeen seventeen,25,1
18,forty two,36.png,seventeen thirty,13,37.png,four hundred twenty,seventeen fifty thirty,17,1
19,twenty seven,38.png,seventeen thirteen,12,39.png,two hundred seven,seventeen sixty sixty,14,1
20,six hundred eight,40.png,seven seventeen seventeen,18,41.png,six hundred fifty eight,seventeen seventeen seventeen seventeen,32,1
21,seventeen,42.png,seventeen,0,43.png,twenty eight,thirteen seventeen,9,1
22,five hundred sixty seven,44.png,seventeen sixty sixty sixty,16,45.png,five hundred seventy six,seventeen sixty sixty two,16,0
23,one,46.png,seventeen,7,47.png,nine,seventeen,7,0
