,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,two hundred six,0.png,four four four,14,1.png,two hundred sixty,four four four,14,0
1,one hundred,2.png,four four,9,3.png,one thousand,four four,9,0
2,sixty seven,4.png,four forty,10,5.png,six hundred seventy,four four three,13,1
3,one thousand two,6.png,four four four,13,7.png,one thousand twenty,four four four,13,0
4,twenty one,8.png,forty forty,8,9.png,two hundred one,four four four,12,1
5,one hundred five,10.png,four four four,12,11.png,one hundred twenty five,four four one one,13,1
6,three hundred five,12.png,one one one,12,13.png,three hundred fifty,one one one,12,0
7,forty two,14.png,four four,7,15.png,four hundred two,four four four,10,1
8,five,16.png,forty,4,17.png,fifteen,forty,4,0
9,eleven,18.png,forty,6,19.png,twenty four,four four,9,1
10,two,20.png,forty,5,21.png,eight,forty,5,0
11,twenty five,22.png,four four,9,23.png,four hundred five,four four four,12,1
12,sixty two,24.png,four four,9,25.png,six hundred two,four four four,13,1
13,twenty one,26.png,forty forty,8,27.png,two hundred ten,four four four,12,1
14,twenty four,28.png,four four,6,29.png,two hundred four,four four four,9,1
15,seventeen,30.png,forty,8,31.png,twenty one,forty forty,11,1
16,thirty five,32.png,forty one,6,33.png,three hundred five,one one one,10,1
17,forty seven,34.png,forty forty,5,35.png,four hundred seventy,four four three,10,1
18,nineteen,36.png,forty,7,37.png,one hundred nine,four four four,14,1
19,sixteen,38.png,forty,6,39.png,one hundred six,four four four,14,1
20,fifty three,40.png,four four,9,41.png,eighty,four,9,0
21,two hundred sixteen,42.png,four four three,15,43.png,two hundred sixty one,four four four three,17,1
22,four hundred twelve,44.png,four four three,10,45.png,four hundred twenty one,four four four three,12,1
23,six,46.png,forty,5,47.png,thirteen,forty,5,0
