,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,seventy eight,0.png,thirty thirty,10,1.png,eight hundred seven,thirty thirty fifteen,17,1
1,sixty four,2.png,thirty thirty,8,3.png,six hundred four,thirty thirty fifteen,16,1
2,eighty five,4.png,thirty thirty,9,5.png,eight hundred fifty,thirty thirty thirty,14,1
3,thirty six,6.png,thirty thirty,5,7.png,three hundred six,thirty thirty fifteen,13,1
4,twelve,8.png,thirty,5,9.png,twenty two,thirty thirty,12,1
5,four hundred,10.png,thirty thirty,11,11.png,four thousand,thirty thirty,11,0
6,seventy six,12.png,thirty thirty,10,13.png,seven hundred sixty,thirty thirty ten,14,1
7,thirty one,14.png,thirty <start>,7,15.png,three hundred one,thirty thirty fifteen,13,1
8,eighty nine,16.png,thirty thirty,9,17.png,eight hundred nine,thirty thirty fifteen,14,1
9,three hundred seven,18.png,thirty thirty fifteen,14,19.png,three hundred sixty seven,thirty thirty fifteen twelve,19,1
10,thirteen,20.png,thirty,3,21.png,forty two,thirty twenty,6,1
11,five hundred eight,22.png,thirty thirty thirty,16,23.png,five hundred eighty,thirty thirty thirty,16,0
12,two thousand three,24.png,thirty thirty fifteen,16,25.png,two thousand thirty,thirty thirty fifteen,16,0
13,three hundred six,26.png,thirty thirty fifteen,15,27.png,three hundred sixty,thirty thirty fifteen,15,0
14,seven,28.png,thirty,6,29.png,eighteen,thirty,6,0
15,five,30.png,thirty,5,31.png,eight,thirty,5,0
16,five hundred,32.png,thirty thirty,11,33.png,five thousand,thirty thirty,11,0
17,thirty six,34.png,thirty thirty,5,35.png,five hundred nine,thirty thirty fifteen,13,1
18,forty two,36.png,thirty twenty,7,37.png,four hundred twenty,thirty thirty twenty,14,1
19,twenty seven,38.png,thirty thirty,9,39.png,two hundred seven,thirty thirty twelve,14,1
20,six hundred eight,40.png,thirty thirty fifteen,17,41.png,six hundred fifty eight,thirty thirty thirty fifteen,22,1
21,seventeen,42.png,thirty,8,43.png,twenty eight,thirty thirty,12,1
22,five hundred sixty seven,44.png,thirty thirty twelve twelve,21,45.png,five hundred seventy six,thirty thirty ten fifteen,19,0
23,one,46.png,<start>,7,47.png,nine,thirty,6,0
