,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,seventy eight,0.png,twenty <start>,9,1.png,eight hundred seven,twenty twenty twenty,13,1
1,sixty four,2.png,twenty twenty,10,3.png,six hundred four,twenty twenty twenty,17,1
2,eighty five,4.png,twenty twenty,10,5.png,eight hundred fifty,twenty twenty twenty,16,1
3,thirty six,6.png,twenty twenty,9,7.png,three hundred six,twenty twenty twenty,16,1
4,twelve,8.png,twenty,3,9.png,twenty two,twenty twenty,9,1
5,four hundred,10.png,twenty twenty,13,11.png,four thousand,twenty twenty,13,0
6,seventy six,12.png,twenty twenty,9,13.png,seven hundred sixty,twenty twenty twenty,14,1
7,thirty one,14.png,twenty twenty,8,15.png,three hundred one,twenty twenty twenty,14,1
8,eighty nine,16.png,twenty twenty,9,17.png,eight hundred nine,twenty twenty twenty,15,1
9,three hundred seven,18.png,twenty twenty twenty,17,19.png,three hundred sixty seven,twenty twenty twenty twenty,21,1
10,thirteen,20.png,twenty,6,21.png,forty two,eleven <start>,13,1
11,five hundred eight,22.png,twenty twenty twenty,17,23.png,five hundred eighty,twenty twenty twenty,17,0
12,two thousand three,24.png,twenty twenty twenty,14,25.png,two thousand thirty,twenty twenty twenty,14,0
13,three hundred six,26.png,twenty twenty twenty,17,27.png,three hundred sixty,twenty twenty twenty,17,0
14,seven,28.png,<start>,6,29.png,eighteen,twenty,5,0
15,five,30.png,twenty,6,31.png,eight,twenty,6,0
16,five hundred,32.png,twenty twenty,12,33.png,five thousand,twenty twenty,12,0
17,thirty six,34.png,twenty twenty,9,35.png,five hundred nine,twenty twenty twenty,16,1
18,forty two,36.png,eleven <start>,12,37.png,four hundred twenty,twenty twenty twenty,15,1
19,twenty seven,38.png,<start> <start>,12,39.png,two hundred seven,twenty twenty twenty,10,0
20,six hundred eight,40.png,twenty twenty twenty,17,41.png,six hundred fifty eight,twenty twenty twenty twenty,22,1
21,seventeen,42.png,<start>,8,43.png,twenty eight,twenty twenty,9,1
22,five hundred sixty seven,44.png,twenty twenty twenty twenty,21,45.png,five hundred seventy six,twenty twenty twenty twenty,21,0
23,one,46.png,eight,5,47.png,nine,twenty,5,0
