,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,two hundred six,0.png,<start> <start> <start>,18,1.png,two hundred sixty,thirteen <start> <start>,19,1
1,one hundred,2.png,thirteen <unk>,12,3.png,one thousand,<start> <start>,13,1
2,sixty seven,4.png,two <unk>,10,5.png,six hundred seventy,two <unk> <unk>,14,1
3,one thousand two,6.png,<start> <start> <unk>,17,7.png,one thousand twenty,thirteen <start> <unk>,18,1
4,twenty one,8.png,<start> <unk>,10,9.png,two hundred one,thirteen <unk> <unk>,15,1
5,one hundred five,10.png,thirteen thirteen forty,17,11.png,one hundred twenty five,fifteen <start> <end> <end>,21,1
6,three hundred five,12.png,thirteen thirteen forty,13,13.png,three hundred fifty,thirteen thirteen thirteen,15,1
7,forty two,14.png,fifteen <unk>,10,15.png,four hundred two,thirteen thirteen <unk>,19,1
8,five,16.png,<start>,7,17.png,fifteen,fifteen,4,1
9,eleven,18.png,<start>,7,19.png,twenty four,<unk> <unk>,10,1
10,two,20.png,<unk>,5,21.png,eight,<unk>,5,0
11,twenty five,22.png,twelve <start>,10,23.png,four hundred five,thirteen thirteen forty,17,1
12,sixty two,24.png,two <unk>,9,25.png,six hundred two,thirteen <start> <start>,20,1
13,twenty one,26.png,<start> <unk>,10,27.png,two hundred ten,two <unk> <unk>,10,0
14,twenty four,28.png,<unk> <unk>,10,29.png,two hundred four,thirteen thirteen thirteen,20,1
15,seventeen,30.png,fifteen,5,31.png,twenty one,<start> <unk>,11,1
16,thirty five,32.png,twelve <start>,12,33.png,three hundred five,thirteen thirteen forty,15,1
17,forty seven,34.png,fifteen <unk>,10,35.png,four hundred seventy,twelve <unk> <unk>,16,1
18,nineteen,36.png,two,7,37.png,one hundred nine,thirteen <start> thirteen,19,1
19,sixteen,38.png,two,6,39.png,one hundred six,thirteen <start> <start>,19,1
20,fifty three,40.png,two thirteen,8,41.png,eighty,thirteen,9,1
21,two hundred sixteen,42.png,two <start> <unk>,13,43.png,two hundred sixty one,thirteen <start> <unk> <unk>,23,1
22,four hundred twelve,44.png,fifteen one one,15,45.png,four hundred twenty one,fifteen <unk> one one,16,1
23,six,46.png,thirteen,7,47.png,thirteen,twelve,6,0
