,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,two hundred six,0.png,sixty sixty sixty,13,1.png,two hundred sixty,<pad> sixty sixty,13,0
1,one hundred,2.png,<pad> sixty,11,3.png,one thousand,<pad> sixty,11,0
2,sixty seven,4.png,twelve sixty,10,5.png,six hundred seventy,twelve sixty sixty,11,1
3,one thousand two,6.png,sixty sixty sixty,16,7.png,one thousand twenty,sixty sixty sixty,16,0
4,twenty one,8.png,thirty seventy,9,9.png,two hundred one,sixty sixty sixty,13,1
5,one hundred five,10.png,sixty sixty sixty,15,11.png,one hundred twenty five,sixty sixty sixty sixty,20,1
6,three hundred five,12.png,sixty sixty sixty,16,13.png,three hundred fifty,sixty sixty sixty,16,0
7,forty two,14.png,<pad> seventy,12,15.png,four hundred two,fourteen sixty seventy,16,1
8,five,16.png,two,4,17.png,fifteen,two,4,0
9,eleven,18.png,<start>,7,19.png,twenty four,fourteen seventy,11,1
10,two,20.png,seventy,7,21.png,eight,two,0,0
11,twenty five,22.png,sixty sixty,8,23.png,four hundred five,sixty sixty sixty,12,1
12,sixty two,24.png,seventy sixty,9,25.png,six hundred two,<pad> sixty sixty,11,1
13,twenty one,26.png,thirty seventy,9,27.png,two hundred ten,sixty sixty sixty,13,1
14,twenty four,28.png,fourteen seventy,13,29.png,two hundred four,fourteen sixty seventy,16,1
15,seventeen,30.png,thirty,8,31.png,twenty one,thirty seventy,10,1
16,thirty five,32.png,two sixty,9,33.png,three hundred five,sixty sixty sixty,11,1
17,forty seven,34.png,thirty thirty,9,35.png,four hundred seventy,fourteen seventy seventy,13,1
18,nineteen,36.png,<pad>,8,37.png,one hundred nine,<pad> sixty sixty,16,1
19,sixteen,38.png,<pad>,7,39.png,one hundred six,<pad> sixty sixty,13,1
20,fifty three,40.png,two sixty,10,41.png,eighty,<pad>,11,1
21,two hundred sixteen,42.png,sixty sixty sixty,14,43.png,two hundred sixty one,sixty sixty sixty sixty,18,1
22,four hundred twelve,44.png,<start> seventy seventy,19,45.png,four hundred twenty one,fourteen seventy seventy seventy,22,1
23,six,46.png,two,3,47.png,thirteen,two,3,0
