,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,seventy eight,0.png,nineteen nineteen,1.png,eight hundred seven,nineteen nineteen nineteen,True,0,0,0,0
1,sixty four,2.png,thousand one,3.png,six hundred four,nineteen nineteen nineteen,True,0,0,0,0
2,eighty five,4.png,nineteen nineteen,5.png,eight hundred fifty,nineteen nineteen nineteen,True,0,0,0,0
3,thirty six,6.png,thousand thirteen,7.png,three hundred six,nineteen thirteen thirteen,False,0,0,0,0
4,twelve,8.png,one,9.png,twenty two,nineteen one,True,0,0,0,0
5,four hundred,10.png,nineteen nineteen,11.png,four thousand,nineteen nineteen,True,0,0,0,0
6,seventy six,12.png,one one,13.png,seven hundred sixty,nineteen nineteen thirteen,False,0,0,0,0
7,thirty one,14.png,one one,15.png,three hundred one,thousand thirteen thirteen,True,0,0,0,0
8,eighty nine,16.png,nineteen nineteen,17.png,eight hundred nine,nineteen nineteen nineteen,True,0,0,0,0
9,three hundred seven,18.png,thousand thirteen thirteen,19.png,three hundred sixty seven,one thirteen thirteen thirteen,True,0,0,0,0
10,thirteen,20.png,one,21.png,forty two,one one,False,0,0,0,0
11,five hundred eight,22.png,nineteen nineteen nineteen,23.png,five hundred eighty,nineteen nineteen nineteen,False,0,0,0,0
12,two thousand three,24.png,nineteen nineteen nineteen,25.png,two thousand thirty,nineteen nineteen thirteen,False,0,0,0,0
13,three hundred six,26.png,nineteen thirteen thirteen,27.png,three hundred sixty,nineteen thirteen thirteen,True,0,0,0,0
14,seven,28.png,five,29.png,eighteen,five,False,0,0,0,0
15,five,30.png,one,31.png,eight,nineteen,True,0,0,0,0
16,five hundred,32.png,nineteen nineteen,33.png,five thousand,nineteen nineteen,True,0,0,0,0
17,thirty six,34.png,thousand thirteen,35.png,five hundred nine,nineteen nineteen thirteen,False,0,0,0,0
18,forty two,36.png,one one,37.png,four hundred twenty,nineteen nineteen nineteen,True,0,0,0,0
19,twenty seven,38.png,one one,39.png,two hundred seven,nineteen thirteen thirteen,True,0,0,0,0
20,six hundred eight,40.png,nineteen nineteen nineteen,41.png,six hundred fifty eight,nineteen nineteen nineteen nineteen,False,0,0,0,0
21,seventeen,42.png,five,43.png,twenty eight,nineteen nineteen,False,0,0,0,0
22,five hundred sixty seven,44.png,one one thirteen thirteen,45.png,five hundred seventy six,nineteen nineteen thirteen thirteen,False,0,0,0,0
23,one,46.png,five,47.png,nine,five,False,0,0,0,0
