,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,seventy eight,0.png,eighteen eighteen,10,1.png,eight hundred seven,eighteen eighteen eighteen,17,1
1,sixty four,2.png,eighteen eighteen,14,3.png,six hundred four,eighteen eighteen eighteen,23,1
2,eighty five,4.png,eighteen eighteen,9,5.png,eight hundred fifty,eighteen eighteen eighteen,18,1
3,thirty six,6.png,eighteen eighteen,14,7.png,three hundred six,eighteen eighteen eighteen,21,1
4,twelve,8.png,eighteen,7,9.png,twenty two,eighteen eighteen,14,1
5,four hundred,10.png,eighteen eighteen,15,11.png,four thousand,eighteen eighteen,15,0
6,seventy six,12.png,eighteen eighteen,14,13.png,seven hundred sixty,eighteen eighteen eighteen,21,1
7,thirty one,14.png,eighteen eighteen,14,15.png,three hundred one,eighteen eighteen eighteen,21,1
8,eighty nine,16.png,eighteen eighteen,9,17.png,eight hundred nine,eighteen eighteen eighteen,17,1
9,three hundred seven,18.png,eighteen eighteen eighteen,18,19.png,three hundred sixty seven,eighteen eighteen eighteen eighteen,25,1
10,thirteen,20.png,eighteen,4,21.png,forty two,eighteen eighteen,11,1
11,five hundred eight,22.png,eighteen eighteen eighteen,16,23.png,five hundred eighty,eighteen eighteen eighteen,16,0
12,two thousand three,24.png,eighteen eighteen eighty,21,25.png,two thousand thirty,eighteen eighteen eighteen,20,0
13,three hundred six,26.png,eighteen eighteen eighteen,19,27.png,three hundred sixty,eighteen eighteen eighteen,19,0
14,seven,28.png,eighteen,6,29.png,eighteen,eighteen,6,1
15,five,30.png,eighteen,6,31.png,eight,eighteen,6,0
16,five hundred,32.png,eighteen eighteen,13,33.png,five thousand,eighteen eighteen,13,0
17,thirty six,34.png,eighteen eighteen,14,35.png,five hundred nine,eighteen eighteen eighteen,21,1
18,forty two,36.png,eighteen eighteen,14,37.png,four hundred twenty,eighteen eighteen eighteen,23,1
19,twenty seven,38.png,eighteen eighteen,12,39.png,two hundred seven,eighteen eighteen eighteen,19,1
20,six hundred eight,40.png,eighteen eighteen eighty,15,41.png,six hundred fifty eight,eighteen eighteen eighteen eighty,22,1
21,seventeen,42.png,eighteen,4,43.png,twenty eight,eighteen eighteen,11,1
22,five hundred sixty seven,44.png,eighteen eighteen eighteen eighteen,25,45.png,five hundred seventy six,eighteen eighteen eighteen eighteen,25,0
23,one,46.png,eighteen,7,47.png,nine,eighteen,7,0
