,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,two hundred and six,0.png,eighty eighty eighty eighty,1.png,two hundred and sixty,eighty eighty eighty eighty,False,206,260,320,320
1,one hundred,2.png,eighty eighty,3.png,one thousand,eighty eighty,True,100,1000,160,160
2,sixty seven,4.png,eighty eighty,5.png,six hundred and seventy,eighty eighty eighty eighty,False,67,670,160,320
3,one thousand and two,6.png,six eighty eighty fifteen,7.png,one thousand and twenty,eighty eighty eighty eighty,True,1002,1020,181,320
4,twenty one,8.png,eighty eighty,9.png,two hundred and one,eighty eighty eighty eighty,True,21,201,160,320
5,one hundred and five,10.png,eighty eighty eighty eighty,11.png,one hundred and twenty five,eighty eighty eighty eighty forty,False,105,125,320,360
6,three hundred and five,12.png,eighty eighty eighty eighty,13.png,three hundred and fifty,eighty eighty eighty eighty,False,305,350,320,320
7,forty two,14.png,thousand eighty,15.png,four hundred and two,eighty eighty eighty eighty,False,42,402,80,320
8,five,16.png,eighty,17.png,fifteen,eighty,True,5,15,80,80
9,eleven,18.png,eighty,19.png,twenty four,thousand eighty,False,11,24,80,80
10,two,20.png,eighty,21.png,eight,eighty,True,2,8,80,80
11,twenty five,22.png,eighty eighty,23.png,four hundred and five,eighty eighty eighty eighty,False,25,405,160,320
12,sixty two,24.png,eighty eighty,25.png,six hundred and two,eighty eighty eighty eighty,False,62,602,160,320
13,twenty one,26.png,eighty eighty,27.png,two hundred and ten,eighty eighty eighty eighty,True,21,210,160,320
14,twenty four,28.png,thousand eighty,29.png,two hundred and four,eighty eighty eighty eighty,True,24,204,80,320
15,seventeen,30.png,eighty,31.png,twenty one,eighty eighty,True,17,21,80,160
16,thirty five,32.png,eighty eighty,33.png,three hundred and five,eighty eighty eighty eighty,False,35,305,160,320
17,forty seven,34.png,thousand eighty,35.png,four hundred and seventy,eighty eighty eighty eighty,False,47,470,80,320
18,nineteen,36.png,eighty,37.png,one hundred and nine,eighty eighty eighty eighty,True,19,109,80,320
19,sixteen,38.png,eighty,39.png,one hundred and six,eighty eighty eighty eighty,True,16,106,80,320
20,fifty three,40.png,eighty eighty,41.png,eighty,eighty,False,53,80,160,80
21,two hundred and sixteen,42.png,eighty eighty eighty eighty,43.png,two hundred and sixty one,eighty eighty eighty eighty eighty,True,216,261,320,400
22,four hundred and twelve,44.png,eighty eighty eighty eighty,45.png,four hundred and twenty one,eighty eighty eighty eighty eighty,True,412,421,320,400
23,six,46.png,eighty,47.png,thirteen,eighty,True,6,13,80,80
