,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,seventy eight,0.png,fourteen ninety,12,1.png,eight hundred seven,fourteen fifty ninety,14,1
1,sixty four,2.png,hundred hundred,13,3.png,six hundred four,fourteen fourteen ninety,18,1
2,eighty five,4.png,fourteen ninety,11,5.png,eight hundred fifty,fourteen ninety ninety,15,1
3,thirty six,6.png,fourteen fourteen,14,7.png,three hundred six,fourteen ninety ninety,16,1
4,twelve,8.png,hundred,6,9.png,twenty two,fourteen fourteen,14,1
5,four hundred,10.png,fourteen fifty,9,11.png,four thousand,fourteen fifty,9,0
6,seventy six,12.png,fourteen fourteen,15,13.png,seven hundred sixty,fourteen six six,10,0
7,thirty one,14.png,hundred nineteen,12,15.png,three hundred one,fourteen fourteen fifty,18,1
8,eighty nine,16.png,fourteen ninety,9,17.png,eight hundred nine,fourteen ninety ninety,13,1
9,three hundred seven,18.png,fourteen fourteen six,15,19.png,three hundred sixty seven,fourteen fourteen ninety ninety,22,1
10,thirteen,20.png,hundred,6,21.png,forty two,hundred hundred,13,1
11,five hundred eight,22.png,fourteen ninety ninety,15,23.png,five hundred eighty,fourteen ninety ninety,15,0
12,two thousand three,24.png,fifty fifty fifty,16,25.png,two thousand thirty,fifty fifty fifty,16,0
13,three hundred six,26.png,fourteen ninety ninety,16,27.png,three hundred sixty,fourteen fifty ninety,17,1
14,seven,28.png,hundred,6,29.png,eighteen,hundred,6,0
15,five,30.png,fourteen,6,31.png,eight,fourteen,6,0
16,five hundred,32.png,fourteen fifty,12,33.png,five thousand,fifty fifty,10,0
17,thirty six,34.png,fourteen fourteen,14,35.png,five hundred nine,fourteen ninety ninety,16,1
18,forty two,36.png,hundred hundred,13,37.png,four hundred twenty,hundred fifty fifty,15,1
19,twenty seven,38.png,fourteen nineteen,11,39.png,two hundred seven,fourteen fifty six,13,1
20,six hundred eight,40.png,ninety ninety ninety,14,41.png,six hundred fifty eight,ninety ninety ninety ninety,20,1
21,seventeen,42.png,hundred,7,43.png,twenty eight,fourteen ninety,12,1
22,five hundred sixty seven,44.png,fourteen fourteen ninety ninety,20,45.png,five hundred seventy six,fourteen fourteen six ninety,19,0
23,one,46.png,hundred,5,47.png,nine,fourteen,6,1
