,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,two hundred six,0.png,two two two,10,1.png,two hundred sixty,two two two,10,0
1,one hundred,2.png,two two,10,3.png,one thousand,<end> ninety,10,0
2,sixty seven,4.png,twelve eleven,8,5.png,six hundred seventy,eleven two two,13,1
3,one thousand two,6.png,<end> two ninety,12,7.png,one thousand twenty,<end> two two,10,0
4,twenty one,8.png,<pad> <pad>,11,9.png,two hundred one,two two two,7,0
5,one hundred five,10.png,<end> two two,14,11.png,one hundred twenty five,two two two two,14,0
6,three hundred five,12.png,<end> two two,16,13.png,three hundred fifty,<end> two two,16,0
7,forty two,14.png,<pad> <pad>,10,15.png,four hundred two,<end> two two,8,0
8,five,16.png,twelve,4,17.png,fifteen,<pad>,5,1
9,eleven,18.png,<pad>,6,19.png,twenty four,<pad> <pad>,11,1
10,two,20.png,two,0,21.png,eight,<pad>,5,1
11,twenty five,22.png,two two,8,23.png,four hundred five,<end> two two,11,1
12,sixty two,24.png,two two,5,25.png,six hundred two,two two two,6,1
13,twenty one,26.png,<pad> <pad>,11,27.png,two hundred ten,two two two,7,0
14,twenty four,28.png,<pad> <pad>,11,29.png,two hundred four,two two two,8,0
15,seventeen,30.png,<pad>,9,31.png,twenty one,<pad> <pad>,11,1
16,thirty five,32.png,<end> two,10,33.png,three hundred five,<end> two two,12,1
17,forty seven,34.png,forty <pad>,5,35.png,four hundred seventy,eleven two ninety,14,1
18,nineteen,36.png,<pad>,8,37.png,one hundred nine,<end> two two,11,1
19,sixteen,38.png,twelve,6,39.png,one hundred six,two two two,10,1
20,fifty three,40.png,<end> two,9,41.png,eighty,<end>,11,1
21,two hundred sixteen,42.png,two two two,13,43.png,two hundred sixty one,two two two two,13,0
22,four hundred twelve,44.png,<pad> <pad> <pad>,17,45.png,four hundred twenty one,<pad> <pad> <pad> <pad>,20,1
23,six,46.png,twelve,6,47.png,thirteen,<pad>,5,0
