,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,two hundred and six,0.png,<pad> <pad> <pad> sixty,1.png,two hundred and sixty,<pad> <pad> <pad> sixty,False,206,260,N/A,N/A
1,one hundred,2.png,<pad> <pad>,3.png,one thousand,<pad> <pad>,True,100,1000,N/A,N/A
2,sixty seven,4.png,four four,5.png,six hundred and seventy,<pad> <pad> <pad> sixty,False,67,670,8,N/A
3,one thousand and two,6.png,<pad> <pad> <pad> sixty,7.png,one thousand and twenty,<pad> <pad> sixty sixty,False,1002,1020,N/A,N/A
4,twenty one,8.png,four four,9.png,two hundred and one,<pad> <pad> <pad> <pad>,True,21,201,8,N/A
5,one hundred and five,10.png,<pad> <pad> eighty eighty,11.png,one hundred and twenty five,four four fifty fifty fifty,True,105,125,N/A,158
6,three hundred and five,12.png,<pad> <pad> four sixty,13.png,three hundred and fifty,four four four sixty,True,305,350,N/A,72
7,forty two,14.png,four four,15.png,four hundred and two,<pad> <pad> sixty sixty,True,42,402,8,N/A
8,five,16.png,four,17.png,fifteen,four,False,5,15,4,4
9,eleven,18.png,four,19.png,twenty four,four four,False,11,24,4,8
10,two,20.png,four,21.png,eight,four,True,2,8,4,4
11,twenty five,22.png,four fifty,23.png,four hundred and five,<pad> <pad> sixty sixty,True,25,405,54,N/A
12,sixty two,24.png,four <pad>,25.png,six hundred and two,<pad> <pad> <pad> sixty,False,62,602,N/A,N/A
13,twenty one,26.png,four four,27.png,two hundred and ten,<pad> <pad> <pad> sixty,True,21,210,8,N/A
14,twenty four,28.png,four four,29.png,two hundred and four,four <pad> <pad> sixty,True,24,204,8,N/A
15,seventeen,30.png,four,31.png,twenty one,four four,False,17,21,4,8
16,thirty five,32.png,four four,33.png,three hundred and five,<pad> <pad> four sixty,False,35,305,8,N/A
17,forty seven,34.png,four four,35.png,four hundred and seventy,four four four sixty,False,47,470,8,72
18,nineteen,36.png,four,37.png,one hundred and nine,<pad> <pad> eighty sixty,False,19,109,4,N/A
19,sixteen,38.png,four,39.png,one hundred and six,<pad> <pad> <pad> sixty,False,16,106,4,N/A
20,fifty three,40.png,four fifty,41.png,eighty,<pad>,False,53,80,54,N/A
21,two hundred and sixteen,42.png,<pad> <pad> <pad> fifty,43.png,two hundred and sixty one,four <pad> <pad> fifty fifty,False,216,261,N/A,N/A
22,four hundred and twelve,44.png,four four four fifty,45.png,four hundred and twenty one,four four four fifty sixty,False,412,421,62,122
23,six,46.png,eighty,47.png,thirteen,four,True,6,13,80,4
