,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,seventy eight,0.png,ninety <unk>,9,1.png,eight hundred seven,<start> <start> <unk>,18,1
1,sixty four,2.png,ninety ninety,9,3.png,six hundred four,ninety ninety ninety,16,1
2,eighty five,4.png,ninety <unk>,8,5.png,eight hundred fifty,ninety <start> <unk>,16,1
3,thirty six,6.png,ninety ninety,9,7.png,three hundred six,ninety ninety ninety,14,1
4,twelve,8.png,forty,6,9.png,twenty two,ninety ninety,11,1
5,four hundred,10.png,ninety ninety,11,11.png,four thousand,ninety ninety,11,0
6,seventy six,12.png,<start> <start>,12,13.png,seven hundred sixty,<start> <start> <unk>,18,1
7,thirty one,14.png,ninety ninety,8,15.png,three hundred one,ninety ninety ninety,13,1
8,eighty nine,16.png,ninety hundred,8,17.png,eight hundred nine,<start> <start> <start>,21,1
9,three hundred seven,18.png,ninety ninety ninety,16,19.png,three hundred sixty seven,ninety ninety ninety ninety,21,1
10,thirteen,20.png,forty,6,21.png,forty two,forty ninety,10,1
11,five hundred eight,22.png,hundred ninety hundred,17,23.png,five hundred eighty,ninety ninety ninety,13,0
12,two thousand three,24.png,ninety ninety ninety,17,25.png,two thousand thirty,<start> ninety ninety,18,1
13,three hundred six,26.png,ninety ninety ninety,16,27.png,three hundred sixty,ninety ninety ninety,16,0
14,seven,28.png,forty,5,29.png,eighteen,hundred,6,1
15,five,30.png,ninety,4,31.png,eight,ninety,4,0
16,five hundred,32.png,ninety ninety,9,33.png,five thousand,<start> <start>,13,1
17,thirty six,34.png,ninety ninety,9,35.png,five hundred nine,<start> ninety ninety,15,1
18,forty two,36.png,forty ninety,6,37.png,four hundred twenty,ninety ninety ninety,16,1
19,twenty seven,38.png,seventeen <unk>,11,39.png,two hundred seven,<start> ninety <unk>,15,1
20,six hundred eight,40.png,<start> <start> hundred,19,41.png,six hundred fifty eight,ninety hundred <unk> <unk>,16,0
21,seventeen,42.png,forty,8,43.png,twenty eight,hundred hundred,12,1
22,five hundred sixty seven,44.png,ninety ninety <unk> <unk>,19,45.png,five hundred seventy six,<start> <unk> <unk> <unk>,22,1
23,one,46.png,forty,4,47.png,nine,ninety,4,0
