,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,two hundred six,0.png,thirty eight eight,15,1.png,two hundred sixty,thirty eight eight,15,0
1,one hundred,2.png,thirty eight,12,3.png,one thousand,thirty thirty,12,0
2,sixty seven,4.png,sixteen eight,8,5.png,six hundred seventy,thirty eight eight,13,1
3,one thousand two,6.png,thirty eight eight,16,7.png,one thousand twenty,thirty eight eight,16,0
4,twenty one,8.png,sixteen eight,10,9.png,two hundred one,thirty eight eight,13,1
5,one hundred five,10.png,thirty eight eight,16,11.png,one hundred twenty five,two eight eight eight,16,0
6,three hundred five,12.png,two eight eight,15,13.png,three hundred fifty,<pad> eight eight,16,1
7,forty two,14.png,<pad> eight,10,15.png,four hundred two,thirty eight eight,13,1
8,five,16.png,sixteen,5,17.png,fifteen,<pad>,5,0
9,eleven,18.png,<pad>,6,19.png,twenty four,<pad> eight,10,1
10,two,20.png,sixteen,6,21.png,eight,sixteen,6,0
11,twenty five,22.png,two eight,8,23.png,four hundred five,thirty eight eight,12,1
12,sixty two,24.png,sixteen eight,8,25.png,six hundred two,thirty eight eight,13,1
13,twenty one,26.png,sixteen eight,10,27.png,two hundred ten,thirty sixteen thousand,17,1
14,twenty four,28.png,<pad> eight,11,29.png,two hundred four,<pad> eight eight,15,1
15,seventeen,30.png,sixteen,4,31.png,twenty one,sixteen eight,9,1
16,thirty five,32.png,two eight,9,33.png,three hundred five,two eight eight,11,1
17,forty seven,34.png,<pad> eight,10,35.png,four hundred seventy,<pad> eight eight,15,1
18,nineteen,36.png,sixteen,3,37.png,one hundred nine,thirty eight eight,14,1
19,sixteen,38.png,sixteen,0,39.png,one hundred six,thirty eight eight,14,1
20,fifty three,40.png,two eight,10,41.png,eighty,eight,9,0
21,two hundred sixteen,42.png,thirty sixteen thousand,17,43.png,two hundred sixty one,<pad> eight eight eight,19,1
22,four hundred twelve,44.png,<pad> sixteen thousand,18,45.png,four hundred twenty one,<pad> eight thousand thousand,24,1
23,six,46.png,sixteen,4,47.png,thirteen,<pad>,5,1
