,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,seventy eight,0.png,fifty fifty,1.png,eight hundred seven,fifty four four,True,0,0,0,0
1,sixty four,2.png,fifty fifty,3.png,six hundred four,fifty fifty fifty,True,0,0,0,0
2,eighty five,4.png,fifty fifty,5.png,eight hundred fifty,fifty fifty fifty,False,0,0,0,0
3,thirty six,6.png,fifty fifty,7.png,three hundred six,fifty fifty fifty,False,0,0,0,0
4,twelve,8.png,fifty,9.png,twenty two,seventeen four,False,0,0,0,0
5,four hundred,10.png,fifty fifty,11.png,four thousand,fifty fifty,True,0,0,0,0
6,seventy six,12.png,fifty four,13.png,seven hundred sixty,fifty four four,False,0,0,0,0
7,thirty one,14.png,fifty seventeen,15.png,three hundred one,three four four,False,0,0,0,0
8,eighty nine,16.png,fifty fifty,17.png,eight hundred nine,fifty fifty fifty,True,0,0,0,0
9,three hundred seven,18.png,three four four,19.png,three hundred sixty seven,three four four four,False,0,0,0,0
10,thirteen,20.png,fifty,21.png,forty two,fifty seventeen,True,0,0,0,0
11,five hundred eight,22.png,fifty fifty fifty,23.png,five hundred eighty,fifty fifty fifty,True,0,0,0,0
12,two thousand three,24.png,three fifty four,25.png,two thousand thirty,three four four,False,0,0,0,0
13,three hundred six,26.png,fifty fifty fifty,27.png,three hundred sixty,fifty fifty fifty,False,0,0,0,0
14,seven,28.png,two,29.png,eighteen,fifty,True,0,0,0,0
15,five,30.png,fifty,31.png,eight,fifty,True,0,0,0,0
16,five hundred,32.png,fifty fifty,33.png,five thousand,fifty fifty,True,0,0,0,0
17,thirty six,34.png,fifty fifty,35.png,five hundred nine,fifty fifty fifty,False,0,0,0,0
18,forty two,36.png,fifty seventeen,37.png,four hundred twenty,fifty seventeen four,True,0,0,0,0
19,twenty seven,38.png,seventeen seventeen,39.png,two hundred seven,three four four,True,0,0,0,0
20,six hundred eight,40.png,fifty fifty fifty,41.png,six hundred fifty eight,fifty fifty fifty fifty,True,0,0,0,0
21,seventeen,42.png,two,43.png,twenty eight,fifty fifty,False,0,0,0,0
22,five hundred sixty seven,44.png,fifty four four four,45.png,five hundred seventy six,fifty four four four,False,0,0,0,0
23,one,46.png,fifty,47.png,nine,three,True,0,0,0,0
