,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,two hundred six,0.png,six six hundred,11,1.png,two hundred sixty,sixty six hundred,12,1
1,one hundred,2.png,six hundred,3,3.png,one thousand,sixty ninety,10,1
2,sixty seven,4.png,sixty fourteen,6,5.png,six hundred seventy,sixty twenty twenty,10,1
3,one thousand two,6.png,sixty sixty hundred,17,7.png,one thousand twenty,sixty sixty hundred,17,0
4,twenty one,8.png,sixty sixty,9,9.png,two hundred one,sixty six hundred,13,1
5,one hundred five,10.png,sixty twenty hundred,16,11.png,one hundred twenty five,sixty hundred hundred hundred,17,1
6,three hundred five,12.png,four hundred hundred,11,13.png,three hundred fifty,four hundred hundred,11,0
7,forty two,14.png,sixty hundred,10,15.png,four hundred two,sixty hundred hundred,18,1
8,five,16.png,four,3,17.png,fifteen,four,3,0
9,eleven,18.png,four,6,19.png,twenty four,sixty hundred,12,1
10,two,20.png,sixty,5,21.png,eight,fourteen,7,1
11,twenty five,22.png,sixty ninety,8,23.png,four hundred five,sixty hundred hundred,17,1
12,sixty two,24.png,sixty ninety,6,25.png,six hundred two,sixty hundred hundred,15,1
13,twenty one,26.png,sixty sixty,9,27.png,two hundred ten,sixty sixty six,11,1
14,twenty four,28.png,sixty hundred,10,29.png,two hundred four,sixty hundred hundred,17,1
15,seventeen,30.png,sixty,7,31.png,twenty one,sixty sixty,10,1
16,thirty five,32.png,four hundred,10,33.png,three hundred five,four hundred hundred,16,1
17,forty seven,34.png,sixty hundred,9,35.png,four hundred seventy,sixty hundred hundred,16,1
18,nineteen,36.png,sixty,6,37.png,one hundred nine,sixty hundred hundred,17,1
19,sixteen,38.png,sixty,3,39.png,one hundred six,sixty hundred hundred,15,1
20,fifty three,40.png,ninety ninety,8,41.png,eighty,sixty,8,0
21,two hundred sixteen,42.png,sixty sixty twenty,17,43.png,two hundred sixty one,sixty sixty hundred hundred,16,0
22,four hundred twelve,44.png,sixty hundred hundred,11,45.png,four hundred twenty one,sixty hundred hundred hundred,17,1
23,six,46.png,sixty,2,47.png,thirteen,four,4,1
