,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,two hundred six,0.png,one one one,11,1.png,two hundred sixty,one one one,11,0
1,one hundred,2.png,one one,5,3.png,one thousand,one one,5,0
2,sixty seven,4.png,three twenty,10,5.png,six hundred seventy,three one twenty,12,1
3,one thousand two,6.png,one <pad> <pad>,12,7.png,one thousand twenty,one one one,9,0
4,twenty one,8.png,thousand one,7,9.png,two hundred one,one one one,6,0
5,one hundred five,10.png,<pad> one one,13,11.png,one hundred twenty five,<pad> one one one,14,1
6,three hundred five,12.png,<pad> one one,13,13.png,three hundred fifty,<pad> <pad> ninety,15,1
7,forty two,14.png,thousand ninety,13,15.png,four hundred two,<pad> <pad> ninety,17,1
8,five,16.png,three,4,17.png,fifteen,<pad>,5,1
9,eleven,18.png,six,6,19.png,twenty four,<pad> <pad>,11,1
10,two,20.png,three,4,21.png,eight,<pad>,5,1
11,twenty five,22.png,<pad> <pad>,11,23.png,four hundred five,<pad> <pad> ninety,15,1
12,sixty two,24.png,three <pad>,10,25.png,six hundred two,one one ninety,13,1
13,twenty one,26.png,thousand one,7,27.png,two hundred ten,<pad> one one,9,1
14,twenty four,28.png,<pad> <pad>,11,29.png,two hundred four,<pad> one one,12,1
15,seventeen,30.png,thousand,9,31.png,twenty one,thousand one,10,1
16,thirty five,32.png,<pad> one,9,33.png,three hundred five,<pad> one one,12,1
17,forty seven,34.png,thousand thousand,14,35.png,four hundred seventy,<pad> ninety twenty,15,1
18,nineteen,36.png,<pad>,8,37.png,one hundred nine,one one one,8,0
19,sixteen,38.png,three,5,39.png,one hundred six,one one one,9,1
20,fifty three,40.png,<pad> <pad>,10,41.png,eighty,three,6,0
21,two hundred sixteen,42.png,one one one,14,43.png,two hundred sixty one,one one one one,15,1
22,four hundred twelve,44.png,thousand thousand sixty,18,45.png,four hundred twenty one,<pad> one one one,15,0
23,six,46.png,three,5,47.png,thirteen,<pad>,5,0
