,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,seventy eight,0.png,twelve twelve,10,1.png,eight hundred seven,twelve eleven eleven,15,1
1,sixty four,2.png,twelve twelve,12,3.png,six hundred four,twelve twelve <pad>,17,1
2,eighty five,4.png,sixty two,7,5.png,eight hundred fifty,twelve twelve two,14,1
3,thirty six,6.png,twelve twelve,11,7.png,three hundred six,twelve twelve <pad>,16,1
4,twelve,8.png,seventeen,7,9.png,twenty two,seventeen seventeen,15,1
5,four hundred,10.png,twelve five,11,11.png,four thousand,seventeen five,13,1
6,seventy six,12.png,twelve twelve,9,13.png,seven hundred sixty,twelve twelve twelve,15,1
7,thirty one,14.png,twelve twelve,10,15.png,three hundred one,twelve twelve five,14,1
8,eighty nine,16.png,two two,10,17.png,eight hundred nine,two two two,10,0
9,three hundred seven,18.png,twelve five five,13,19.png,three hundred sixty seven,twelve twelve five five,17,1
10,thirteen,20.png,twelve,6,21.png,forty two,seventeen five,10,1
11,five hundred eight,22.png,two two two,16,23.png,five hundred eighty,two two two,16,0
12,two thousand three,24.png,twelve five five,14,25.png,two thousand thirty,twelve twelve five,15,1
13,three hundred six,26.png,twelve twelve <pad>,15,27.png,three hundred sixty,twelve twelve <pad>,15,0
14,seven,28.png,seventeen,4,29.png,eighteen,two,5,1
15,five,30.png,twelve,4,31.png,eight,sixty,4,0
16,five hundred,32.png,twelve two,11,33.png,five thousand,seventeen two,10,0
17,thirty six,34.png,twelve twelve,11,35.png,five hundred nine,twelve two two,11,0
18,forty two,36.png,seventeen five,12,37.png,four hundred twenty,twelve five five,15,1
19,twenty seven,38.png,seventeen seventeen,10,39.png,two hundred seven,twelve five five,10,0
20,six hundred eight,40.png,two two two,15,41.png,six hundred fifty eight,twelve two two two,17,1
21,seventeen,42.png,seventeen,0,43.png,twenty eight,two two,8,1
22,five hundred sixty seven,44.png,twelve twelve five five,17,45.png,five hundred seventy six,twelve twelve twelve twelve,20,1
23,one,46.png,twelve,5,47.png,nine,two,3,0
