,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct,predicted_foil_numbers,predicted_target_numbers,true_foil_numbers,true_target_numbers
0,two hundred and six,0.png,two hundred and two,3,1.png,two hundred and six ty,two hundred and six ty,3,1,260,202,260,206
1,one hundred,2.png,six hundred and,7,3.png,one thousand,one thousand,6,1,1000,600,1000,100
2,six ty seven,4.png,six ty,6,5.png,six hundred and seven ty,six hundred and seven ty,14,1,670,60,670,67
3,one thousand and two,6.png,one thousand and two,0,7.png,one thousand and twen ty,one thousand and two,0,1,1002,1002,1020,1002
4,twen ty one,8.png,twen ty one,0,9.png,two hundred and one,two hundred and two,14,1,202,21,201,21
5,one hundred and five,10.png,one hundred and five,0,11.png,one hundred and twen ty five,one hundred and twen ty five,8,1,125,105,125,105
6,three hundred and five,12.png,three hundred and five,0,13.png,three hundred and fif ty,three hundred and fif ty,4,1,350,305,350,305
7,for ty two,14.png,twen ty,8,15.png,four hundred and two,four hundred and two,12,1,402,20,402,42
8,five,16.png,five,0,17.png,fif teen,fif teen,5,1,15,5,15,5
9,eleven,18.png,one hundred,9,19.png,twen ty four,twen ty four,11,1,24,100,24,11
10,two,20.png,two,0,21.png,eight,eight,5,1,8,2,8,2
11,twen ty five,22.png,fif teen,10,23.png,four hundred and five,four hundred and five,14,1,405,15,405,25
12,six ty two,24.png,two ty,7,25.png,six hundred and two,six hundred and two,11,1,602,N/A,602,62
13,twen ty one,26.png,twen ty one,0,27.png,two hundred and ten,two hundred and fif,14,1,N/A,21,210,21
14,twen ty four,28.png,twen ty four,0,29.png,two hundred and four,two hundred and twen ty,17,1,220,24,204,24
15,seven teen,30.png,seven,5,31.png,twen ty one,twen ty one,7,1,21,7,21,17
16,thir ty five,32.png,three hundred,10,33.png,three hundred and five,three hundred and five,13,1,305,300,305,35
17,for ty seven,34.png,four teen,5,35.png,four hundred and seven ty,four hundred and seven ty,15,1,470,14,470,47
18,nine teen,36.png,nine teen,0,37.png,one hundred and nine,one hundred and,11,1,100,19,109,19
19,six teen,38.png,six teen,0,39.png,one hundred and six,six hundred and five,14,1,605,16,106,16
20,fif ty three,40.png,five hundred,8,41.png,eigh ty,eigh ty,9,1,80,500,80,53
21,two hundred and six teen,42.png,two hundred and five,6,43.png,two hundred and six ty one,two hundred and six ty one,4,1,261,205,261,216
22,four hundred and twelve,44.png,four hundred and twen ty,4,45.png,four hundred and twen ty one,four hundred and twen ty one,7,1,421,420,421,412
23,six,46.png,six,0,47.png,thir teen,fif teen,7,1,15,6,13,6
