,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct,predicted_foil_numbers,predicted_target_numbers,true_foil_numbers,true_target_numbers
0,two hundred and six,0.png,two hundred,8,1.png,two hundred and six ty,two hundred,8,0,200,200,260,206
1,one hundred,2.png,one hundred and,4,3.png,one thousand,three thousand,10,1,3000,100,1000,100
2,six ty seven,4.png,two hundred and,12,5.png,six hundred and seven ty,four hundred and,13,1,400,200,670,67
3,one thousand and two,6.png,three thousand,12,7.png,one thousand and twen ty,three thousand,12,0,3000,3000,1020,1002
4,twen ty one,8.png,four hundred,10,9.png,two hundred and one,one hundred and,11,1,100,400,201,21
5,one hundred and five,10.png,one hundred and ty,4,11.png,one hundred and twen ty five,one hundred and ty,4,0,N/A,N/A,125,105
6,three hundred and five,12.png,two hundred and ty,8,13.png,three hundred and fif ty,five hundred and ty,8,0,N/A,N/A,350,305
7,for ty two,14.png,four hundred,8,15.png,four hundred and two,four hundred and,11,1,400,400,402,42
8,five,16.png,two hundred,10,17.png,fif teen,one hundred and,14,1,100,200,15,5
9,eleven,18.png,one teen,5,19.png,twen ty four,four hundred,11,1,400,N/A,24,11
10,two,20.png,two hundred,8,21.png,eight,two,0,0,2,200,8,2
11,twen ty five,22.png,two hundred and,12,23.png,four hundred and five,four hundred and ty,17,1,N/A,200,405,25
12,six ty two,24.png,two hundred,10,25.png,six hundred and two,two hundred and,13,1,200,200,602,62
13,twen ty one,26.png,four hundred,10,27.png,two hundred and ten,one hundred and,11,1,100,400,210,21
14,twen ty four,28.png,four hundred,11,29.png,two hundred and four,four hundred and,15,1,400,400,204,24
15,seven teen,30.png,four teen,5,31.png,twen ty one,four hundred,11,1,400,14,21,17
16,thir ty five,32.png,three hundred and,14,33.png,three hundred and five,two hundred and ty,15,1,N/A,300,305,35
17,for ty seven,34.png,four hundred,8,35.png,four hundred and seven ty,four hundred and,10,1,400,400,470,47
18,nine teen,36.png,one teen,2,37.png,one hundred and nine,four hundred,10,1,400,N/A,109,19
19,six teen,38.png,four hundred,10,39.png,one hundred and six,six hundred,6,0,600,400,106,16
20,fif ty three,40.png,five hundred and,12,41.png,eigh ty,two hundred,9,0,200,500,80,53
21,two hundred and six teen,42.png,one hundred and,12,43.png,two hundred and six ty one,two hundred and,9,0,200,100,261,216
22,four hundred and twelve,44.png,four hundred and,7,45.png,four hundred and twen ty one,four hundred and,7,0,400,400,421,412
23,six,46.png,two,3,47.png,thir teen,one hundred,11,1,100,2,13,6
