,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct,predicted_foil_numbers,predicted_target_numbers,true_foil_numbers,true_target_numbers
0,two hundred and six,0.png,two hundred and,4,1.png,two hundred and six ty,two hundred and,4,0,200,200,260,206
1,one hundred,2.png,four hundred,3,3.png,one thousand,six hundred,3,0,600,400,1000,100
2,six ty seven,4.png,two hundred and,12,5.png,six hundred and seven ty,two hundred and,12,0,200,200,670,67
3,one thousand and two,6.png,two hundred,14,7.png,one thousand and twen ty,two hundred,14,0,200,200,1020,1002
4,twen ty one,8.png,two hundred,8,9.png,two hundred and one,two hundred and,10,1,200,200,201,21
5,one hundred and five,10.png,one hundred and,5,11.png,one hundred and twen ty five,one hundred and,5,0,100,100,125,105
6,three hundred and five,12.png,three hundred and,5,13.png,three hundred and fif ty,three hundred and,5,0,300,300,350,305
7,for ty two,14.png,four hundred and,11,15.png,four hundred and two,four hundred and,11,0,400,400,402,42
8,five,16.png,five hundred,8,17.png,fif teen,one hundred ty,13,1,N/A,500,15,5
9,eleven,18.png,one hundred,9,19.png,twen ty four,two hundred and,13,1,200,100,24,11
10,two,20.png,two hundred,8,21.png,eight,two ty,3,0,N/A,200,8,2
11,twen ty five,22.png,two hundred ty,12,23.png,four hundred and five,four hundred and,15,1,400,N/A,405,25
12,six ty two,24.png,two hundred and,13,25.png,six hundred and two,two hundred and,13,0,200,200,602,62
13,twen ty one,26.png,two hundred,8,27.png,two hundred and ten,two hundred and,10,1,200,200,210,21
14,twen ty four,28.png,two hundred and,12,29.png,two hundred and four,two hundred and,12,0,200,200,204,24
15,seven teen,30.png,four ty,8,31.png,twen ty one,two hundred,10,1,200,N/A,21,17
16,thir ty five,32.png,three hundred and,14,33.png,three hundred and five,three hundred and,14,0,300,300,305,35
17,for ty seven,34.png,four hundred,8,35.png,four hundred and seven ty,four hundred and,10,1,400,400,470,47
18,nine teen,36.png,one hundred ty,11,37.png,one hundred and nine,six hundred,9,0,600,N/A,109,19
19,six teen,38.png,six hundred ty,9,39.png,one hundred and six,one hundred,9,0,100,N/A,106,16
20,fif ty three,40.png,five hundred and,12,41.png,eigh ty,two hundred,9,0,200,500,80,53
21,two hundred and six teen,42.png,two hundred and,9,43.png,two hundred and six ty one,two hundred and,9,0,200,200,261,216
22,four hundred and twelve,44.png,four hundred and ty,5,45.png,four hundred and twen ty one,four hundred and ty,5,0,N/A,N/A,421,412
23,six,46.png,two hundred,11,47.png,thir teen,one hundred ty,14,1,N/A,200,13,6
