,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct,predicted_foil_numbers,predicted_target_numbers,true_foil_numbers,true_target_numbers
0,seven ty eight,0.png,four hundred,13,1.png,eight hundred and seven,two hundred,13,0,200,400,807,78
1,six ty four,2.png,four hundred and,15,3.png,six hundred and four,four hundred and,15,0,400,400,604,64
2,eigh ty five,4.png,two hundred,11,5.png,eight hundred and fif ty,two hundred and,14,1,200,200,850,85
3,thir ty six,6.png,two hundred and,12,7.png,three hundred and six,three hundred and,13,1,300,200,306,36
4,twelve,8.png,four teen,8,9.png,twen ty two,two hundred,8,0,200,14,22,12
5,four hundred,10.png,four thousand,6,11.png,four thousand,four thousand,6,1,4000,4000,4000,400
6,seven ty six,12.png,four hundred and,14,13.png,seven hundred and six ty,two hundred and,13,0,200,400,760,76
7,thir ty one,14.png,one teen,8,15.png,three hundred and one,four hundred and,12,1,400,N/A,301,31
8,eigh ty nine,16.png,two,11,17.png,eight hundred and nine,two thousand,10,0,2000,2,809,89
9,three hundred and seven,18.png,four hundred and,11,19.png,three hundred and six ty seven,two hundred and,10,0,200,400,367,307
10,thir teen,20.png,one hundred,10,21.png,for ty two,four hundred,9,0,400,100,42,13
11,five hundred and eight,22.png,two hundred,14,23.png,five hundred and eigh ty,two hundred and,10,0,200,200,580,508
12,two thousand and three,24.png,two thousand,10,25.png,two thousand and thir ty,two thousand,10,0,2000,2000,2030,2003
13,three hundred and six,26.png,three hundred and,4,27.png,three hundred and six ty,two hundred and,8,1,200,300,360,306
14,seven,28.png,seven,0,29.png,eigh teen,one teen,5,1,N/A,7,18,7
15,five,30.png,two hundred,10,31.png,eight,two,4,0,2,200,8,5
16,five hundred,32.png,two hundred and,8,33.png,five thousand,three hundred and,8,0,300,200,5000,500
17,thir ty six,34.png,two hundred and,12,35.png,five hundred and nine,two thousand,9,0,2000,200,509,36
18,for ty two,36.png,four hundred,8,37.png,four hundred and twen ty,four hundred and,11,1,400,400,420,42
19,twen ty seven,38.png,two hundred,9,39.png,two hundred and seven,two hundred and,11,1,200,200,207,27
20,six hundred and eight,40.png,two hundred,13,41.png,six hundred and fif ty eight,five hundred and,9,0,500,200,658,608
21,seven teen,42.png,four teen,5,43.png,twen ty eight,two hundred,10,1,200,14,28,17
22,five hundred and six ty seven,44.png,four hundred and,16,45.png,five hundred and seven ty six,two hundred and,17,1,200,400,576,567
23,one,46.png,one,0,47.png,nine,two,3,1,2,1,9,1
