,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct,predicted_foil_numbers,predicted_target_numbers,true_foil_numbers,true_target_numbers
0,two hundred and six,0.png,two thousand and,10,1.png,two hundred and six ty,two thousand,12,1,2000,2000,260,206
1,one hundred,2.png,four thousand,9,3.png,one thousand,two thousand,9,0,2000,4000,1000,100
2,six ty seven,4.png,four hundred and ty,16,5.png,six hundred and seven ty,four hundred and,13,0,400,N/A,670,67
3,one thousand and two,6.png,two thousand,11,7.png,one thousand and twen ty,two thousand,11,0,2000,2000,1020,1002
4,twen ty one,8.png,one hundred and,11,9.png,two hundred and one,four thousand,10,0,4000,100,201,21
5,one hundred and five,10.png,one hundred and,5,11.png,one hundred and twen ty five,one hundred and ty,4,0,N/A,100,125,105
6,three hundred and five,12.png,five hundred and ty,8,13.png,three hundred and fif ty,three hundred and ty,4,0,N/A,N/A,350,305
7,for ty two,14.png,four hundred and,11,15.png,four hundred and two,four hundred and,11,0,400,400,402,42
8,five,16.png,three,4,17.png,fif teen,one hundred and ty,17,1,N/A,3,15,5
9,eleven,18.png,one teen,5,19.png,twen ty four,one hundred and ty,15,1,N/A,N/A,24,11
10,two,20.png,two,0,21.png,eight,two,0,1,2,2,8,2
11,twen ty five,22.png,two hundred five,8,23.png,four hundred and five,four hundred and,15,1,400,205,405,25
12,six ty two,24.png,two hundred and,13,25.png,six hundred and two,two hundred and,13,0,200,200,602,62
13,twen ty one,26.png,one hundred and,11,27.png,two hundred and ten,six hundred and,12,1,600,100,210,21
14,twen ty four,28.png,one hundred and ty,15,29.png,two hundred and four,four thousand and,15,0,4000,N/A,204,24
15,seven teen,30.png,four hundred and,13,31.png,twen ty one,one hundred and,11,0,100,400,21,17
16,thir ty five,32.png,three hundred and ty,16,33.png,three hundred and five,five hundred and ty,17,1,N/A,N/A,305,35
17,for ty seven,34.png,four hundred and ty,13,35.png,four hundred and seven ty,four thousand,8,0,4000,N/A,470,47
18,nine teen,36.png,one hundred and,11,37.png,one hundred and nine,one,7,0,1,100,109,19
19,six teen,38.png,one hundred,9,39.png,one hundred and six,four hundred and,13,1,400,100,106,16
20,fif ty three,40.png,three hundred and ty,18,41.png,eigh ty,six ty,8,0,60,N/A,80,53
21,two hundred and six teen,42.png,six hundred and,12,43.png,two hundred and six ty one,four hundred and,13,1,400,600,261,216
22,four hundred and twelve,44.png,four hundred and twen,3,45.png,four hundred and twen ty one,four hundred and twen,3,0,N/A,N/A,421,412
23,six,46.png,two,3,47.png,thir teen,one hundred and,15,1,100,2,13,6
