,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct,predicted_foil_numbers,predicted_target_numbers,true_foil_numbers,true_target_numbers
0,seven ty eight,0.png,seven hundred,8,1.png,eight hundred and seven,six hundred,12,1,600,700,807,78
1,six ty four,2.png,four hundred ty,14,3.png,six hundred and four,four hundred,11,0,400,N/A,604,64
2,eigh ty five,4.png,six ty,8,5.png,eight hundred and fif ty,six ty,8,0,60,60,850,85
3,thir ty six,6.png,six hundred ty,13,7.png,three hundred and six,three hundred and,13,0,300,N/A,306,36
4,twelve,8.png,one teen,6,9.png,twen ty two,twen hundred and ty,15,1,N/A,N/A,22,12
5,four hundred,10.png,four hundred,0,11.png,four thousand,three thousand,11,1,3000,400,4000,400
6,seven ty six,12.png,six teen,9,13.png,seven hundred and six ty,four hundred and,14,1,400,16,760,76
7,thir ty one,14.png,one hundred and,12,15.png,three hundred and one,three hundred and,12,0,300,100,301,31
8,eigh ty nine,16.png,two hundred,10,17.png,eight hundred and nine,six hundred,9,0,600,200,809,89
9,three hundred and seven,18.png,three hundred and,6,19.png,three hundred and six ty seven,three hundred and ty,5,0,N/A,300,367,307
10,thir teen,20.png,one hundred and ty,15,21.png,for ty two,four hundred and ty,15,0,N/A,N/A,42,13
11,five hundred and eight,22.png,six hundred and ty,8,23.png,five hundred and eigh ty,three hundred and,10,1,300,N/A,580,508
12,two thousand and three,24.png,three thousand,14,25.png,two thousand and thir ty,six thousand,13,0,6000,3000,2030,2003
13,three hundred and six,26.png,three hundred and,4,27.png,three hundred and six ty,three hundred and,4,0,300,300,360,306
14,seven,28.png,seven,0,29.png,eigh teen,one teen,5,1,N/A,7,18,7
15,five,30.png,nine,2,31.png,eight,two,4,1,2,9,8,5
16,five hundred,32.png,five hundred and,4,33.png,five thousand,five thousand,6,1,5000,500,5000,500
17,thir ty six,34.png,six hundred ty,13,35.png,five hundred and nine,five hundred and,14,1,500,N/A,509,36
18,for ty two,36.png,four hundred and ty,14,37.png,four hundred and twen ty,four hundred and,11,0,400,N/A,420,42
19,twen ty seven,38.png,four hundred ty,13,39.png,two hundred and seven,four hundred and,13,0,400,N/A,207,27
20,six hundred and eight,40.png,six hundred and,6,41.png,six hundred and fif ty eight,six hundred and ty,5,0,N/A,600,658,608
21,seven teen,42.png,four teen,5,43.png,twen ty eight,two hundred ty,12,1,N/A,14,28,17
22,five hundred and six ty seven,44.png,five hundred and twen ty,10,45.png,five hundred and seven ty six,four hundred and twen ty,13,1,420,520,576,567
23,one,46.png,one,0,47.png,nine,two hundred,8,1,200,1,9,1
