,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,two hundred six,0.png,four forty forty,14,1.png,two hundred sixty,forty forty forty,15,1
1,one hundred,2.png,forty forty,10,3.png,one thousand,forty forty,10,0
2,sixty seven,4.png,four forty,10,5.png,six hundred seventy,four forty forty,13,1
3,one thousand two,6.png,forty forty forty,15,7.png,one thousand twenty,forty forty forty,15,0
4,twenty one,8.png,four four,9,9.png,two hundred one,four forty forty,12,1
5,one hundred five,10.png,four forty forty,13,11.png,one hundred twenty five,four nine nine five,11,0
6,three hundred five,12.png,four nine nine,12,13.png,three hundred fifty,four nine nine,12,0
7,forty two,14.png,four <pad>,7,15.png,four hundred two,four forty five,9,1
8,five,16.png,four,3,17.png,fifteen,four,3,0
9,eleven,18.png,four,6,19.png,twenty four,four four,9,1
10,two,20.png,four,4,21.png,eight,<pad>,5,1
11,twenty five,22.png,four four,9,23.png,four hundred five,four nine five,8,0
12,sixty two,24.png,four forty,10,25.png,six hundred two,forty forty forty,12,1
13,twenty one,26.png,four four,9,27.png,two hundred ten,forty forty forty,12,1
14,twenty four,28.png,four four,6,29.png,two hundred four,four forty forty,11,1
15,seventeen,30.png,four,9,31.png,twenty one,four four,9,0
16,thirty five,32.png,four nine,7,33.png,three hundred five,four nine nine,10,1
17,forty seven,34.png,four nine,7,35.png,four hundred seventy,four four five,9,1
18,nineteen,36.png,four,8,37.png,one hundred nine,forty forty forty,16,1
19,sixteen,38.png,four,7,39.png,one hundred six,forty forty forty,16,1
20,fifty three,40.png,four four,9,41.png,eighty,forty,8,0
21,two hundred sixteen,42.png,four forty forty,15,43.png,two hundred sixty one,four forty forty forty,19,1
22,four hundred twelve,44.png,four four five,10,45.png,four hundred twenty one,four <pad> twelve five,11,1
23,six,46.png,four,4,47.png,thirteen,four,4,0
