,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,two hundred six,0.png,seventeen seventeen seventeen,23,1.png,two hundred sixty,seventeen seventeen seventeen,23,0
1,one hundred,2.png,seventeen seventeen,14,3.png,one thousand,seventeen seventeen,14,0
2,sixty seven,4.png,seventeen seventeen,11,5.png,six hundred seventy,seventeen seventeen seventeen,21,1
3,one thousand two,6.png,seventeen seventeen seventeen,23,7.png,one thousand twenty,seventeen seventeen seventeen,23,0
4,twenty one,8.png,seventeen forty,10,9.png,two hundred one,seventeen seventeen seventeen,22,1
5,one hundred five,10.png,seventeen seventeen seventeen,21,11.png,one hundred twenty five,seventeen seventeen forty forty,24,1
6,three hundred five,12.png,seventeen seventy seventy,19,13.png,three hundred fifty,seventeen seventeen seventy,19,0
7,forty two,14.png,seventeen forty,13,15.png,four hundred two,seventeen seventeen sixty,22,1
8,five,16.png,seventeen,7,17.png,fifteen,seventeen,7,0
9,eleven,18.png,six,6,19.png,twenty four,seventeen forty,11,1
10,two,20.png,seventeen,8,21.png,eight,seventeen,8,0
11,twenty five,22.png,seventeen seventeen,13,23.png,four hundred five,seventeen forty forty,14,1
12,sixty two,24.png,seventeen seventeen,15,25.png,six hundred two,seventeen seventeen seventeen,25,1
13,twenty one,26.png,seventeen forty,10,27.png,two hundred ten,seventeen seventeen seventeen,22,1
14,twenty four,28.png,seventeen forty,9,29.png,two hundred four,seventeen seventeen <end>,20,1
15,seventeen,30.png,forty,8,31.png,twenty one,seventeen forty,6,0
16,thirty five,32.png,seventeen seventeen,15,33.png,three hundred five,seventeen seventy seventy,19,1
17,forty seven,34.png,forty fifty,5,35.png,four hundred seventy,seventeen forty sixty,14,1
18,nineteen,36.png,seventeen,4,37.png,one hundred nine,seventeen seventeen seventeen,22,1
19,sixteen,38.png,seventeen,4,39.png,one hundred six,seventeen seventeen seventeen,24,1
20,fifty three,40.png,seventeen seventeen,15,41.png,eighty,seventeen,9,0
21,two hundred sixteen,42.png,seventeen seventeen seventeen,19,43.png,two hundred sixty one,seventeen seventeen forty <end>,23,1
22,four hundred twelve,44.png,forty forty forty,14,45.png,four hundred twenty one,forty forty forty <end>,17,1
23,six,46.png,seventeen,8,47.png,thirteen,seventeen,8,0
