,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,seventy eight,0.png,sixteen sixteen,12,1.png,eight hundred seven,hundred fifteen <end>,18,1
1,sixty four,2.png,fourteen twenty,13,3.png,six hundred four,twenty twenty twenty,17,1
2,eighty five,4.png,fifteen fifteen,10,5.png,eight hundred fifty,fifteen fifteen <end>,16,1
3,thirty six,6.png,twenty twenty,9,7.png,three hundred six,twenty twenty <end>,15,1
4,twelve,8.png,fourteen,7,9.png,twenty two,twenty twenty,9,1
5,four hundred,10.png,twenty twenty,13,11.png,four thousand,twenty fifteen,12,0
6,seventy six,12.png,twenty twenty,9,13.png,seven hundred sixty,twenty fifteen <end>,15,1
7,thirty one,14.png,fourteen twenty,11,15.png,three hundred one,twenty twenty twenty,14,1
8,eighty nine,16.png,hundred fifteen,12,17.png,eight hundred nine,hundred fifteen <end>,17,1
9,three hundred seven,18.png,twenty twenty <end>,16,19.png,three hundred sixty seven,twenty twenty twenty twenty,21,1
10,thirteen,20.png,fourteen,3,21.png,forty two,fourteen twenty,10,1
11,five hundred eight,22.png,twenty fifteen fifteen,18,23.png,five hundred eighty,hundred fifteen fifteen,18,0
12,two thousand three,24.png,twenty twenty twenty,14,25.png,two thousand thirty,twenty twenty twenty,14,0
13,three hundred six,26.png,twenty twenty <end>,16,27.png,three hundred sixty,twenty twenty <end>,16,0
14,seven,28.png,<end>,4,29.png,eighteen,hundred,6,1
15,five,30.png,seventy,5,31.png,eight,hundred,6,1
16,five hundred,32.png,twenty fifteen,12,33.png,five thousand,twenty fifteen,12,0
17,thirty six,34.png,twenty twenty,9,35.png,five hundred nine,twenty fifteen fifteen,17,1
18,forty two,36.png,fourteen twenty,8,37.png,four hundred twenty,twenty twenty twenty,15,1
19,twenty seven,38.png,twenty twenty,5,39.png,two hundred seven,twenty twenty twenty,10,1
20,six hundred eight,40.png,hundred fifteen fifteen,17,41.png,six hundred fifty eight,fifteen fifteen fifteen <end>,24,1
21,seventeen,42.png,sixteen,4,43.png,twenty eight,fifteen fifteen,9,1
22,five hundred sixty seven,44.png,twenty twenty twenty twenty,21,45.png,five hundred seventy six,twenty twenty twenty twenty,21,0
23,one,46.png,fourteen,6,47.png,nine,fourteen,6,0
