,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,two hundred six,0.png,five five thirty,15,1.png,two hundred sixty,one five thirty,14,0
1,one hundred,2.png,one one,5,3.png,one thousand,one one,5,0
2,sixty seven,4.png,nineteen nineteen,11,5.png,six hundred seventy,one one thirty,13,1
3,one thousand two,6.png,one one ten,8,7.png,one thousand twenty,five five one,14,1
4,twenty one,8.png,nineteen nineteen,13,9.png,two hundred one,one one twenty,11,0
5,one hundred five,10.png,one five eighteen,11,11.png,one hundred twenty five,nineteen nineteen eighteen twenty,25,1
6,three hundred five,12.png,eleven five thirty,16,13.png,three hundred fifty,one one thirty,14,0
7,forty two,14.png,nineteen nineteen,14,15.png,four hundred two,nineteen nineteen nineteen,23,1
8,five,16.png,nineteen,6,17.png,fifteen,nineteen,6,0
9,eleven,18.png,nineteen,5,19.png,twenty four,nineteen nineteen,13,1
10,two,20.png,five,4,21.png,eight,nineteen,7,1
11,twenty five,22.png,nineteen five,7,23.png,four hundred five,nineteen nineteen eighteen,19,1
12,sixty two,24.png,nineteen nineteen,13,25.png,six hundred two,one five one,11,0
13,twenty one,26.png,nineteen nineteen,13,27.png,two hundred ten,one one five,9,0
14,twenty four,28.png,nineteen nineteen,14,29.png,two hundred four,nineteen nineteen eighteen,21,1
15,seventeen,30.png,nineteen,4,31.png,twenty one,nineteen nineteen,10,1
16,thirty five,32.png,nineteen <start>,14,33.png,three hundred five,eleven five thirty,13,0
17,forty seven,34.png,nineteen nineteen,12,35.png,four hundred seventy,nineteen nineteen nineteen,21,1
18,nineteen,36.png,nineteen,0,37.png,one hundred nine,nineteen ninety thirty,14,1
19,sixteen,38.png,nineteen,3,39.png,one hundred six,one ninety thirty,15,1
20,fifty three,40.png,nineteen nineteen,12,41.png,eighty,nineteen,8,0
21,two hundred sixteen,42.png,one five twenty,15,43.png,two hundred sixty one,one one thirty twenty,17,1
22,four hundred twelve,44.png,nineteen nineteen eighteen,21,45.png,four hundred twenty one,nineteen <start> <start> eighteen,27,1
23,six,46.png,nineteen,7,47.png,thirteen,nineteen,7,0
