,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,seventy eight,0.png,eight twelve,11,1.png,eight hundred seven,eight eight eight,10,0
1,sixty four,2.png,fifty twelve,8,3.png,six hundred four,eight twelve twelve,16,1
2,eighty five,4.png,eight eight,5,5.png,eight hundred fifty,eight eight twelve,10,1
3,thirty six,6.png,eight twelve,10,7.png,three hundred six,one twelve twelve,15,1
4,twelve,8.png,twelve,0,9.png,twenty two,twelve twelve,7,1
5,four hundred,10.png,<pad> twelve,11,11.png,four thousand,eight twelve,11,0
6,seventy six,12.png,eight twelve,11,13.png,seven hundred sixty,eight twelve twelve,15,1
7,thirty one,14.png,twelve twelve,10,15.png,three hundred one,<pad> twelve twelve,16,1
8,eighty nine,16.png,eight eight,5,17.png,eight hundred nine,eight eight twelve,11,1
9,three hundred seven,18.png,<pad> twelve twelve,15,19.png,three hundred sixty seven,twelve twelve twelve twelve,20,1
10,thirteen,20.png,twelve,6,21.png,forty two,twelve twelve,10,1
11,five hundred eight,22.png,one eight twelve,15,23.png,five hundred eighty,one twelve twelve,15,0
12,two thousand three,24.png,two twelve twelve,11,25.png,two thousand thirty,eight twelve twelve,15,1
13,three hundred six,26.png,one twelve twelve,16,27.png,three hundred sixty,<pad> twelve twelve,17,1
14,seven,28.png,twelve,4,29.png,eighteen,eight,5,1
15,five,30.png,twelve,4,31.png,eight,thousand,8,1
16,five hundred,32.png,one twelve,9,33.png,five thousand,two twelve,10,1
17,thirty six,34.png,eight twelve,10,35.png,five hundred nine,one twelve twelve,15,1
18,forty two,36.png,twelve twelve,10,37.png,four hundred twenty,fifty twelve twelve,13,1
19,twenty seven,38.png,twelve twelve,7,39.png,two hundred seven,eight twelve twelve,13,1
20,six hundred eight,40.png,eight eight eight,10,41.png,six hundred fifty eight,eight eight twelve twelve,20,1
21,seventeen,42.png,twelve,7,43.png,twenty eight,eight eight,9,1
22,five hundred sixty seven,44.png,one twelve twelve twelve,19,45.png,five hundred seventy six,eight twelve twelve twelve,20,1
23,one,46.png,twelve,5,47.png,nine,thousand,6,1
