,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,seventy eight,0.png,twelve ten,10,1.png,eight hundred seven,twelve twelve twelve,15,1
1,sixty four,2.png,twelve one,9,3.png,six hundred four,twelve twelve twelve,18,1
2,eighty five,4.png,ten ten,10,5.png,eight hundred fifty,sixty sixty sixty,12,1
3,thirty six,6.png,sixty one,6,7.png,three hundred six,sixty sixty one,9,1
4,twelve,8.png,twelve,0,9.png,twenty two,twelve one,4,1
5,four hundred,10.png,twelve twelve,12,11.png,four thousand,twelve twelve,12,0
6,seventy six,12.png,twelve one,9,13.png,seven hundred sixty,twelve one one,10,1
7,thirty one,14.png,twelve one,5,15.png,three hundred one,twelve one one,9,1
8,eighty nine,16.png,ten ten,9,17.png,eight hundred nine,twelve sixty sixty,13,1
9,three hundred seven,18.png,twelve one one,13,19.png,three hundred sixty seven,twelve one one one,14,1
10,thirteen,20.png,twelve,6,21.png,forty two,twelve one,7,1
11,five hundred eight,22.png,sixty sixty sixty,15,23.png,five hundred eighty,sixty sixty sixty,15,0
12,two thousand three,24.png,twelve twelve twelve,15,25.png,two thousand thirty,twelve twelve twelve,15,0
13,three hundred six,26.png,sixty sixty one,15,27.png,three hundred sixty,sixty sixty one,15,0
14,seven,28.png,twelve,4,29.png,eighteen,ten,3,0
15,five,30.png,sixty,4,31.png,eight,ten,4,0
16,five hundred,32.png,sixty sixty,11,33.png,five thousand,twelve twelve,10,0
17,thirty six,34.png,sixty one,6,35.png,five hundred nine,sixty sixty sixty,9,1
18,forty two,36.png,twelve one,9,37.png,four hundred twenty,twelve twelve one,13,1
19,twenty seven,38.png,twelve twelve,7,39.png,two hundred seven,twelve one one,8,1
20,six hundred eight,40.png,ten ten ten,14,41.png,six hundred fifty eight,ten sixty twelve twenty,17,1
21,seventeen,42.png,twelve,7,43.png,twenty eight,ten ten,5,0
22,five hundred sixty seven,44.png,twelve one one one,18,45.png,five hundred seventy six,sixty one one one,18,0
23,one,46.png,thirteen,7,47.png,nine,sixty,5,0
