,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,two hundred six,0.png,fifty nine nine,12,1.png,two hundred sixty,fifty nine nine,12,0
1,one hundred,2.png,nine nine,7,3.png,one thousand,nine nine,7,0
2,sixty seven,4.png,nine nine,8,5.png,six hundred seventy,nine nine nine,11,1
3,one thousand two,6.png,nine nine nine,13,7.png,one thousand twenty,fifty nine nine,14,1
4,twenty one,8.png,nine nine,7,9.png,two hundred one,fifty nine <pad>,12,1
5,one hundred five,10.png,fifty nine two,13,11.png,one hundred twenty five,fifty nine two two,16,1
6,three hundred five,12.png,fifty fifty <unk>,17,13.png,three hundred fifty,fifty nine <unk>,15,0
7,forty two,14.png,nine two,5,15.png,four hundred two,fifty nine two,7,1
8,five,16.png,nineteen,6,17.png,fifteen,nine,2,0
9,eleven,18.png,<pad>,6,19.png,twenty four,nine nine,7,1
10,two,20.png,nine,4,21.png,eight,nineteen,7,1
11,twenty five,22.png,nine nine,7,23.png,four hundred five,fifty two two,11,1
12,sixty two,24.png,nine nine,8,25.png,six hundred two,fifty nine nine,11,1
13,twenty one,26.png,nine nine,7,27.png,two hundred ten,nine nine nine,9,1
14,twenty four,28.png,nine nine,9,29.png,two hundred four,fifty nine two,12,1
15,seventeen,30.png,nine,7,31.png,twenty one,nine nine,7,0
16,thirty five,32.png,fifty <unk>,8,33.png,three hundred five,fifty fifty <unk>,12,1
17,forty seven,34.png,nine two,10,35.png,four hundred seventy,nine two two,12,1
18,nineteen,36.png,<pad>,8,37.png,one hundred nine,fifty nine nine,10,1
19,sixteen,38.png,<pad>,7,39.png,one hundred six,fifty nine <unk>,12,1
20,fifty three,40.png,nine <unk>,9,41.png,eighty,nine,9,0
21,two hundred sixteen,42.png,nine nine nine,14,43.png,two hundred sixty one,fifty nine two two,16,1
22,four hundred twelve,44.png,nine two two,15,45.png,four hundred twenty one,fifty two two two,15,0
23,six,46.png,nineteen,7,47.png,thirteen,nine,3,0
