,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,seventy eight,0.png,twenty four,8,1.png,eight hundred seven,fourteen fourteen fourteen,21,1
1,sixty four,2.png,fourteen four,7,3.png,six hundred four,fourteen fourteen fourteen,20,1
2,eighty five,4.png,eleven fourteen,11,5.png,eight hundred fifty,seventy fourteen fourteen,19,1
3,thirty six,6.png,fourteen fourteen,14,7.png,three hundred six,eleven fourteen fourteen,21,1
4,twelve,8.png,twenty,3,9.png,twenty two,twenty four,8,1
5,four hundred,10.png,seventy fourteen,13,11.png,four thousand,seventy fourteen,13,0
6,seventy six,12.png,twenty four,7,13.png,seven hundred sixty,fourteen fourteen fourteen,22,1
7,thirty one,14.png,fourteen fourteen,12,15.png,three hundred one,fourteen fourteen fourteen,20,1
8,eighty nine,16.png,eleven four,9,17.png,eight hundred nine,seventy fourteen fourteen,19,1
9,three hundred seven,18.png,fourteen fourteen fourteen,17,19.png,three hundred sixty seven,eleven fourteen fourteen fourteen,24,1
10,thirteen,20.png,<pad>,8,21.png,forty two,seventeen four,10,1
11,five hundred eight,22.png,fourteen fourteen fourteen,19,23.png,five hundred eighty,fourteen fourteen fourteen,19,0
12,two thousand three,24.png,seventy fourteen fourteen,18,25.png,two thousand thirty,seventy fourteen fourteen,18,0
13,three hundred six,26.png,eleven fourteen fourteen,19,27.png,three hundred sixty,fourteen fourteen fourteen,19,0
14,seven,28.png,twenty,5,29.png,eighteen,twenty,5,0
15,five,30.png,fourteen,6,31.png,eight,nine,2,0
16,five hundred,32.png,seventy fourteen,11,33.png,five thousand,seventy fourteen,11,0
17,thirty six,34.png,fourteen fourteen,14,35.png,five hundred nine,fourteen fourteen fourteen,22,1
18,forty two,36.png,seventeen four,12,37.png,four hundred twenty,fourteen fourteen fourteen,19,1
19,twenty seven,38.png,twenty four,5,39.png,two hundred seven,fourteen fourteen fourteen,19,1
20,six hundred eight,40.png,eleven fourteen fourteen,19,41.png,six hundred fifty eight,eleven eleven fourteen fourteen,25,1
21,seventeen,42.png,twenty,6,43.png,twenty eight,four four,9,1
22,five hundred sixty seven,44.png,fourteen fourteen fourteen fourteen,25,45.png,five hundred seventy six,fourteen fourteen fourteen fourteen,25,0
23,one,46.png,six,3,47.png,nine,fourteen,6,1
