,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,two hundred six,0.png,sixty sixty sixty,13,1.png,two hundred sixty,sixty sixty sixty,13,0
1,one hundred,2.png,sixty sixty,11,3.png,one thousand,sixty sixty,11,0
2,sixty seven,4.png,sixty sixty,4,5.png,six hundred seventy,sixty sixty sixty,10,1
3,one thousand two,6.png,sixty sixty sixty,16,7.png,one thousand twenty,sixty sixty sixty,16,0
4,twenty one,8.png,sixty sixty,9,9.png,two hundred one,sixty sixty sixty,13,1
5,one hundred five,10.png,sixty sixty sixty,15,11.png,one hundred twenty five,sixty <end> <end> <end>,17,1
6,three hundred five,12.png,sixty <end> <end>,15,13.png,three hundred fifty,sixty <end> <end>,15,0
7,forty two,14.png,hundred sixty,11,15.png,four hundred two,sixty sixty sixty,13,1
8,five,16.png,sixty,4,17.png,fifteen,sixty,4,0
9,eleven,18.png,sixty,6,19.png,twenty four,sixty sixty,11,1
10,two,20.png,sixty,5,21.png,eight,fourteen,7,1
11,twenty five,22.png,sixty <end>,9,23.png,four hundred five,sixty <end> <end>,13,1
12,sixty two,24.png,sixty sixty,5,25.png,six hundred two,sixty sixty sixty,10,1
13,twenty one,26.png,sixty sixty,9,27.png,two hundred ten,sixty sixty sixty,13,1
14,twenty four,28.png,sixty sixty,9,29.png,two hundred four,sixty sixty sixty,13,1
15,seventeen,30.png,sixty,7,31.png,twenty one,sixty sixty,10,1
16,thirty five,32.png,<end> <end>,11,33.png,three hundred five,sixty <end> <end>,13,1
17,forty seven,34.png,hundred hundred,12,35.png,four hundred seventy,sixty sixty sixty,13,1
18,nineteen,36.png,sixty,6,37.png,one hundred nine,sixty sixty sixty,15,1
19,sixteen,38.png,sixty,3,39.png,one hundred six,sixty sixty sixty,13,1
20,fifty three,40.png,<end> <end>,10,41.png,eighty,sixty,8,0
21,two hundred sixteen,42.png,sixty sixty sixty,14,43.png,two hundred sixty one,sixty sixty sixty sixty,18,1
22,four hundred twelve,44.png,hundred hundred sixty,12,45.png,four hundred twenty one,sixty sixty fifteen fifteen,23,1
23,six,46.png,sixty,2,47.png,thirteen,sixty,2,0
