,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,seventy eight,0.png,eight eight,5,1.png,eight hundred seven,eight fourteen fourteen,20,1
1,sixty four,2.png,eight eight,9,3.png,six hundred four,nine nine nine,12,1
2,eighty five,4.png,eight fourteen,7,5.png,eight hundred fifty,fourteen fourteen nine,17,1
3,thirty six,6.png,fourteen fourteen,14,7.png,three hundred six,fourteen nine nine,14,0
4,twelve,8.png,eight,6,9.png,twenty two,eight eight,9,1
5,four hundred,10.png,eight eight,12,11.png,four thousand,eight eight,12,0
6,seventy six,12.png,eight eight,9,13.png,seven hundred sixty,eight eight nine,13,1
7,thirty one,14.png,eight eight,10,15.png,three hundred one,eight nine nine,11,1
8,eighty nine,16.png,eight fourteen,8,17.png,eight hundred nine,eight fourteen eighteen,15,1
9,three hundred seven,18.png,<end> nine nine,14,19.png,three hundred sixty seven,eight nine nine nine,17,1
10,thirteen,20.png,eight,7,21.png,forty two,eight eight,9,1
11,five hundred eight,22.png,fourteen fourteen fourteen,19,23.png,five hundred eighty,eight fourteen nine,14,0
12,two thousand three,24.png,eight nine nine,14,25.png,two thousand thirty,eight nine nine,14,0
13,three hundred six,26.png,fourteen nine nine,13,27.png,three hundred sixty,nine nine nine,12,0
14,seven,28.png,eight,5,29.png,eighteen,eight,5,0
15,five,30.png,eight,4,31.png,eight,eight,4,0
16,five hundred,32.png,fourteen nine,10,33.png,five thousand,eight eighteen,11,1
17,thirty six,34.png,fourteen fourteen,14,35.png,five hundred nine,fourteen nine nine,14,0
18,forty two,36.png,eight eight,10,37.png,four hundred twenty,eight eight nine,14,1
19,twenty seven,38.png,eight eight,10,39.png,two hundred seven,eight nine nine,12,1
20,six hundred eight,40.png,fourteen fourteen fourteen,21,41.png,six hundred fifty eight,fourteen fourteen nine nine,22,1
21,seventeen,42.png,eight,7,43.png,twenty eight,eight fourteen,10,1
22,five hundred sixty seven,44.png,nine nine nine nine,15,45.png,five hundred seventy six,eight eight nine nine,19,1
23,one,46.png,eight,5,47.png,nine,eight,5,0
