,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,seventy eight,0.png,seventy seventy,5,1.png,eight hundred seven,five seventy seventy,10,1
1,sixty four,2.png,six seventy,8,3.png,six hundred four,six seventy seventy,13,1
2,eighty five,4.png,seventy seventy,9,5.png,eight hundred fifty,five seventy seventy,14,1
3,thirty six,6.png,six seventy,11,7.png,three hundred six,six seventy seventy,15,1
4,twelve,8.png,twelve,0,9.png,twenty two,six seventy,9,1
5,four hundred,10.png,five seventy,10,11.png,four thousand,five seventy,10,0
6,seventy six,12.png,six seventy,8,13.png,seven hundred sixty,five seventy seventy,11,1
7,thirty one,14.png,twelve seventy,11,15.png,three hundred one,six seventy seventy,15,1
8,eighty nine,16.png,seventy seventy,10,17.png,eight hundred nine,five seventy seventy,15,1
9,three hundred seven,18.png,six seventy seventy,14,19.png,three hundred sixty seven,twelve seventy seventy seventy,19,1
10,thirteen,20.png,twelve,6,21.png,forty two,six ten,5,0
11,five hundred eight,22.png,seventy seventy seventy,17,23.png,five hundred eighty,six seventy seventy,15,0
12,two thousand three,24.png,five seventy seventy,18,25.png,two thousand thirty,five seventy seventy,18,0
13,three hundred six,26.png,six seventy seventy,17,27.png,three hundred sixty,six seventy seventy,17,0
14,seven,28.png,six,4,29.png,eighteen,seventy,2,0
15,five,30.png,six,3,31.png,eight,seventy,5,1
16,five hundred,32.png,six seventy,10,33.png,five thousand,five seventy,7,0
17,thirty six,34.png,six seventy,11,35.png,five hundred nine,six seventy seventy,15,1
18,forty two,36.png,six ten,7,37.png,four hundred twenty,six seventy seventy,16,1
19,twenty seven,38.png,five seventy,8,39.png,two hundred seven,five seventy seventy,10,1
20,six hundred eight,40.png,seventy seventy seventy,18,41.png,six hundred fifty eight,seventy seventy seventy seventy,24,1
21,seventeen,42.png,twelve,7,43.png,twenty eight,seventy seventy,6,0
22,five hundred sixty seven,44.png,twelve seventy seventy seventy,17,45.png,five hundred seventy six,six seventy seventy seventy,16,0
23,one,46.png,six,3,47.png,nine,seventy,6,1
