,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,seventy eight,0.png,seventeen fourteen,10,1.png,eight hundred seven,seventeen seventeen seventeen,20,1
1,sixty four,2.png,fourteen fourteen,11,3.png,six hundred four,seventeen fourteen fourteen,20,1
2,eighty five,4.png,seventeen fourteen,13,5.png,eight hundred fifty,seventeen fourteen fourteen,22,1
3,thirty six,6.png,seventeen fourteen,16,7.png,three hundred six,seventeen fourteen fourteen,23,1
4,twelve,8.png,fourteen,7,9.png,twenty two,fourteen fourteen,14,1
5,four hundred,10.png,seventeen seventeen,16,11.png,four thousand,seventeen seventeen,16,0
6,seventy six,12.png,fourteen fourteen,15,13.png,seven hundred sixty,seventeen fourteen fourteen,20,1
7,thirty one,14.png,seventeen fourteen,14,15.png,three hundred one,seventeen fourteen fourteen,21,1
8,eighty nine,16.png,seventeen seventeen,14,17.png,eight hundred nine,seventeen seventeen seventeen,23,1
9,three hundred seven,18.png,seventeen seventeen fourteen,20,19.png,three hundred sixty seven,seventeen fourteen fourteen fourteen,26,1
10,thirteen,20.png,fourteen,3,21.png,forty two,fourteen fourteen,11,1
11,five hundred eight,22.png,seventeen seventeen fourteen,21,23.png,five hundred eighty,seventeen seventeen fourteen,21,0
12,two thousand three,24.png,seventeen fourteen fourteen,20,25.png,two thousand thirty,seventeen fourteen fourteen,20,0
13,three hundred six,26.png,seventeen fourteen fourteen,21,27.png,three hundred sixty,seventeen fourteen fourteen,21,0
14,seven,28.png,fourteen,6,29.png,eighteen,seventeen,4,0
15,five,30.png,seventeen,7,31.png,eight,seven,3,0
16,five hundred,32.png,seventeen fourteen,13,33.png,five thousand,seventeen seventeen,14,1
17,thirty six,34.png,seventeen fourteen,16,35.png,five hundred nine,seventeen fourteen fourteen,23,1
18,forty two,36.png,fourteen fourteen,11,37.png,four hundred twenty,seventeen fourteen fourteen,21,1
19,twenty seven,38.png,fourteen fourteen,12,39.png,two hundred seven,seventeen fourteen fourteen,20,1
20,six hundred eight,40.png,seventeen seventeen fourteen,22,41.png,six hundred fifty eight,seventeen fourteen fourteen fourteen,28,1
21,seventeen,42.png,seventeen,0,43.png,twenty eight,seventeen fourteen,9,1
22,five hundred sixty seven,44.png,seventeen fourteen fourteen fourteen,26,45.png,five hundred seventy six,seventeen fourteen fourteen fourteen,26,0
23,one,46.png,seventeen,7,47.png,nine,seventeen,7,0
