,desired_label,target_image,target_model_generated_label,dis_target_predicted,foil_image,foil_word,foil_model_generated_label,dis_foil_predicted,correct
0,two hundred six,0.png,ten hundred seventeen,10,1.png,two hundred sixty,ten <start> seventeen,16,1
1,one hundred,2.png,ten hundred,3,3.png,one thousand,ten hundred,3,0
2,sixty seven,4.png,ten hundred,10,5.png,six hundred seventy,ten ten seventeen,10,0
3,one thousand two,6.png,ten hundred hundred,16,7.png,one thousand twenty,ten hundred <start>,15,0
4,twenty one,8.png,ten hundred,8,9.png,two hundred one,ten hundred hundred,14,1
5,one hundred five,10.png,ten hundred hundred,9,11.png,one hundred twenty five,ten hundred hundred nine,11,1
6,three hundred five,12.png,ten eighty <start>,16,13.png,three hundred fifty,ten hundred <start>,10,0
7,forty two,14.png,ten nine,9,15.png,four hundred two,ten hundred <start>,16,1
8,five,16.png,eighty,5,17.png,fifteen,ten,4,0
9,eleven,18.png,eighty,5,19.png,twenty four,ten eighty,8,1
10,two,20.png,ten,2,21.png,eight,sixty,5,1
11,twenty five,22.png,ten ten,7,23.png,four hundred five,ten eighty <start>,13,1
12,sixty two,24.png,ten ten,7,25.png,six hundred two,ten hundred <start>,17,1
13,twenty one,26.png,ten hundred,8,27.png,two hundred ten,ten hundred <start>,16,1
14,twenty four,28.png,ten eighty,8,29.png,two hundred four,ten hundred <start>,15,1
15,seventeen,30.png,eighty,7,31.png,twenty one,ten hundred,8,1
16,thirty five,32.png,ten thousand,10,33.png,three hundred five,ten eighty <start>,13,1
17,forty seven,34.png,eighty eighty,10,35.png,four hundred seventy,ten eighty hundred,14,1
18,nineteen,36.png,ten,5,37.png,one hundred nine,ten hundred seventeen,14,1
19,sixteen,38.png,ten,4,39.png,one hundred six,ten hundred hundred,17,1
20,fifty three,40.png,ten eighty,10,41.png,eighty,one,10,0
21,two hundred sixteen,42.png,ten hundred <start>,9,43.png,two hundred sixty one,ten hundred hundred hundred,15,1
22,four hundred twelve,44.png,ten hundred hundred,10,45.png,four hundred twenty one,ten hundred nine nine,11,1
23,six,46.png,ten,3,47.png,thirteen,ten,3,0
